state,district,year,rural_roads,village_development_index,employment_scheme,agriculture_support,rural_income,water_access,education_access
Madhya Pradesh,Balaghat,2018,59.33,61.09,97.2,19.85,84.11,98.81,43.58
West Bengal,Purba Bardhaman,2022,61.1,68.05,21.06,44.85,14.27,14.06,87.47
Tamil Nadu,Kanchipuram,2016,87.37,96.55,87.33,27.0,21.52,16.34,69.64
Maharashtra,Akola,2017,72.32,81.8,66.85,87.47,70.21,76.29,22.02
Bihar,Banka,2018,92.05,20.2,35.79,63.29,83.02,21.84,98.82
Nagaland,Mon,2020,35.53,63.59,24.88,35.54,68.96,68.87,93.36
Tamil Nadu,Thoothukudi,2023,92.13,55.81,47.45,59.15,96.65,31.91,60.49
Uttar Pradesh,Jhansi,2018,23.53,83.7,90.34,74.3,14.66,62.18,70.23
West Bengal,Hooghly,2023,12.62,24.85,32.73,78.51,46.68,24.02,13.34
Meghalaya,East Jaintia Hills,2023,29.71,65.37,46.75,39.22,84.86,13.88,35.99
Kerala,Wayanad,2018,13.97,85.23,22.7,67.59,60.76,28.59,28.55
Odisha,Nuapada,2015,28.42,92.31,75.34,68.45,77.81,61.28,69.33
Goa,South Goa,2024,53.85,15.04,37.78,47.31,86.69,83.96,80.54
Assam,Hojai,2016,16.44,95.32,72.82,56.8,65.04,62.8,74.52
Meghalaya,North Garo Hills,2019,14.89,47.34,84.58,94.85,83.7,88.49,56.13
Maharashtra,Mumbai Suburban,2024,17.95,46.35,38.84,69.16,49.47,65.98,47.12
Madhya Pradesh,Morena,2024,24.35,14.5,91.28,71.37,23.44,24.24,41.93
Meghalaya,North Garo Hills,2022,77.13,11.17,27.33,18.2,97.61,36.37,42.25
Uttar Pradesh,Jalaun,2019,26.68,17.28,53.19,92.84,23.38,41.7,83.11
Punjab,Faridkot,2017,43.02,57.92,10.54,60.04,22.15,44.43,18.14
Bihar,Munger,2024,30.0,10.2,28.99,62.06,90.7,61.09,61.17
Madhya Pradesh,Dewas,2022,18.6,82.0,71.31,13.91,43.24,99.96,31.16
Assam,Tinsukia,2022,81.02,47.08,34.0,41.7,57.64,18.08,57.21
Punjab,Jalandhar,2016,39.83,38.24,21.19,56.41,34.07,98.33,19.59
Rajasthan,Neem Ka Thana,2019,57.44,93.6,59.22,32.38,63.73,67.08,50.19
Tamil Nadu,Tirupathur,2017,89.99,19.0,38.8,91.49,98.0,89.02,12.3
Nagaland,Peren,2015,28.28,35.52,40.57,63.55,13.37,68.85,97.55
Telangana,Jogulamba Gadwal,2018,77.94,39.14,10.87,61.88,56.08,34.67,39.33
Uttar Pradesh,Aligarh,2015,90.28,79.09,66.11,27.96,21.84,17.82,72.46
Bihar,Bhojpur,2025,43.58,17.57,70.06,14.35,54.1,80.69,72.27
Uttar Pradesh,Aligarh,2021,90.52,19.62,60.0,44.4,70.15,92.31,60.52
Rajasthan,Sikar,2024,60.63,51.4,25.19,91.25,72.42,53.68,66.97
Tamil Nadu,Thoothukudi,2024,81.59,26.65,21.8,55.26,36.79,71.9,19.95
Rajasthan,Balotra,2019,10.89,54.5,64.7,89.05,12.01,12.61,36.99
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2017,79.47,57.29,58.69,55.35,59.95,57.24,40.45
Bihar,Sheohar,2023,95.4,76.06,67.92,43.05,57.43,44.04,65.82
Jharkhand,Deoghar,2016,89.84,43.02,83.68,84.33,73.7,37.35,38.41
West Bengal,Purba Medinipur,2016,84.58,76.92,13.86,51.7,44.52,56.26,13.25
Madhya Pradesh,Ratlam,2022,90.78,37.94,65.86,63.24,60.31,59.12,72.43
Madhya Pradesh,Alirajpur,2015,22.5,29.08,84.89,19.55,48.72,28.5,35.27
Tripura,Dhalai,2022,56.02,89.68,79.62,37.71,56.81,83.24,63.56
Tamil Nadu,Tiruvannamalai,2015,56.58,40.47,68.43,36.49,45.75,94.41,72.64
Telangana,Suryapet,2017,99.06,11.6,75.05,30.68,86.89,75.35,93.81
Goa,South Goa,2022,56.54,42.9,19.94,65.58,21.43,18.8,31.85
Uttar Pradesh,Bulandshahr,2020,15.12,78.44,76.7,66.91,17.74,75.0,21.25
Odisha,Balasore,2025,49.72,82.74,14.3,38.11,18.71,90.83,91.16
Sikkim,Gangtok,2022,67.34,34.79,36.42,94.9,32.91,86.66,77.78
Maharashtra,Hingoli,2022,44.1,30.52,68.71,71.27,52.45,16.47,83.63
Bihar,Kaimur,2022,45.15,68.26,30.24,67.67,97.89,28.51,96.13
Jharkhand,Khunti,2022,24.24,28.24,13.13,64.59,99.94,69.32,35.62
Bihar,Khagaria,2020,12.38,88.5,53.67,75.85,96.98,48.16,93.34
West Bengal,Purba Medinipur,2016,45.0,85.72,92.37,30.98,26.58,47.82,47.98
Bihar,East Champaran,2019,92.48,72.91,85.74,32.05,79.35,23.64,78.82
Assam,Kamrup,2018,17.19,17.43,79.4,58.54,33.03,86.8,13.58
Chhattisgarh,Janjgir-Champa,2017,12.52,50.02,89.35,65.07,64.36,54.58,53.01
Maharashtra,Nanded,2021,80.88,47.25,28.33,64.96,17.27,63.68,59.44
Madhya Pradesh,Sheopur,2015,85.73,49.51,93.55,61.96,99.83,89.62,48.7
Uttarakhand,Nainital,2019,62.2,67.12,49.17,16.75,55.58,73.35,33.08
Karnataka,Dakshina Kannada,2020,24.26,28.63,76.49,17.3,94.45,30.03,64.13
Manipur,Kamjong,2021,86.56,10.42,74.01,72.39,58.84,71.73,57.4
Uttar Pradesh,Prayagraj,2018,11.08,30.99,29.49,24.44,11.77,20.2,84.16
Jharkhand,Bokaro,2021,57.78,18.94,66.44,86.07,56.23,25.25,39.12
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2021,68.6,79.36,42.91,29.68,28.09,60.93,11.29
Sikkim,Namchi,2019,60.0,46.49,12.91,60.13,47.73,68.55,67.31
Odisha,Jajpur,2023,84.03,58.25,63.62,87.24,62.42,67.46,45.82
Arunachal Pradesh,Namsai,2025,89.32,82.81,73.67,54.11,41.78,46.08,58.01
Punjab,Bathinda,2016,86.78,81.27,37.17,44.68,26.6,50.66,91.6
Uttarakhand,Chamoli,2019,11.99,34.37,82.04,82.12,63.29,92.51,29.51
Telangana,Wanaparthy,2023,28.28,89.46,71.1,27.31,16.44,21.75,83.46
Uttar Pradesh,Basti,2024,62.05,18.25,35.76,16.45,92.46,46.67,78.87
Meghalaya,West Jaintia Hills,2022,33.13,88.68,33.66,78.9,41.24,24.81,60.81
Madhya Pradesh,Dhar,2025,46.45,96.95,52.86,72.83,37.99,56.95,27.55
Odisha,Kalahandi,2020,29.37,20.26,62.52,97.04,15.3,92.43,26.94
Haryana,Yamunanagar,2020,91.53,49.79,95.16,12.51,87.42,88.19,12.08
Gujarat,Botad,2024,91.0,80.57,41.35,26.79,99.96,77.03,42.55
Gujarat,Surendranagar,2021,72.1,94.2,64.74,46.66,82.87,99.34,33.95
Gujarat,Kutch,2022,97.43,36.29,33.78,50.73,40.96,43.45,24.77
Arunachal Pradesh,Tirap,2022,39.55,51.3,64.66,41.82,18.39,32.67,61.35
Madhya Pradesh,Morena,2016,48.4,86.1,45.39,75.02,24.9,23.17,50.27
Odisha,Nabarangpur,2020,90.2,43.32,25.05,43.53,28.43,55.33,90.78
Kerala,Wayanad,2015,68.82,44.36,74.07,57.44,67.7,91.51,47.48
Madhya Pradesh,Raisen,2024,19.42,10.43,52.39,88.21,14.47,80.28,70.8
Sikkim,Pakyong,2018,68.01,19.71,48.36,98.96,91.08,32.97,95.5
Goa,South Goa,2025,91.44,50.39,88.16,48.96,37.94,50.51,98.55
Jharkhand,Latehar,2017,15.71,61.59,82.36,34.32,68.62,67.58,34.76
Kerala,Ernakulam,2023,47.16,31.68,99.43,65.89,92.2,62.52,45.88
Assam,Cachar,2019,77.66,13.69,38.13,84.95,43.0,16.89,85.07
Uttar Pradesh,Pratapgarh,2018,53.3,80.77,89.97,56.07,47.49,71.33,79.76
Madhya Pradesh,Shajapur,2016,46.12,48.26,43.99,87.31,22.93,68.97,59.96
Rajasthan,Banswara,2016,26.36,44.47,11.27,39.15,73.93,62.16,70.47
Uttar Pradesh,Gorakhpur,2025,53.04,46.11,10.1,12.89,45.2,30.13,63.01
Nagaland,Wokha,2021,73.55,86.01,70.89,77.82,66.9,12.42,14.08
Karnataka,Dakshina Kannada,2018,20.84,86.22,80.08,32.52,74.68,36.58,40.84
Maharashtra,Latur,2022,19.39,80.43,24.16,70.52,25.7,89.33,73.79
Madhya Pradesh,Ratlam,2025,65.5,17.26,83.49,68.74,48.76,65.64,52.56
Punjab,Hoshiarpur,2025,70.66,53.12,32.96,33.3,88.61,12.51,59.82
Rajasthan,Dholpur,2021,82.52,71.3,62.1,69.14,85.14,85.93,75.42
Gujarat,Bhavnagar,2020,23.15,95.9,68.62,28.89,36.85,31.52,50.48
Madhya Pradesh,Chhindwara,2016,16.76,48.08,84.83,49.57,20.96,98.11,95.41
Madhya Pradesh,Rajgarh,2017,49.7,27.84,47.72,23.38,42.68,53.96,31.75
Maharashtra,Parbhani,2022,95.68,79.58,50.37,45.98,57.3,20.3,79.36
Madhya Pradesh,Chhatarpur,2016,53.13,52.04,55.52,66.68,75.18,94.21,63.75
Gujarat,Rajkot,2016,39.28,15.78,75.36,91.27,48.98,97.43,41.9
Uttar Pradesh,Jhansi,2023,50.05,36.31,91.3,39.4,17.23,31.72,11.45
Uttar Pradesh,Barabanki,2020,17.32,70.1,28.16,49.58,59.22,91.26,34.43
Uttar Pradesh,Kanpur Dehat,2025,53.28,91.16,18.3,78.44,48.71,79.69,26.89
Manipur,Kangpokpi,2024,77.53,16.63,15.14,43.89,47.38,11.61,19.02
West Bengal,Jalpaiguri,2024,25.37,58.11,93.8,92.0,38.99,91.0,54.88
Haryana,Jhajjar,2020,22.06,86.15,23.38,33.49,27.0,11.14,73.38
Madhya Pradesh,Balaghat,2020,59.12,41.67,70.49,13.44,35.15,36.67,28.21
Rajasthan,Rajsamand,2023,26.09,84.88,63.39,49.16,21.44,39.04,44.67
Uttar Pradesh,Hathras,2023,27.39,39.08,64.18,81.55,48.67,24.92,61.73
West Bengal,Kolkata,2020,48.48,10.51,71.01,99.91,23.58,59.5,77.8
Karnataka,Yadgir,2022,43.02,82.63,98.64,33.78,83.14,84.59,99.19
Madhya Pradesh,Singrauli,2016,65.13,57.94,93.24,10.45,56.08,57.03,61.8
Madhya Pradesh,Katni,2015,80.19,91.49,29.67,91.02,47.26,55.67,44.14
Gujarat,Amreli,2021,36.02,52.95,94.56,62.31,72.28,67.67,27.66
Andhra Pradesh,Anakapalli,2018,29.16,24.6,10.35,13.3,85.91,69.82,88.24
Chhattisgarh,Dhamtari,2020,95.91,37.54,65.74,68.63,18.83,33.34,80.43
Rajasthan,Sikar,2025,21.68,18.6,46.5,96.66,28.83,21.87,85.53
Telangana,Nirmal,2022,63.21,35.65,37.7,37.68,82.58,63.63,88.95
Jharkhand,Seraikela-Kharsawan,2017,39.11,71.95,99.05,86.23,40.2,90.18,47.48
Jharkhand,Latehar,2020,95.64,71.12,22.21,37.59,55.25,54.21,46.18
Tamil Nadu,Kanchipuram,2015,16.85,36.4,98.11,48.86,41.8,48.26,68.79
Karnataka,Bengaluru Rural,2025,52.37,72.89,37.77,14.87,28.44,59.89,36.71
Rajasthan,Nagaur,2025,94.96,79.11,27.12,60.25,21.5,79.75,90.35
Madhya Pradesh,Indore,2019,70.52,34.32,59.47,76.91,68.94,57.68,61.64
Karnataka,Bagalkot,2022,62.0,41.47,45.07,39.28,69.17,80.43,55.51
Bihar,Vaishali,2024,62.74,52.41,12.65,39.52,55.44,16.44,42.19
Arunachal Pradesh,Lower Dibang Valley,2017,23.96,92.84,57.32,13.78,89.81,25.96,30.46
Karnataka,Chitradurga,2025,10.37,77.66,78.98,74.0,52.26,95.19,61.31
West Bengal,Kalimpong,2020,19.13,26.97,45.9,29.41,56.15,64.42,14.94
Telangana,Suryapet,2015,43.42,44.9,48.05,14.15,11.88,15.72,88.17
Manipur,Pherzawl,2024,77.42,98.54,86.35,99.65,90.12,42.2,30.84
Uttar Pradesh,Kannauj,2025,56.04,42.87,39.31,52.34,98.17,18.79,89.04
Arunachal Pradesh,Papum Pare,2022,70.87,17.19,69.23,44.55,53.57,28.28,83.99
Nagaland,Shamator,2023,60.8,20.48,17.89,26.99,20.1,15.53,18.52
Gujarat,Tapi,2019,35.38,85.22,85.88,80.93,98.1,45.46,77.95
Karnataka,Mandya,2016,16.36,68.31,76.71,72.39,97.0,95.26,73.81
Maharashtra,Ahmednagar,2018,61.15,33.61,21.05,97.27,46.0,71.08,22.9
Punjab,Patiala,2023,46.17,18.01,18.34,20.09,34.03,22.31,33.44
Jharkhand,Sahebganj,2016,41.06,30.29,82.59,89.58,89.47,15.65,25.28
Bihar,Gopalganj,2018,90.43,50.52,33.83,34.1,90.89,51.15,42.25
Madhya Pradesh,Balaghat,2015,71.52,94.63,22.82,65.08,32.55,18.78,30.19
Punjab,Hoshiarpur,2018,49.77,89.73,10.58,40.04,80.16,77.3,61.23
Arunachal Pradesh,Leparada,2022,29.18,42.67,62.03,79.8,83.64,74.48,18.45
Manipur,Kakching,2017,19.12,65.3,36.91,41.81,16.69,30.25,97.09
Uttarakhand,Haridwar,2025,53.78,98.57,52.4,78.81,22.08,50.65,19.12
Punjab,Gurdaspur,2025,64.68,17.52,48.21,13.85,27.86,29.17,75.41
Mizoram,Serchhip,2022,47.66,45.84,50.85,94.18,99.36,36.58,15.42
Bihar,Arwal,2024,84.65,78.14,21.21,89.79,66.79,11.87,23.26
Gujarat,Mahisagar,2016,20.21,72.6,60.57,45.39,67.49,85.35,72.86
Tamil Nadu,Ramanathapuram,2021,75.81,94.81,16.35,49.38,92.09,32.12,45.15
Odisha,Khordha,2024,78.09,27.36,98.23,94.76,28.54,66.69,62.32
Madhya Pradesh,Narsinghpur,2015,10.31,87.52,81.44,11.07,95.46,20.19,82.82
Andhra Pradesh,Krishna,2017,10.54,60.38,26.59,33.79,22.2,88.55,66.42
Assam,Bongaigaon,2021,33.18,37.87,83.57,85.82,38.64,16.15,24.54
Bihar,Saran,2020,68.93,76.97,81.68,89.4,36.99,16.5,66.67
Punjab,Jalandhar,2024,24.9,82.66,55.25,15.62,23.98,83.24,70.34
Tamil Nadu,Thanjavur,2016,84.29,53.25,63.52,76.87,17.24,49.6,30.47
Andhra Pradesh,Prakasam,2021,26.32,62.33,67.12,38.72,90.75,29.24,27.86
Manipur,Kamjong,2017,92.52,26.11,96.41,10.32,61.65,64.21,61.49
Himachal Pradesh,Hamirpur,2017,99.55,20.34,52.57,86.08,48.57,66.44,80.37
Uttar Pradesh,Muzaffarnagar,2024,52.49,11.1,15.59,76.57,42.62,69.94,84.56
Tamil Nadu,Cuddalore,2019,56.88,79.26,92.88,35.11,72.97,76.61,56.12
Mizoram,Kolasib,2020,48.51,18.49,29.78,77.92,72.69,75.01,68.32
Manipur,Jiribam,2025,54.52,58.19,88.86,97.09,58.58,81.39,30.99
Telangana,Medchal-Malkajgiri,2024,40.71,85.3,45.14,73.85,19.58,59.04,34.91
Rajasthan,Anupgarh,2021,74.32,89.24,89.45,27.48,41.33,70.4,32.39
Uttar Pradesh,Shahjahanpur,2017,14.13,39.67,82.34,61.72,13.49,22.38,63.97
Madhya Pradesh,Ashoknagar,2020,14.35,87.98,82.22,85.33,70.42,45.39,70.69
Karnataka,Ramanagara,2022,16.27,85.21,29.75,79.84,66.62,45.85,56.55
Bihar,Madhubani,2016,90.51,54.56,100.0,40.7,98.11,20.03,45.79
Karnataka,Chikkamagaluru,2022,87.6,46.94,14.44,39.2,59.61,59.16,57.29
Telangana,Bhadradri Kothagudem,2019,44.41,26.01,14.23,42.09,55.67,39.96,65.64
Jharkhand,East Singhbhum,2024,94.88,74.06,94.27,55.4,99.59,62.32,42.89
Haryana,Faridabad,2020,18.05,63.04,32.52,12.67,73.34,64.06,50.44
Andhra Pradesh,Tirupati,2017,35.34,20.46,47.02,20.46,32.45,65.35,19.68
Goa,North Goa,2020,81.57,53.59,33.52,72.66,25.13,49.22,22.35
Uttar Pradesh,Bijnor,2017,72.87,94.54,40.37,84.35,81.71,61.65,39.72
Rajasthan,Churu,2022,70.24,20.63,14.24,98.88,13.18,93.86,37.36
Uttar Pradesh,Kasganj,2015,25.51,49.49,40.24,91.62,64.19,53.03,81.88
Uttar Pradesh,Maharajganj,2023,69.26,27.45,57.89,66.81,84.36,36.38,90.96
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2018,95.01,92.0,43.48,48.36,37.98,90.34,99.01
Arunachal Pradesh,Lower Subansiri,2016,12.37,21.56,28.25,12.64,79.06,44.84,40.78
Arunachal Pradesh,Kra Daadi,2020,23.84,65.75,29.54,25.55,79.03,62.62,12.6
Chhattisgarh,Kondagaon,2019,96.27,33.02,34.21,91.57,44.36,85.57,52.65
Uttar Pradesh,Shravasti,2024,28.18,25.52,90.43,73.65,75.58,51.57,81.91
Rajasthan,Sanchore,2021,66.61,44.47,88.14,40.11,61.08,39.53,51.96
Jharkhand,Sahebganj,2016,80.75,16.84,51.42,71.9,91.99,51.89,90.41
Uttar Pradesh,Chitrakoot,2019,53.13,86.26,79.75,19.13,78.8,42.89,64.26
Jharkhand,Koderma,2021,26.38,25.81,42.78,11.03,33.56,20.04,28.9
Rajasthan,Bharatpur,2019,21.63,26.79,37.88,92.51,21.73,64.74,49.97
Odisha,Jagatsinghpur,2025,57.35,66.62,91.93,35.72,57.63,33.96,65.49
Meghalaya,West Jaintia Hills,2022,37.37,82.64,44.87,37.32,62.9,77.82,62.33
Uttar Pradesh,Bahraich,2015,61.73,68.63,66.35,72.84,21.72,78.72,89.4
Madhya Pradesh,Harda,2020,19.6,91.12,45.12,41.97,21.87,96.05,32.36
Meghalaya,North Garo Hills,2016,99.42,91.53,45.51,81.36,87.17,10.75,50.79
Kerala,Palakkad,2015,52.89,19.34,94.43,22.74,78.15,73.33,73.18
Rajasthan,Kota,2017,76.18,45.76,54.58,84.02,60.42,11.77,75.57
Tamil Nadu,Dharmapuri,2022,86.57,21.46,82.04,85.82,88.38,65.7,75.85
Madhya Pradesh,Ashoknagar,2018,61.13,97.59,27.0,22.68,74.08,98.86,11.1
Karnataka,Bengaluru Rural,2017,33.09,58.17,64.03,78.79,56.3,13.66,71.3
Madhya Pradesh,Ashoknagar,2016,14.08,51.91,62.35,36.29,16.13,95.28,32.85
Chhattisgarh,Balrampur,2024,73.27,65.48,20.01,18.08,47.31,29.37,48.56
Bihar,Patna,2017,37.93,97.91,68.75,78.62,43.56,39.41,67.17
West Bengal,Kolkata,2015,87.45,44.43,65.83,32.72,58.05,88.09,30.06
Bihar,Bhagalpur,2017,46.83,46.66,52.83,12.77,64.69,16.61,32.54
Arunachal Pradesh,Tirap,2024,73.94,98.64,95.08,84.77,55.08,13.18,17.83
Madhya Pradesh,Dindori,2022,49.38,60.36,81.35,79.5,11.33,69.54,55.31
Arunachal Pradesh,Lepa Rada,2024,13.8,30.78,42.33,85.36,21.57,13.92,44.24
West Bengal,Purba Medinipur,2016,59.74,73.07,30.42,69.74,10.92,91.22,57.66
Uttar Pradesh,Saharanpur,2020,21.35,82.03,98.02,58.78,62.52,80.35,56.7
Rajasthan,Jaipur,2020,30.24,93.18,54.81,51.77,83.83,65.4,53.8
Bihar,Banka,2021,76.85,11.74,66.2,76.74,52.52,74.09,75.13
Tamil Nadu,Thiruvarur,2017,73.92,82.67,68.58,70.74,56.43,26.82,29.23
Punjab,Mansa,2019,55.66,80.39,40.9,53.06,25.08,81.57,30.63
Assam,South Salmara-Mankachar,2022,60.59,79.7,73.53,13.76,77.31,66.59,27.78
Meghalaya,East Khasi Hills,2025,90.66,71.66,31.31,80.95,33.61,45.39,80.25
Rajasthan,Hanumangarh,2018,27.78,85.49,92.17,76.16,65.26,94.23,98.47
Haryana,Sonipat,2015,97.56,61.96,27.5,68.1,17.89,65.41,91.24
Tamil Nadu,Namakkal,2021,64.53,52.4,51.22,58.35,14.57,13.96,40.11
Arunachal Pradesh,West Siang,2023,85.82,54.05,69.67,81.88,92.6,76.95,39.69
Karnataka,Ballari,2017,45.47,85.69,98.23,82.68,61.52,83.1,26.53
West Bengal,Murshidabad,2017,45.31,17.29,75.9,53.98,56.88,37.29,50.49
Punjab,Sri Muktsar Sahib,2017,33.28,48.51,42.09,85.81,57.52,48.27,72.14
Odisha,Kendrapara,2024,56.45,78.25,55.62,25.61,37.72,86.35,49.2
Kerala,Alappuzha,2018,42.73,38.04,49.89,96.77,90.08,29.58,58.67
Uttar Pradesh,Kaushambi,2023,26.4,18.2,19.84,71.63,91.3,48.1,56.4
Himachal Pradesh,Lahaul & Spiti,2019,76.58,35.91,75.12,54.4,39.32,58.23,64.06
Odisha,Kendrapara,2022,75.69,64.99,84.59,25.22,22.2,91.87,11.74
Punjab,Hoshiarpur,2019,81.61,41.73,40.4,89.39,55.5,88.44,89.06
Maharashtra,Bhandara,2021,13.09,63.38,40.25,90.76,29.98,39.72,59.88
Rajasthan,Bundi,2024,69.71,40.68,40.42,21.27,10.47,86.14,39.13
Haryana,Rewari,2017,33.31,14.7,90.47,14.51,63.3,88.35,87.94
Punjab,Pathankot,2024,10.44,22.1,85.39,54.53,30.93,17.29,30.36
Jharkhand,Simdega,2025,11.35,39.44,91.88,95.02,71.12,34.16,74.78
Uttar Pradesh,Kasganj,2021,24.8,88.92,81.66,86.45,32.34,53.57,11.46
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2023,94.1,26.72,47.79,77.55,90.54,86.02,82.27
Uttar Pradesh,Chitrakoot,2022,48.71,42.72,98.23,37.87,55.28,12.38,64.34
Sikkim,Namchi,2025,33.16,96.22,44.36,87.64,57.94,27.27,38.27
Sikkim,Soreng,2024,73.23,30.8,76.71,17.63,23.39,60.54,24.97
Odisha,Cuttack,2021,13.26,55.91,50.83,43.63,84.93,61.13,21.37
Madhya Pradesh,Indore,2015,98.91,81.5,62.94,89.12,86.88,34.67,97.93
Jharkhand,Bokaro,2020,30.61,59.04,67.69,87.78,81.46,28.33,51.48
Odisha,Malkangiri,2024,14.22,49.65,45.47,50.16,56.64,42.16,71.12
Assam,Morigaon,2021,12.1,66.12,83.52,86.12,88.12,51.45,31.64
Manipur,Imphal West,2023,54.19,85.21,70.3,44.26,42.4,18.05,36.44
Tripura,Gomati,2025,84.65,46.67,93.46,14.31,72.27,69.92,57.4
Uttar Pradesh,Azamgarh,2015,36.97,67.42,31.46,40.63,25.03,29.57,79.4
Assam,Barpeta,2017,11.91,13.01,66.0,30.82,50.97,33.0,57.71
Bihar,Bhagalpur,2019,65.26,25.02,58.8,78.19,64.19,71.14,90.23
Rajasthan,Kotputli-Behror,2025,16.9,74.64,27.47,80.87,83.72,12.79,93.98
Maharashtra,Nagpur,2015,17.61,53.58,85.86,61.79,57.63,74.12,23.19
Nagaland,Mon,2015,66.05,22.21,79.97,40.19,52.73,93.78,34.42
Nagaland,Noklak,2016,62.43,19.56,54.99,64.64,90.92,63.38,26.2
Bihar,Sheikhpura,2022,92.02,83.94,40.92,15.53,36.81,64.55,57.28
Telangana,Sangareddy,2021,94.64,11.53,72.86,43.4,57.07,73.51,56.14
Kerala,Pathanamthitta,2023,42.24,46.26,18.2,90.35,91.99,35.53,31.7
Assam,Baksa,2024,98.27,46.99,27.56,24.54,27.61,16.93,37.65
Karnataka,Uttara Kannada,2020,27.2,41.35,14.42,90.39,60.71,81.62,76.61
Maharashtra,Solapur,2025,65.77,56.92,69.3,37.1,45.68,28.4,30.01
Haryana,Panchkula,2024,51.74,33.35,35.13,92.69,70.71,12.36,25.2
Assam,Kamrup,2019,69.92,48.14,83.37,55.04,24.08,47.03,16.42
Assam,Hojai,2022,30.96,28.67,95.05,87.78,23.01,51.54,26.99
Manipur,Tengnoupal,2023,60.19,93.93,80.3,59.44,81.23,95.03,83.2
Manipur,Kamjong,2015,71.53,18.9,10.69,61.76,60.15,86.93,65.67
Rajasthan,Kekri,2015,58.63,77.75,70.72,98.64,91.28,69.4,82.64
Madhya Pradesh,Guna,2019,16.99,97.78,33.36,81.97,52.18,96.31,97.84
Arunachal Pradesh,Dibang Valley,2015,46.31,57.31,35.62,59.38,62.43,76.48,11.02
Chhattisgarh,Mungeli,2019,87.27,98.18,39.7,30.44,35.62,88.49,61.33
Madhya Pradesh,Chhatarpur,2019,38.41,19.43,86.64,80.54,90.49,14.11,88.57
Karnataka,Kolar,2023,51.15,29.45,99.65,86.44,42.72,34.23,44.86
Uttar Pradesh,Moradabad,2018,36.89,18.39,24.07,87.31,26.05,12.96,37.06
Nagaland,Tuensang,2021,59.6,54.95,29.6,38.36,83.26,88.31,97.4
Tamil Nadu,Dindigul,2020,35.01,31.62,47.0,77.26,81.24,75.75,82.19
Assam,Karbi Anglong,2015,95.58,93.02,67.23,18.69,10.44,49.32,66.62
Tamil Nadu,Thiruvallur,2025,26.16,56.61,51.75,35.63,67.91,70.33,43.3
Manipur,Thoubal,2018,72.28,57.82,41.79,18.12,93.13,81.65,96.59
Tripura,South Tripura,2020,50.28,17.5,86.5,20.56,86.68,88.02,29.55
Madhya Pradesh,Niwari,2015,44.62,59.63,45.93,60.35,57.94,41.34,77.33
Jharkhand,Jamtara,2025,65.57,72.89,87.05,33.7,67.74,20.56,90.61
Tamil Nadu,Tirupathur,2018,96.64,47.17,50.99,49.28,43.94,31.66,78.63
Uttar Pradesh,Lucknow,2024,21.25,17.15,90.33,30.22,31.72,18.97,60.43
Odisha,Balasore,2025,64.29,75.01,63.91,94.51,72.77,84.03,86.42
Rajasthan,Sirohi,2025,89.65,93.47,57.76,89.35,17.11,68.3,43.42
Madhya Pradesh,Mandsaur,2019,13.37,63.89,24.77,88.48,70.25,81.4,78.53
Karnataka,Raichur,2023,10.47,92.35,25.42,14.15,16.17,80.56,17.2
Madhya Pradesh,Tikamgarh,2025,13.69,39.47,45.37,42.31,33.04,24.68,60.71
Assam,Baksa,2018,45.07,16.32,75.63,71.64,73.24,64.12,79.69
Kerala,Malappuram,2018,63.17,22.73,68.23,29.41,88.87,76.98,73.2
Rajasthan,Shahpura,2020,48.72,20.87,60.92,93.97,77.65,44.95,97.74
Gujarat,Patan,2023,10.65,85.53,63.68,72.49,11.54,81.21,15.61
Arunachal Pradesh,Anjaw,2015,60.53,10.6,82.32,67.54,12.72,89.87,37.73
Bihar,Sitamarhi,2020,94.3,55.76,74.6,51.75,28.41,35.98,87.44
Uttar Pradesh,Sant Kabir Nagar,2020,39.82,99.56,62.69,45.12,53.51,18.27,87.91
Kerala,Ernakulam,2025,67.66,21.22,54.12,15.23,60.78,53.72,95.59
Manipur,Bishnupur,2015,95.97,28.0,19.61,43.19,32.11,52.81,84.42
Uttar Pradesh,Pratapgarh,2016,29.53,49.46,21.09,68.05,85.18,18.91,19.74
Uttar Pradesh,Shahjahanpur,2019,42.22,61.58,26.7,33.75,42.68,41.4,30.34
Uttar Pradesh,Gorakhpur,2022,78.1,78.1,93.59,29.52,93.25,98.23,78.18
Maharashtra,Buldhana,2016,64.04,34.81,81.92,30.09,93.58,64.35,34.77
West Bengal,Paschim Medinipur,2020,16.99,64.22,92.35,10.5,95.47,97.57,83.3
Sikkim,Pakyong,2021,66.05,62.04,66.0,79.64,41.33,76.4,79.88
Jharkhand,Palamu,2016,15.95,15.88,80.64,15.65,27.86,89.17,36.25
Madhya Pradesh,Vidisha,2017,95.95,23.14,63.14,41.88,21.66,41.04,39.31
Telangana,Jangaon,2021,63.13,10.19,14.03,26.13,85.49,63.78,85.05
Bihar,Supaul,2021,89.3,30.48,21.63,10.34,63.88,69.18,64.32
Kerala,Thrissur,2018,26.51,69.13,71.37,44.93,36.47,98.49,68.15
Maharashtra,Nashik,2025,50.22,52.92,43.15,95.56,44.28,17.15,48.47
