state,district,year,rainfall,groundwater_level,water_supply,irrigation_area,reservoir_capacity,water_quality,drinking_water_access
Karnataka,Chikkaballapur,2022,76.1,56.72,32.13,25.67,93.71,99.51,90.22
Uttar Pradesh,Barabanki,2019,15.5,50.68,44.13,24.23,82.93,75.05,35.52
Karnataka,Belagavi,2022,58.05,54.77,11.1,24.77,40.39,43.85,48.44
Himachal Pradesh,Chamba,2024,16.37,46.34,15.72,19.35,29.06,24.2,36.61
Tamil Nadu,Tiruppur,2018,32.68,22.41,76.87,65.5,33.3,67.57,47.43
Andhra Pradesh,Palnadu,2019,31.35,31.8,91.07,22.71,60.74,32.37,64.06
Andhra Pradesh,Visakhapatnam,2015,37.8,72.4,77.13,38.18,16.86,35.0,86.21
Telangana,Mulugu,2019,70.22,85.56,18.56,57.92,10.34,71.56,41.91
Kerala,Kollam,2021,17.64,44.94,35.63,71.0,85.87,57.63,46.11
Jharkhand,Jamtara,2023,64.1,90.15,87.32,73.99,36.94,32.93,19.11
Madhya Pradesh,Umaria,2023,44.11,86.94,63.54,20.67,82.16,36.55,24.19
Assam,Majuli,2025,99.72,20.42,14.72,24.62,68.57,52.1,63.61
Rajasthan,Kekri,2017,52.07,28.53,98.18,19.87,50.99,95.16,96.74
Uttar Pradesh,Mirzapur,2021,72.53,29.4,50.91,93.95,79.86,98.42,85.33
Karnataka,Chikkamagaluru,2022,17.62,97.62,81.47,47.26,78.79,35.02,69.77
Mizoram,Khawzawl,2016,72.58,63.73,58.17,82.02,55.24,83.29,55.42
Arunachal Pradesh,Lepa Rada,2016,60.86,90.41,76.29,79.8,49.97,85.23,31.83
Odisha,Kendujhar (Keonjhar),2025,27.11,79.0,66.38,52.69,85.72,63.65,85.26
Chhattisgarh,Bastar,2015,59.16,22.35,40.68,67.82,72.2,11.53,20.9
Uttar Pradesh,Deoria,2025,68.94,39.33,21.78,60.05,33.98,60.31,95.87
Arunachal Pradesh,Upper Subansiri,2019,70.1,10.24,28.01,17.04,71.99,85.9,73.54
Madhya Pradesh,Dindori,2022,49.27,99.65,96.62,74.0,28.44,60.55,61.51
Karnataka,Tumakuru,2025,90.65,30.63,45.01,44.21,90.0,10.88,41.34
Uttarakhand,Champawat,2020,86.51,94.14,42.35,27.18,78.45,95.36,45.11
Chhattisgarh,Sukma,2015,16.02,47.63,27.08,23.7,34.98,92.01,33.54
Chhattisgarh,Dhamtari,2023,81.87,56.17,14.1,28.06,14.61,11.97,92.91
Bihar,Nawada,2018,74.76,60.25,25.14,40.25,37.49,28.29,20.18
Haryana,Nuh,2016,71.68,15.53,64.77,86.26,79.54,43.17,21.26
Tamil Nadu,Tiruvannamalai,2022,49.72,32.66,19.25,71.73,23.86,92.17,32.26
Haryana,Jhajjar,2021,43.21,66.27,97.7,80.7,38.18,97.03,60.45
Rajasthan,Sirohi,2022,28.17,76.97,20.11,32.56,54.07,81.69,37.57
Nagaland,Zunheboto,2018,26.04,26.76,34.38,29.45,46.24,31.59,18.49
Haryana,Kurukshetra,2022,99.91,46.82,12.7,44.02,35.12,84.83,40.77
Jharkhand,Sahebganj,2020,34.66,34.99,75.99,60.37,85.7,19.63,32.62
Chhattisgarh,Balrampur,2025,17.08,11.03,14.35,43.81,92.41,57.49,28.58
Rajasthan,Pali,2021,98.71,67.68,49.95,48.54,58.13,65.21,61.23
Odisha,Malkangiri,2025,59.13,60.01,70.01,81.78,70.1,43.99,17.37
Chhattisgarh,Kanker,2018,65.93,30.26,93.4,47.77,76.23,85.05,69.68
Karnataka,Haveri,2023,22.37,19.63,99.67,70.91,40.11,90.33,26.67
Rajasthan,Phalodi,2015,41.82,61.77,18.92,70.28,96.3,46.37,26.69
Madhya Pradesh,Dindori,2025,19.74,80.45,56.14,86.75,47.92,42.07,28.96
Uttar Pradesh,Chitrakoot,2023,10.79,21.07,38.56,86.11,50.11,17.02,40.94
Maharashtra,Mumbai City,2020,15.37,87.41,84.44,29.04,35.53,63.52,72.92
Haryana,Gurugram,2020,48.0,54.37,95.8,23.89,93.71,45.31,52.47
Odisha,Ganjam,2015,96.4,67.9,81.21,42.95,21.91,83.56,39.5
Manipur,Ukhrul,2018,79.77,22.24,13.71,86.52,83.42,69.66,24.5
Nagaland,Peren,2017,20.99,17.64,17.33,25.56,15.37,42.08,71.04
Uttar Pradesh,Ghaziabad,2025,63.02,82.2,23.17,72.82,60.03,47.08,16.8
Odisha,Kendujhar (Keonjhar),2024,41.7,91.5,91.93,95.46,26.26,28.79,98.54
Arunachal Pradesh,East Kameng,2016,40.14,66.54,91.09,60.06,96.52,87.73,49.64
Tripura,Dhalai,2025,19.75,19.65,22.85,78.77,62.46,82.19,44.63
Nagaland,Wokha,2019,48.76,93.98,68.36,55.27,94.35,80.25,81.77
Tripura,Sepahijala,2018,74.37,24.57,70.26,14.09,42.23,53.58,98.46
West Bengal,Uttar Dinajpur,2016,69.26,85.38,42.61,79.49,26.43,82.87,13.6
Odisha,Malkangiri,2019,74.2,16.82,85.38,84.46,55.21,61.87,81.33
Maharashtra,Ratnagiri,2022,53.97,50.27,53.09,28.04,29.53,14.56,70.69
Rajasthan,Alwar,2020,74.75,76.51,76.03,11.26,46.39,26.13,25.31
Karnataka,Vijayanagara,2015,66.01,23.43,51.19,11.7,42.52,68.01,27.45
Uttar Pradesh,Fatehpur,2019,29.93,56.62,66.18,26.63,18.68,91.02,17.28
Himachal Pradesh,Kullu,2021,53.69,93.74,97.26,60.69,45.57,76.52,99.02
Tamil Nadu,Coimbatore,2021,55.73,51.96,22.82,57.71,20.57,57.56,28.73
Odisha,Rayagada,2015,64.4,88.57,47.89,62.04,92.0,46.45,98.26
Uttar Pradesh,Baghpat,2016,82.17,38.32,27.48,42.24,44.85,23.01,26.23
Bihar,Muzaffarpur,2024,74.75,37.33,30.78,57.29,23.93,50.84,58.24
Uttar Pradesh,Bijnor,2015,39.61,57.62,86.28,48.18,52.55,81.52,10.5
Tamil Nadu,Virudhunagar,2016,25.48,28.38,97.53,30.67,31.67,63.36,61.37
Uttar Pradesh,Mau,2025,78.52,12.6,53.47,91.96,90.19,93.77,96.1
Madhya Pradesh,Datia,2021,28.22,28.85,81.2,49.71,15.87,36.79,69.84
Uttar Pradesh,Sambhal,2021,56.84,35.31,84.31,21.15,82.88,71.04,69.7
Chhattisgarh,Mungeli,2016,75.71,69.71,96.64,55.3,26.0,51.73,33.22
Tripura,Khowai,2019,27.17,62.36,69.97,24.21,46.78,74.83,91.08
Madhya Pradesh,Satna,2018,68.91,77.25,13.29,49.72,95.13,49.5,48.13
Manipur,Tengnoupal,2019,46.04,30.5,12.49,78.3,80.74,89.64,43.03
Uttar Pradesh,Ghazipur,2024,24.89,64.01,31.59,99.16,91.5,60.86,11.11
Gujarat,Patan,2025,33.09,69.19,36.83,91.8,80.53,39.79,45.0
Rajasthan,Dholpur,2020,44.34,17.39,65.55,80.56,98.77,55.89,58.31
Mizoram,Saiha,2022,90.29,96.13,34.81,74.38,79.74,61.56,34.49
Karnataka,Raichur,2020,12.36,93.43,43.2,31.41,40.31,23.64,45.58
Bihar,Banka,2022,15.35,27.1,62.34,66.12,73.83,66.32,64.69
Madhya Pradesh,Umaria,2015,35.97,25.93,15.22,40.22,20.65,71.13,60.07
Bihar,Samastipur,2025,42.37,46.54,82.8,19.5,54.93,19.39,47.54
Bihar,Jehanabad,2016,24.34,37.92,51.89,44.84,93.96,29.74,96.45
Tamil Nadu,Tirunelveli,2016,56.09,62.76,32.96,43.5,89.54,18.68,11.25
Gujarat,Tapi,2020,83.51,65.16,48.73,73.62,69.6,93.63,52.16
Arunachal Pradesh,East Kameng,2025,40.4,26.0,49.82,81.48,53.65,29.62,44.44
Bihar,Supaul,2016,97.61,54.64,35.89,20.68,85.32,12.13,26.99
Gujarat,Kheda,2021,11.93,16.12,62.96,90.52,91.18,78.77,73.72
Uttarakhand,Uttarkashi,2017,21.15,23.17,82.32,46.46,71.39,47.0,70.43
Andhra Pradesh,Krishna,2019,92.53,49.49,37.71,72.77,62.09,15.12,79.38
Telangana,Hyderabad,2025,50.45,15.98,94.28,27.87,14.11,50.01,83.67
Tamil Nadu,Ranipet,2017,56.2,46.09,52.08,57.28,36.04,79.37,58.55
Karnataka,Dakshina Kannada,2020,97.09,97.2,65.19,93.11,25.87,36.7,97.79
Gujarat,Aravalli,2015,58.92,93.71,46.67,68.23,69.01,73.69,33.57
Andhra Pradesh,Chittoor,2018,11.44,33.91,11.49,19.96,67.96,11.29,12.56
Uttar Pradesh,Kushinagar,2023,82.15,42.54,15.58,62.06,81.37,90.24,68.44
Madhya Pradesh,Vidisha,2016,60.5,67.71,80.31,10.04,51.56,41.57,45.04
Madhya Pradesh,Dewas,2016,34.9,47.44,58.58,51.73,81.58,29.82,57.0
Gujarat,Rajkot,2020,92.97,75.73,55.29,62.8,15.81,52.95,19.0
Madhya Pradesh,Rajgarh,2024,67.89,54.63,43.46,64.93,26.57,67.29,61.18
West Bengal,Cooch Behar,2019,16.25,94.15,55.82,31.1,89.42,78.98,92.94
Odisha,Sambalpur,2020,97.31,35.57,56.28,66.11,14.12,32.91,43.38
Punjab,Jalandhar,2019,94.71,32.5,56.23,53.61,31.38,42.57,92.57
Andhra Pradesh,Krishna,2016,50.3,21.77,80.32,23.76,53.4,87.12,47.04
Assam,Lakhimpur,2022,63.3,33.46,69.05,40.04,78.79,62.95,62.44
Tamil Nadu,Kanchipuram,2025,35.89,91.83,87.42,85.6,46.89,56.37,58.69
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2015,60.37,11.01,66.91,16.17,18.81,61.94,75.47
Madhya Pradesh,Gwalior,2020,77.27,95.05,91.69,76.84,46.28,57.35,43.07
Maharashtra,Akola,2025,75.23,37.78,20.31,58.08,73.21,39.55,70.99
West Bengal,Bankura,2024,67.93,56.44,33.32,51.67,61.0,15.39,55.8
Nagaland,Kohima,2018,40.48,45.02,85.69,72.05,28.0,52.32,28.33
Rajasthan,Bundi,2019,36.35,40.95,67.11,34.07,31.46,78.57,98.79
Madhya Pradesh,Agar Malwa,2021,46.4,34.97,32.73,90.51,97.3,11.9,99.88
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2022,85.75,18.08,68.59,31.75,44.49,54.03,77.71
Andhra Pradesh,Bapatla,2016,67.31,71.41,50.86,60.37,37.42,92.77,20.33
Bihar,Sheikhpura,2018,41.06,43.22,66.78,82.29,65.96,54.76,83.39
Andhra Pradesh,Bapatla,2015,17.42,24.66,65.45,33.76,50.85,33.7,42.9
Bihar,Darbhanga,2021,40.54,51.56,98.93,63.6,24.7,50.92,40.16
Uttarakhand,Champawat,2023,48.44,21.88,98.38,25.17,69.6,66.59,75.96
Uttar Pradesh,Shamli,2017,30.37,56.28,76.23,80.96,97.39,19.36,57.27
Rajasthan,Dungarpur,2021,34.7,73.4,13.4,93.7,55.17,82.2,74.03
Rajasthan,Alwar,2016,33.07,87.69,82.13,49.96,16.67,37.92,74.58
Uttar Pradesh,Ballia,2020,17.01,48.81,19.22,96.76,68.12,56.75,39.43
Himachal Pradesh,Hamirpur,2021,17.92,78.61,36.45,10.15,79.21,43.4,39.42
Nagaland,Tuensang,2019,92.62,21.37,56.37,24.7,84.33,49.4,18.15
Assam,Cachar,2015,93.84,35.74,88.11,29.76,34.16,69.84,28.7
West Bengal,Kolkata,2024,78.12,94.16,33.03,81.82,45.43,14.4,26.78
Maharashtra,Nagpur,2017,70.05,90.26,10.25,94.34,74.55,43.35,55.12
Maharashtra,Chandrapur,2022,91.28,31.47,95.57,10.26,27.76,43.38,65.74
Uttar Pradesh,Rae Bareli,2017,60.82,73.03,31.85,71.79,65.13,38.52,86.93
Uttarakhand,Pithoragarh,2021,38.72,85.41,89.7,81.81,19.63,12.84,31.9
Uttar Pradesh,Saharanpur,2016,49.64,98.24,58.05,28.53,99.8,84.47,72.77
Rajasthan,Sirohi,2021,19.92,36.19,63.9,13.57,58.94,84.58,87.74
Nagaland,Kiphire,2019,41.35,30.02,75.77,73.26,72.77,70.44,48.74
Punjab,Barnala,2024,75.41,34.55,37.25,80.38,84.24,80.95,24.17
Tamil Nadu,Virudhunagar,2016,51.62,67.61,51.64,42.9,45.97,57.99,55.39
Chhattisgarh,Gaurela-Pendra-Marwahi,2020,37.76,96.54,24.73,74.85,13.09,65.3,45.23
Odisha,Nabarangpur,2015,13.32,69.84,58.05,77.85,61.77,53.47,56.93
Uttar Pradesh,Siddharthnagar,2021,36.97,26.98,17.28,45.52,43.81,23.34,75.46
West Bengal,Purba Medinipur,2025,12.08,96.75,11.13,99.43,56.13,19.62,60.22
Uttar Pradesh,Jaunpur,2016,22.4,65.72,42.99,71.6,31.02,28.62,79.71
Uttar Pradesh,Bijnor,2024,49.41,72.56,48.44,11.82,77.27,69.78,75.56
Andhra Pradesh,Prakasam,2024,21.92,21.19,14.49,92.62,32.63,52.68,82.07
Madhya Pradesh,Jhabua,2019,90.3,59.08,76.56,83.33,76.04,47.55,72.14
Bihar,Araria,2016,72.4,72.55,53.95,45.85,39.58,47.39,65.77
Assam,Bongaigaon,2021,44.5,22.45,22.94,54.46,76.41,86.84,28.25
Maharashtra,Dhule,2019,91.7,49.93,87.82,33.26,37.57,94.25,43.38
Madhya Pradesh,Khandwa,2017,21.98,94.77,76.0,82.55,25.81,99.82,46.11
Bihar,Nawada,2016,34.97,67.2,59.05,38.93,56.0,20.87,92.28
Madhya Pradesh,Anuppur,2020,15.37,36.3,26.2,46.33,99.16,27.93,72.7
Madhya Pradesh,Ujjain,2016,10.95,32.69,13.44,77.52,12.94,12.64,96.36
Andhra Pradesh,Alluri Sitharama Raju,2019,58.88,68.12,96.67,81.48,53.43,87.68,29.1
Assam,Jorhat,2022,53.29,12.9,45.4,42.58,47.32,15.21,96.05
Maharashtra,Kolhapur,2015,12.56,79.62,21.0,45.75,76.35,58.06,81.95
Tamil Nadu,Nagapattinam,2015,35.68,69.39,24.33,55.61,48.07,92.56,53.4
Jharkhand,Palamu,2022,16.9,98.26,28.85,60.63,49.95,93.56,74.95
Madhya Pradesh,Chhindwara,2024,31.78,85.08,12.17,35.58,72.81,49.78,33.7
Uttar Pradesh,Sonbhadra,2020,51.41,86.86,49.05,48.17,57.69,69.68,75.95
Sikkim,Mangan,2015,20.7,29.27,70.83,22.64,77.41,60.35,48.82
Telangana,Vikarabad,2023,62.61,54.12,46.33,93.99,33.97,11.36,46.03
Mizoram,Mamit,2025,15.87,66.1,99.3,79.98,12.13,55.36,22.28
Telangana,Jayashankar Bhupalpally,2024,21.99,31.25,75.31,38.73,45.54,15.44,82.63
Andhra Pradesh,Alluri Sitharama Raju,2020,32.92,80.49,13.3,42.4,62.1,80.01,81.56
Bihar,Sheikhpura,2023,56.75,93.31,81.49,57.03,66.17,35.68,94.28
Sikkim,Gyalshing,2016,18.77,27.96,90.58,97.05,19.96,24.6,92.27
Tamil Nadu,Nilgiris,2019,76.2,53.67,67.86,29.47,14.25,88.43,59.91
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2024,43.14,78.92,32.02,69.1,69.7,81.43,22.27
Telangana,Khammam,2019,71.64,85.39,28.26,48.52,94.37,79.4,66.09
Uttar Pradesh,Firozabad,2017,43.16,60.85,21.38,57.72,69.76,72.84,58.81
Telangana,Karimnagar,2018,80.63,37.76,36.33,10.64,71.7,25.83,52.82
Rajasthan,Khairthal-Tijara,2015,20.63,92.8,49.59,98.02,88.48,85.29,92.13
Madhya Pradesh,Vidisha,2020,97.87,81.48,50.83,87.48,97.8,17.42,63.3
Punjab,Gurdaspur,2020,34.34,70.41,32.91,63.51,74.53,47.13,90.82
West Bengal,Uttar Dinajpur,2017,57.15,87.27,23.81,89.85,34.68,42.87,60.53
Madhya Pradesh,Agar Malwa,2015,41.11,64.73,99.17,85.87,36.01,52.18,57.13
Tamil Nadu,Chengalpattu,2019,93.33,59.03,92.55,89.06,80.85,83.98,57.73
Arunachal Pradesh,Lohit,2025,27.25,99.35,41.83,29.67,23.94,35.79,78.21
Tamil Nadu,Sivaganga,2022,71.66,29.46,44.27,36.72,42.76,51.63,70.45
Haryana,Ambala,2016,15.42,49.29,23.81,29.64,28.13,43.29,71.38
Jharkhand,Latehar,2024,31.75,50.45,63.91,43.31,27.55,64.95,35.98
Assam,Hailakandi,2016,71.58,83.31,60.67,87.51,13.34,68.46,54.83
Madhya Pradesh,Mandsaur,2019,74.0,92.11,49.38,64.55,64.35,91.71,45.58
Bihar,Sheohar,2020,87.24,98.5,38.09,70.3,87.33,35.63,92.06
Gujarat,Dang,2025,96.37,68.85,99.14,59.0,55.08,35.75,93.36
Odisha,Jharsuguda,2017,19.56,60.12,28.23,95.71,40.73,78.83,91.34
Andhra Pradesh,West Godavari,2019,12.49,21.65,10.3,51.85,15.27,52.37,83.98
Madhya Pradesh,Harda,2020,12.45,16.0,62.54,26.71,30.07,95.0,64.89
Uttar Pradesh,Gautam Buddha Nagar,2020,12.68,78.2,32.45,87.53,95.12,98.13,31.23
Rajasthan,Banswara,2019,18.57,45.89,93.47,65.05,77.01,91.47,91.6
West Bengal,Darjeeling,2017,19.13,73.57,42.56,36.99,59.03,97.28,84.75
Andhra Pradesh,Anantapur,2022,67.71,86.71,24.61,42.0,38.94,95.15,52.17
Karnataka,Belagavi,2023,46.36,41.65,63.99,94.49,95.79,13.27,54.86
Uttar Pradesh,Etah,2015,95.96,29.32,41.76,81.91,14.34,47.71,33.66
Uttar Pradesh,Sonbhadra,2025,86.33,35.45,81.36,54.39,25.26,35.61,80.08
Jharkhand,Chatra,2017,30.35,36.35,98.39,94.47,68.34,45.81,50.51
West Bengal,Howrah,2019,96.09,86.82,18.49,59.6,51.08,44.62,10.85
Andhra Pradesh,Palnadu,2015,33.17,65.4,53.88,32.05,44.45,36.62,16.46
Tamil Nadu,Tenkasi,2022,88.58,42.87,94.62,11.6,51.84,46.52,30.48
Arunachal Pradesh,Dibang Valley,2022,50.37,10.24,86.83,49.14,78.7,96.7,32.44
Sikkim,Gangtok,2018,71.55,60.72,29.6,15.15,85.98,75.86,79.03
Tamil Nadu,Thoothukudi,2023,12.92,58.72,29.76,74.72,36.86,49.72,37.7
Punjab,Kapurthala,2019,84.31,60.61,47.32,74.1,71.59,43.73,27.41
Uttar Pradesh,Fatehpur,2019,81.42,31.64,10.36,94.22,30.53,16.34,50.15
Telangana,Khammam,2022,27.89,79.5,42.53,27.45,79.29,54.46,75.92
Telangana,Hanamkonda,2020,84.51,65.22,85.84,74.69,21.3,98.51,70.18
Telangana,Komaram Bheem Asifabad,2023,49.23,94.5,46.12,56.6,34.93,45.85,13.85
Manipur,Tengnoupal,2016,79.5,55.08,14.39,12.93,70.27,36.6,15.38
Tamil Nadu,Erode,2019,39.0,84.02,37.55,61.91,36.45,25.95,25.14
Madhya Pradesh,Narsinghpur,2018,43.92,90.82,99.76,25.97,85.17,12.31,36.63
Madhya Pradesh,Betul,2021,64.51,34.39,29.54,73.52,55.6,33.68,45.32
Jharkhand,Dhanbad,2019,84.86,30.5,15.82,25.17,47.65,99.88,69.62
Arunachal Pradesh,Lohit,2018,45.62,40.48,67.56,46.51,66.13,50.78,31.99
Assam,Nagaon,2024,80.94,93.61,13.98,54.5,68.62,80.03,24.8
Uttar Pradesh,Sultanpur,2020,12.28,37.28,81.25,91.66,26.99,10.77,13.77
West Bengal,Hooghly,2015,61.62,19.23,59.03,82.96,65.34,45.83,91.93
Uttar Pradesh,Gorakhpur,2018,79.61,87.91,40.97,34.35,87.1,49.1,78.29
Andhra Pradesh,NTR,2021,88.39,27.67,90.78,31.52,58.39,63.18,53.99
Rajasthan,Didwana-Kuchaman,2018,75.56,24.06,53.51,93.99,19.58,41.64,86.3
Chhattisgarh,Kondagaon,2017,14.14,77.25,96.47,15.66,33.89,47.12,54.84
Madhya Pradesh,Morena,2018,99.09,67.11,19.73,39.42,62.35,63.13,95.92
Assam,Golaghat,2017,67.35,26.93,66.64,77.79,43.95,90.0,45.58
Andhra Pradesh,Sri Sathya Sai,2020,94.2,74.02,33.21,77.09,58.95,83.93,94.46
Madhya Pradesh,Ratlam,2016,14.46,81.46,32.64,80.75,81.06,77.64,28.46
Karnataka,Bengaluru Urban,2020,32.31,17.43,70.91,99.15,98.07,92.05,92.41
Haryana,Kurukshetra,2025,50.97,30.58,58.79,36.72,19.09,79.82,18.73
Karnataka,Kalaburagi,2019,52.74,79.85,61.86,58.6,54.97,16.05,87.74
Uttar Pradesh,Gautam Buddha Nagar,2020,54.0,29.09,54.0,13.14,73.13,74.86,34.17
Haryana,Gurugram,2021,73.94,73.51,60.34,49.13,28.67,78.64,72.73
Andhra Pradesh,Alluri Sitharama Raju,2016,84.66,55.06,51.36,42.71,18.46,21.85,65.05
West Bengal,Birbhum,2017,28.7,65.5,27.52,19.5,75.46,58.22,91.4
Telangana,Adilabad,2022,70.69,13.54,57.7,18.69,38.5,66.08,94.45
Arunachal Pradesh,Papum Pare,2022,98.24,52.84,85.9,34.17,71.59,63.57,48.94
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2023,51.58,86.0,61.54,49.17,86.69,62.82,29.23
Telangana,Peddapalli,2020,74.57,23.68,53.23,19.7,19.0,31.65,53.39
Rajasthan,Ajmer,2023,47.95,66.06,31.81,71.88,88.88,62.7,33.8
Uttar Pradesh,Kaushambi,2016,18.41,10.11,66.81,11.0,98.35,52.83,28.8
West Bengal,Birbhum,2024,96.6,79.14,40.46,30.68,38.55,62.97,64.75
Haryana,Bhiwani,2017,54.68,66.35,14.63,21.57,84.64,91.53,91.33
Andhra Pradesh,West Godavari,2016,47.05,86.33,83.12,39.95,88.35,45.97,15.93
Uttar Pradesh,Deoria,2018,31.33,92.6,38.93,73.92,72.6,35.63,81.6
Rajasthan,Alwar,2025,86.24,49.57,66.17,20.71,67.87,56.25,85.49
Tripura,Dhalai,2021,27.73,23.48,72.3,77.64,69.96,62.09,68.7
Uttar Pradesh,Jhansi,2022,28.98,28.08,10.75,85.59,28.66,89.34,65.42
West Bengal,Paschim Bardhaman,2022,67.39,11.06,60.27,57.1,89.02,52.34,58.83
Bihar,Samastipur,2018,92.31,36.23,59.97,78.24,68.72,55.01,29.84
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2019,11.5,78.94,98.72,10.31,15.03,92.07,81.86
Bihar,Vaishali,2022,29.44,43.1,27.44,45.36,65.77,12.48,76.75
Rajasthan,Bharatpur,2021,53.64,85.55,10.17,49.72,76.85,26.33,24.96
Manipur,Imphal West,2018,34.3,90.97,37.3,34.91,67.35,12.11,56.51
Uttar Pradesh,Kannauj,2024,67.72,58.49,72.23,69.01,68.73,72.6,18.42
Telangana,Nizamabad,2017,31.32,43.54,46.29,41.15,31.47,33.12,24.19
Tamil Nadu,Thanjavur,2015,69.75,24.59,16.6,74.87,61.34,71.71,49.21
Chhattisgarh,Sarangarh-Bilaigarh,2025,88.43,88.23,92.65,54.14,40.7,36.74,95.42
Bihar,Arwal,2015,35.04,19.12,99.59,62.27,22.26,39.12,58.65
Himachal Pradesh,Kullu,2019,93.35,56.16,97.22,90.55,20.9,93.88,15.28
Gujarat,Patan,2015,91.89,25.17,92.54,16.42,23.4,66.85,22.43
Odisha,Nuapada,2022,58.4,23.59,68.63,80.75,78.43,58.38,92.55
Andhra Pradesh,Vizianagaram,2021,39.9,64.82,64.49,58.61,23.25,16.11,90.31
Telangana,Peddapalli,2025,18.47,50.96,16.24,11.59,80.62,22.23,48.88
Rajasthan,Bikaner,2017,77.41,90.96,63.0,28.55,32.68,33.04,24.95
Rajasthan,Hanumangarh,2020,18.29,43.92,93.54,80.89,54.9,32.11,97.31
Uttarakhand,Haridwar,2019,59.02,12.57,31.58,88.47,86.87,52.92,60.94
Andhra Pradesh,Annamayya,2018,90.23,43.24,53.4,40.86,25.59,80.42,43.93
Tamil Nadu,Salem,2015,64.86,52.49,89.49,63.05,18.44,24.57,12.73
Tamil Nadu,Theni,2025,81.63,18.67,23.15,34.05,72.61,73.85,26.23
Rajasthan,Jalore,2017,10.67,12.57,46.18,15.86,81.07,42.79,62.95
Uttarakhand,Dehradun,2022,26.36,75.24,72.74,16.2,35.41,82.37,62.1
Madhya Pradesh,Balaghat,2015,59.75,46.24,74.84,72.03,87.45,77.77,58.73
Karnataka,Tumakuru,2022,21.14,13.39,77.59,75.73,62.3,29.78,46.55
Arunachal Pradesh,West Siang,2018,63.03,38.08,63.52,90.14,42.32,87.56,44.69
Gujarat,Dang,2016,25.7,89.09,80.77,57.78,53.11,86.37,52.25
Himachal Pradesh,Kangra,2020,39.83,68.98,17.46,38.91,29.7,42.3,44.85
Jharkhand,Garhwa,2015,48.09,99.84,37.63,24.87,93.52,97.61,24.01
Uttar Pradesh,Etah,2019,56.49,44.43,12.7,96.3,57.26,81.65,58.53
Arunachal Pradesh,Upper Siang,2024,26.99,40.08,28.74,36.4,17.94,52.75,57.18
Uttar Pradesh,Varanasi,2019,82.45,87.59,70.29,99.15,81.34,21.54,74.02
Karnataka,Bengaluru Rural,2025,38.16,72.97,99.44,33.89,58.33,38.17,94.75
Tripura,Dhalai,2016,96.57,12.78,34.4,17.47,68.93,73.89,40.96
Bihar,Sheikhpura,2016,96.76,89.68,20.3,46.95,89.66,28.2,71.16
Tamil Nadu,Sivaganga,2025,21.47,64.73,32.16,15.4,65.84,47.63,33.72
Tamil Nadu,Erode,2025,65.86,79.06,43.31,15.66,76.35,83.58,32.89
West Bengal,Purba Bardhaman,2023,27.54,44.44,30.08,67.6,10.32,59.25,93.3
Tamil Nadu,Theni,2018,57.18,95.55,89.09,78.93,44.03,78.17,24.17
Kerala,Ernakulam,2023,75.15,64.6,92.02,97.63,63.94,59.13,94.87
Tamil Nadu,Karur,2024,68.64,53.85,26.52,80.9,36.93,72.35,46.61
Gujarat,Surendranagar,2016,15.05,44.2,17.27,38.94,47.63,81.3,49.27
Uttar Pradesh,Mau,2020,74.83,38.31,59.72,75.04,32.65,82.56,45.21
Gujarat,Surendranagar,2019,18.63,29.1,48.19,36.35,89.19,19.73,54.86
Uttar Pradesh,Firozabad,2017,57.74,54.96,52.61,79.74,14.75,31.7,20.41
Jharkhand,Bokaro,2018,78.13,86.93,94.09,43.51,69.15,60.86,39.14
Karnataka,Vijayapura,2025,77.27,34.46,27.63,10.84,37.3,30.88,53.4
Uttar Pradesh,Bahraich,2020,66.39,66.52,42.38,81.92,42.49,46.85,44.08
Nagaland,Peren,2023,88.84,74.83,27.43,80.97,26.32,88.44,79.28
Tamil Nadu,Tiruchirappalli,2017,31.94,27.6,83.8,81.94,33.89,81.84,21.73
Odisha,Koraput,2020,35.41,61.66,44.56,98.36,34.19,97.6,88.16
Mizoram,Hnahthial,2020,57.36,71.37,86.96,91.99,56.67,96.03,61.23
Manipur,Kakching,2016,41.56,16.75,70.18,90.46,81.76,75.47,23.56
West Bengal,Kalimpong,2017,84.52,27.97,23.42,31.82,86.82,39.81,18.23
Uttarakhand,Nainital,2017,89.7,93.09,33.52,10.73,61.54,17.93,50.03
Tripura,West Tripura,2024,65.97,83.36,16.79,54.55,48.34,87.05,72.63
Mizoram,Serchhip,2023,62.88,73.63,53.49,32.91,91.11,24.79,10.4
Gujarat,Mahisagar,2018,49.34,80.11,70.52,32.9,54.29,45.07,15.43
Madhya Pradesh,Balaghat,2016,37.19,35.17,60.33,52.37,38.01,99.88,14.74
Nagaland,Mokokchung,2015,87.83,28.44,16.41,18.02,43.12,16.55,46.71
Odisha,Nayagarh,2016,44.23,91.17,23.99,14.9,27.75,17.78,66.82
Arunachal Pradesh,West Kameng,2021,47.4,38.42,72.22,37.07,49.31,56.74,28.95
Manipur,Chandel,2015,76.17,68.75,80.8,14.9,81.35,73.33,13.6
Maharashtra,Gadchiroli,2018,26.78,32.13,87.07,38.0,72.35,63.06,94.27
