state,district,year,malnutrition_rate,undernourishment,child_stunting,child_wasting,vitamin_deficiency,obesity_rate,nutrition_programs
Rajasthan,Sikar,2024,49.17,68.42,19.09,54.72,43.24,62.3,69.78
Mizoram,Saiha,2016,20.2,76.52,68.18,59.7,50.4,88.38,14.54
Haryana,Fatehabad,2025,12.87,17.49,85.16,38.81,62.63,38.83,21.73
Odisha,Jharsuguda,2017,53.24,50.22,59.79,52.46,60.63,58.25,22.59
Karnataka,Chikkamagaluru,2016,58.06,15.69,76.65,56.82,95.23,31.59,66.16
Uttar Pradesh,Varanasi,2019,91.94,65.86,46.73,46.54,31.94,47.23,12.62
Assam,Chirang,2017,12.61,56.17,57.33,98.6,77.22,19.89,61.07
Bihar,Lakhisarai,2015,43.38,65.32,90.45,14.85,30.0,91.55,45.58
Uttar Pradesh,Sambhal,2025,42.88,55.42,22.24,85.66,96.16,85.29,10.08
Madhya Pradesh,Khargone,2019,51.53,20.0,26.47,94.22,39.22,95.11,50.08
West Bengal,Nadia,2016,54.73,22.52,33.24,86.73,67.66,13.37,55.9
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2017,65.88,46.68,90.93,84.12,58.5,14.31,34.78
Nagaland,Phek,2021,59.04,87.5,40.39,59.91,68.71,73.31,75.02
Arunachal Pradesh,Tirap,2020,60.17,59.67,51.6,25.45,87.75,45.61,53.03
Chhattisgarh,Bijapur,2022,42.09,93.62,89.14,94.27,98.65,94.31,11.9
Assam,Dibrugarh,2021,14.6,46.92,12.74,89.92,77.97,25.87,80.34
Uttarakhand,Dehradun,2016,25.12,23.06,89.85,18.55,20.08,82.7,80.15
Kerala,Malappuram,2021,77.7,60.16,65.2,66.21,74.54,36.32,80.56
West Bengal,Bankura,2018,72.99,95.09,23.04,14.89,31.15,84.96,56.9
Mizoram,Lawngtlai,2025,10.25,30.02,68.4,37.43,30.03,82.14,51.09
Uttar Pradesh,Prayagraj,2020,92.69,62.9,93.86,34.53,22.36,46.21,13.81
West Bengal,Jalpaiguri,2024,54.28,97.31,46.73,42.08,55.38,71.67,88.57
Uttar Pradesh,Azamgarh,2018,58.89,97.97,86.64,14.21,39.57,53.17,11.26
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,87.25,75.49,16.69,94.95,99.8,76.73,95.59
Kerala,Thiruvananthapuram,2019,93.81,72.97,73.63,24.39,95.63,95.46,89.98
Karnataka,Raichur,2024,48.1,79.22,63.1,94.66,77.63,19.67,71.91
Arunachal Pradesh,Lepa Rada,2015,94.91,43.91,20.88,40.14,15.74,48.13,27.96
Chhattisgarh,Korba,2021,71.85,22.53,86.85,85.48,77.17,90.94,41.86
Bihar,Sitamarhi,2024,82.59,55.79,34.78,86.56,83.53,43.98,22.29
Jharkhand,Seraikela-Kharsawan,2015,17.34,89.01,56.31,49.23,90.89,84.05,20.29
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,14.19,19.09,30.16,61.64,10.24,68.19,64.42
Madhya Pradesh,Betul,2018,31.89,81.54,72.46,95.68,93.44,83.17,12.15
Andhra Pradesh,Nandyal,2019,20.3,38.81,27.5,98.95,79.84,75.37,81.61
Tamil Nadu,Ramanathapuram,2024,43.0,80.37,60.59,63.76,40.18,28.13,74.86
Himachal Pradesh,Hamirpur,2016,28.93,83.86,12.84,13.41,96.53,83.92,21.76
Uttar Pradesh,Moradabad,2025,78.1,57.99,10.47,72.65,45.8,76.77,48.61
Madhya Pradesh,Betul,2023,80.24,18.36,11.02,36.49,88.13,23.28,71.67
West Bengal,Hooghly,2016,36.19,97.45,28.64,38.51,58.68,66.19,84.09
Telangana,Narayanpet,2025,52.93,60.07,73.84,42.82,82.64,29.94,18.36
Bihar,West Champaran,2017,32.78,57.52,36.72,14.84,77.14,76.12,91.43
Nagaland,Mon,2022,76.35,51.43,41.45,31.54,22.84,71.02,17.36
Madhya Pradesh,Maihar,2023,65.8,70.96,29.4,75.28,74.81,10.7,89.06
Tamil Nadu,Sivaganga,2015,36.6,74.52,21.36,87.22,17.39,12.8,11.46
Andhra Pradesh,Nandyal,2021,83.28,31.92,66.29,76.81,23.35,28.43,93.38
Bihar,Katihar,2015,61.23,23.65,88.72,27.3,48.73,78.89,94.2
Mizoram,Kolasib,2025,94.83,80.14,82.96,11.51,31.73,36.22,91.18
Himachal Pradesh,Sirmaur,2017,77.53,43.12,66.16,46.66,21.79,70.57,84.63
Uttar Pradesh,Sambhal,2024,71.96,65.9,77.44,59.21,23.79,69.88,20.78
Rajasthan,Jodhpur,2016,84.31,29.15,52.48,60.57,28.57,71.38,59.44
Odisha,Kalahandi,2025,94.83,76.94,50.13,85.9,57.15,74.23,12.88
Meghalaya,North Garo Hills,2019,70.3,28.44,81.05,94.81,37.17,56.56,54.61
Andhra Pradesh,YSR Kadapa,2019,22.06,17.79,67.15,73.09,24.47,49.68,80.79
Gujarat,Tapi,2022,14.34,29.86,82.67,13.65,38.0,54.19,26.91
Assam,South Salmara-Mankachar,2025,52.19,24.25,54.9,61.24,43.47,43.74,56.96
Uttar Pradesh,Kanpur Dehat,2024,19.08,22.42,93.21,94.91,44.79,74.07,97.0
Punjab,Ludhiana,2018,38.26,76.01,39.84,54.76,85.85,62.38,33.31
Rajasthan,Dungarpur,2025,10.95,15.78,34.36,90.14,96.89,45.33,90.51
Haryana,Faridabad,2020,59.54,62.03,14.06,65.69,79.91,46.59,27.04
Bihar,Jamui,2025,72.04,88.63,53.24,26.89,61.26,90.98,92.39
Kerala,Ernakulam,2016,69.62,64.45,68.03,18.22,94.78,75.97,36.42
Uttar Pradesh,Saharanpur,2023,58.48,89.56,95.75,78.03,32.76,15.95,68.42
Andhra Pradesh,NTR,2017,69.05,41.77,67.74,55.36,81.05,52.9,21.92
Uttar Pradesh,Bulandshahr,2025,50.76,34.48,14.71,55.62,47.47,65.53,88.25
Rajasthan,Dausa,2024,44.26,99.88,91.08,25.63,32.13,62.92,53.86
Andhra Pradesh,Bapatla,2020,19.6,41.42,49.2,72.82,14.48,27.34,14.37
Tripura,Khowai,2015,80.63,42.42,85.47,69.6,79.69,26.71,97.34
Telangana,Bhadradri Kothagudem,2023,63.55,16.56,13.36,73.77,49.99,46.49,90.27
Sikkim,Pakyong,2019,29.48,10.49,13.15,32.74,75.8,34.03,31.76
Uttar Pradesh,Pilibhit,2019,54.17,80.77,33.66,73.22,58.79,33.54,47.01
Madhya Pradesh,Dindori,2020,35.33,85.1,27.53,44.92,33.38,70.05,15.87
Assam,Dhubri,2016,74.16,33.52,31.0,72.59,63.73,56.94,11.79
Uttar Pradesh,Ballia,2022,99.36,37.39,18.87,77.42,56.23,88.38,71.92
West Bengal,Kalimpong,2020,74.44,27.92,36.52,24.62,97.43,59.48,90.52
Madhya Pradesh,Sehore,2015,59.64,51.9,91.58,62.17,98.54,14.5,18.49
Himachal Pradesh,Lahaul & Spiti,2017,82.15,50.05,93.63,72.7,94.52,78.71,33.03
Telangana,Medchal-Malkajgiri,2018,97.67,44.93,96.56,54.42,51.15,94.0,26.11
Tamil Nadu,Nagapattinam,2015,73.81,46.87,29.67,48.94,73.6,92.91,45.49
Chhattisgarh,Sarangarh-Bilaigarh,2024,84.71,82.27,89.53,49.47,34.22,84.67,58.59
Uttar Pradesh,Etawah,2020,64.44,15.53,27.63,72.02,35.29,77.45,20.79
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2015,58.71,87.36,97.89,77.27,62.32,39.46,58.57
Gujarat,Kheda,2019,36.95,21.33,11.32,96.91,22.48,78.56,83.55
Maharashtra,Ahmednagar,2019,31.78,73.6,21.93,80.79,76.56,75.7,90.15
Haryana,Faridabad,2018,31.21,48.68,89.86,72.92,53.75,99.03,73.71
Uttar Pradesh,Hathras,2017,89.84,99.38,51.16,48.5,44.07,97.62,72.58
Uttar Pradesh,Amroha,2019,45.96,89.6,33.07,13.7,78.1,53.42,54.48
West Bengal,Jhargram,2023,29.16,75.27,34.28,38.89,62.26,20.98,62.93
Chhattisgarh,Surguja,2017,66.1,15.67,50.92,76.86,16.0,77.66,15.54
Assam,Nalbari,2017,30.5,49.98,49.21,81.54,33.85,92.57,94.37
Tripura,North Tripura,2021,11.38,47.4,88.56,28.23,92.1,33.88,66.57
Uttar Pradesh,Mathura,2017,22.98,53.41,73.43,22.49,24.77,89.44,78.74
West Bengal,Purba Medinipur,2019,63.52,87.26,84.12,49.16,67.06,75.3,13.74
Maharashtra,Hingoli,2024,97.45,64.51,73.26,39.25,68.5,23.84,73.89
Assam,Dhubri,2019,46.65,28.42,86.57,26.97,42.41,27.42,34.45
Assam,Kamrup,2019,25.91,91.4,18.67,19.36,49.55,74.56,94.35
Karnataka,Vijayanagara,2016,92.06,56.85,73.74,10.67,68.85,77.24,68.88
Gujarat,Bhavnagar,2022,68.67,52.61,70.86,88.57,40.33,42.85,98.02
Sikkim,Soreng,2017,36.92,43.13,95.07,93.29,44.38,75.66,37.03
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2015,68.98,93.41,22.25,72.58,20.85,94.55,74.56
Odisha,Kendrapara,2015,71.07,76.77,69.22,27.12,50.33,10.6,63.64
Tripura,Khowai,2020,56.19,50.11,74.16,34.3,45.52,65.53,25.9
Tamil Nadu,Thiruvarur,2022,39.42,12.7,73.32,16.48,50.38,38.66,18.13
Odisha,Sundargarh,2017,82.52,15.93,32.48,82.51,19.33,46.56,48.56
Jharkhand,Koderma,2019,31.03,19.32,21.98,13.83,51.76,93.2,43.45
Karnataka,Koppal,2023,65.16,17.13,67.67,50.25,92.64,42.64,57.71
Kerala,Kottayam,2017,65.08,64.18,99.94,80.74,22.72,90.58,77.47
Nagaland,Longleng,2025,11.69,77.99,26.79,16.51,98.61,42.74,69.49
Gujarat,Kheda,2019,35.01,54.77,84.25,69.22,25.11,10.62,20.85
Uttar Pradesh,Hamirpur,2023,46.47,46.55,39.61,90.18,18.24,29.54,13.83
Tamil Nadu,Tirupathur,2015,20.51,12.12,45.78,92.12,94.8,16.93,73.22
Uttar Pradesh,Bareilly,2017,99.86,64.86,18.63,36.77,29.11,15.4,49.23
Telangana,Jagtial,2021,39.54,45.83,40.44,43.05,18.55,67.96,63.92
Karnataka,Vijayapura,2017,10.96,79.59,47.83,50.14,17.56,66.34,73.12
Uttarakhand,Dehradun,2024,39.02,92.02,51.9,36.44,32.85,35.86,47.71
Gujarat,Porbandar,2020,29.7,68.26,35.01,83.92,40.06,79.51,52.11
Manipur,Chandel,2023,16.33,36.55,47.03,30.36,81.41,70.31,93.36
Haryana,Hisar,2019,26.74,79.05,88.16,43.27,94.96,81.23,55.72
Maharashtra,Pune,2016,49.62,28.41,63.76,48.81,76.73,57.77,53.72
West Bengal,Dakshin Dinajpur,2015,21.26,35.57,53.74,31.37,87.34,41.1,10.36
Odisha,Jharsuguda,2024,63.8,66.76,81.07,94.77,57.31,65.91,78.32
Karnataka,Koppal,2016,68.91,82.95,91.87,62.35,95.3,77.25,63.91
Nagaland,Dimapur,2015,49.66,37.98,81.1,59.4,67.28,44.2,60.83
Tamil Nadu,Erode,2023,49.1,64.01,35.8,13.68,57.95,49.47,53.3
Tamil Nadu,Kanchipuram,2015,69.99,16.82,50.07,73.74,70.24,35.93,81.6
Nagaland,Kiphire,2022,35.69,81.14,43.01,36.11,80.22,54.68,14.76
Haryana,Nuh,2024,70.97,32.1,62.79,89.44,23.8,38.45,81.81
Haryana,Ambala,2025,63.39,85.98,41.21,76.49,36.8,84.91,96.5
Chhattisgarh,Kanker,2024,82.37,46.6,62.86,25.57,80.96,30.61,41.02
Haryana,Panipat,2015,92.56,83.39,77.1,97.13,93.49,88.39,46.48
Rajasthan,Jhalawar,2018,58.74,55.18,24.46,66.72,34.56,83.47,32.38
Uttarakhand,Chamoli,2017,26.85,78.89,70.92,77.6,59.74,27.2,89.88
Punjab,Barnala,2021,14.13,94.89,67.42,84.07,51.51,67.44,84.38
Rajasthan,Balotra,2019,39.6,58.43,72.25,37.99,80.24,27.83,96.63
Maharashtra,Ratnagiri,2019,26.11,77.12,92.75,67.42,79.99,31.54,86.01
Telangana,Karimnagar,2017,73.65,80.32,81.15,78.6,97.15,95.19,10.16
Uttar Pradesh,Etah,2015,28.49,94.55,50.33,23.02,57.82,57.03,72.3
Odisha,Malkangiri,2021,21.97,50.71,28.39,54.07,13.54,44.17,64.04
Odisha,Bargarh,2018,42.67,42.68,75.25,12.54,86.74,25.0,71.85
Rajasthan,Gangapur City,2019,23.04,23.97,86.15,88.04,10.57,61.58,35.51
Meghalaya,West Garo Hills,2025,76.38,35.07,48.6,53.76,63.48,90.93,64.17
Nagaland,Peren,2022,29.25,96.51,42.49,16.24,13.77,48.19,71.49
Maharashtra,Jalna,2016,44.09,40.89,40.93,15.99,77.0,49.44,30.98
Karnataka,Vijayanagara,2017,53.16,88.78,97.65,28.19,69.19,69.5,78.55
Rajasthan,Hanumangarh,2023,81.65,99.56,30.25,35.53,98.5,14.78,58.02
Telangana,Wanaparthy,2016,65.21,14.41,47.88,25.1,80.49,61.27,79.32
Haryana,Kaithal,2019,69.94,34.82,59.49,83.33,32.38,36.91,64.84
Arunachal Pradesh,Kra Daadi,2022,80.75,19.37,68.57,90.21,50.48,66.78,41.6
Uttar Pradesh,Kasganj,2017,62.34,25.42,55.56,66.78,58.61,34.14,52.91
Tripura,Khowai,2023,49.34,25.09,81.64,37.7,63.67,69.61,20.3
Maharashtra,Amravati,2020,27.15,61.43,93.63,81.4,37.94,74.67,99.18
Uttar Pradesh,Deoria,2019,42.86,44.99,12.44,91.29,76.42,95.93,76.09
Jharkhand,Dhanbad,2023,26.03,51.87,95.86,58.4,10.08,43.28,75.67
Telangana,Nizamabad,2024,31.87,30.58,30.84,61.76,44.06,32.57,18.59
Assam,Bongaigaon,2020,14.68,30.6,84.33,53.08,67.98,84.42,23.55
Uttar Pradesh,Hardoi,2022,90.68,71.06,90.91,71.47,26.96,13.34,43.7
Haryana,Yamunanagar,2024,55.37,33.15,17.0,80.45,89.8,79.86,90.02
Gujarat,Tapi,2015,93.48,49.01,43.55,74.72,30.43,48.41,26.18
Chhattisgarh,Bastar,2025,95.84,12.21,72.62,49.77,57.08,90.8,83.29
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2016,73.44,20.2,90.52,61.96,98.09,10.39,98.79
Bihar,Patna,2019,67.93,36.01,92.66,61.92,50.14,37.37,30.21
Telangana,Jangaon,2019,81.31,61.81,65.87,67.52,15.36,20.96,90.39
Uttar Pradesh,Unnao,2021,73.99,48.45,36.08,24.66,23.33,86.55,99.89
Himachal Pradesh,Shimla,2021,31.33,53.15,40.43,67.97,15.61,84.87,63.23
Tamil Nadu,Viluppuram,2015,55.36,81.77,68.7,97.17,78.45,65.76,28.83
Uttar Pradesh,Sant Kabir Nagar,2024,71.83,19.78,29.78,19.26,51.29,77.81,48.37
Assam,Hojai,2025,85.27,85.37,53.31,41.03,67.69,75.57,67.3
Punjab,Pathankot,2024,79.27,92.77,23.78,89.14,61.44,87.96,57.95
Punjab,Mansa,2018,86.69,72.32,59.65,79.91,48.87,74.44,78.66
Arunachal Pradesh,Siang,2025,53.51,43.71,12.56,35.38,20.68,50.72,53.14
Tamil Nadu,Kallakurichi,2021,43.0,90.56,51.58,74.39,52.94,88.39,34.38
Telangana,Medak,2024,79.78,64.11,52.17,93.21,23.22,91.09,81.68
Odisha,Bhadrak,2015,59.98,82.3,80.07,50.74,31.75,50.02,25.92
Madhya Pradesh,Shivpuri,2015,25.45,16.87,83.35,47.75,12.94,99.25,83.03
Madhya Pradesh,Shivpuri,2018,17.23,83.87,76.69,15.85,99.45,20.02,22.19
Himachal Pradesh,Mandi,2016,60.32,92.91,14.94,73.99,59.36,65.4,22.07
Karnataka,Yadgir,2025,64.03,16.73,24.54,91.73,70.32,40.97,43.29
Mizoram,Champhai,2020,60.81,30.4,82.3,99.18,74.79,43.09,69.82
Himachal Pradesh,Sirmaur,2018,68.53,44.83,23.15,29.29,82.26,20.8,52.69
Odisha,Gajapati,2015,58.71,36.71,55.29,80.2,51.31,51.78,85.15
Uttar Pradesh,Lucknow,2019,20.94,88.83,54.74,59.77,48.53,75.57,50.12
Gujarat,Morbi,2023,70.68,45.41,86.07,63.99,62.75,12.02,79.39
Odisha,Mayurbhanj,2021,75.17,27.89,70.74,33.66,37.68,65.24,98.53
Arunachal Pradesh,Namsai,2017,24.69,39.01,54.19,50.3,61.58,35.56,16.15
Nagaland,Tuensang,2019,26.37,34.33,65.85,65.38,28.89,51.98,48.96
Odisha,Kendrapara,2015,19.98,11.36,41.93,38.92,80.86,81.83,80.34
Gujarat,Gir Somnath,2017,64.7,14.06,74.34,45.94,28.02,43.79,27.05
Gujarat,Chhota Udepur,2024,18.41,98.95,71.3,87.6,23.37,70.95,35.26
Uttar Pradesh,Aligarh,2025,46.37,37.26,19.2,53.79,74.3,77.13,25.64
Tamil Nadu,Salem,2025,23.75,62.79,60.29,99.22,47.96,38.9,33.28
Mizoram,Champhai,2017,45.33,12.28,48.99,26.43,84.25,67.37,21.63
Uttar Pradesh,Firozabad,2022,63.14,25.97,29.39,53.18,33.37,11.56,84.34
Tamil Nadu,Thiruvallur,2025,97.11,58.33,12.91,81.2,33.42,47.6,86.13
Andhra Pradesh,Visakhapatnam,2015,47.26,24.87,83.87,70.26,86.02,82.24,29.73
Uttar Pradesh,Bareilly,2020,58.08,31.55,97.64,23.93,95.4,67.44,61.67
Punjab,Barnala,2019,89.37,32.83,50.72,10.79,88.05,92.31,87.05
Arunachal Pradesh,Upper Siang,2021,32.21,88.61,25.23,29.35,46.15,17.29,22.39
Maharashtra,Dhule,2017,21.48,25.55,65.67,19.54,79.36,14.62,45.5
Rajasthan,Jalore,2021,70.91,44.94,94.8,14.75,36.53,34.73,98.72
Nagaland,Peren,2022,92.24,22.7,66.02,73.05,64.75,45.68,65.43
Telangana,Jangaon,2017,35.68,76.1,11.88,24.21,60.81,42.56,21.04
Gujarat,Navsari,2019,86.97,14.05,94.94,47.79,73.68,22.04,65.36
Gujarat,Kheda,2019,39.35,81.36,30.15,52.19,34.23,33.21,29.97
Chhattisgarh,Sarangarh-Bilaigarh,2016,17.34,82.27,51.99,84.92,40.95,27.53,42.81
Odisha,Boudh,2016,87.88,55.04,64.68,36.06,79.61,57.44,45.58
Goa,South Goa,2024,80.75,45.06,93.86,53.74,78.47,60.72,12.51
Kerala,Kollam,2016,78.81,62.99,50.84,62.98,88.21,21.7,36.46
Gujarat,Porbandar,2022,86.42,67.87,59.91,15.26,54.23,27.94,76.32
Haryana,Panipat,2022,15.84,37.38,30.34,20.71,56.7,63.58,40.28
Tamil Nadu,Coimbatore,2021,53.26,70.72,87.81,48.86,74.28,65.97,56.14
Madhya Pradesh,Anuppur,2015,92.53,68.06,31.82,59.62,10.83,83.18,10.77
Tripura,North Tripura,2021,70.8,26.93,74.76,98.96,84.52,33.95,41.64
Karnataka,Ramanagara,2025,40.04,19.16,64.65,30.34,11.98,30.17,74.58
Karnataka,Ballari,2016,52.14,94.62,68.65,61.24,24.7,56.29,60.27
Madhya Pradesh,Tikamgarh,2015,97.98,67.1,86.07,79.81,10.19,40.86,19.16
Gujarat,Kheda,2015,51.86,38.37,51.15,38.12,42.0,94.55,10.56
Goa,South Goa,2019,40.17,33.15,95.47,93.85,39.78,74.4,45.14
Manipur,Imphal East,2019,86.62,91.03,76.47,97.49,54.67,34.2,99.11
Arunachal Pradesh,Lower Siang,2018,82.4,61.9,19.23,72.36,52.78,90.97,42.47
Maharashtra,Ahmednagar,2024,11.33,88.74,33.93,30.61,77.77,66.63,47.13
Madhya Pradesh,Chhatarpur,2022,99.45,78.95,42.39,34.07,93.26,78.05,78.53
Haryana,Jind,2022,23.66,63.18,63.42,19.08,98.24,96.31,32.22
Karnataka,Haveri,2019,85.1,32.63,46.69,43.88,21.37,10.09,25.81
Uttar Pradesh,Gonda,2020,13.65,20.15,30.79,64.57,70.73,96.78,79.74
Rajasthan,Ajmer,2021,48.1,50.77,31.41,91.03,86.46,26.75,31.58
Kerala,Kozhikode,2018,39.79,91.71,21.94,55.4,55.59,96.32,16.27
Uttar Pradesh,Ambedkar Nagar,2017,51.84,94.22,20.68,62.51,91.71,95.23,47.7
Madhya Pradesh,Niwari,2016,54.13,12.52,45.37,16.84,26.9,23.88,22.55
Bihar,East Champaran,2024,15.42,57.94,10.81,15.08,64.25,32.6,32.02
Andhra Pradesh,Srikakulam,2021,50.49,91.1,34.18,50.12,26.59,44.13,99.52
Tamil Nadu,Coimbatore,2015,72.17,52.03,85.15,65.32,45.08,67.29,57.65
Rajasthan,Jodhpur,2017,36.49,37.59,10.28,61.39,13.11,98.59,22.88
Maharashtra,Parbhani,2016,69.06,93.8,86.33,66.68,92.29,80.44,34.08
Meghalaya,Ri Bhoi,2016,70.11,41.19,51.76,45.91,92.85,93.58,60.38
Rajasthan,Bharatpur,2018,93.58,23.82,20.97,21.45,19.06,10.5,75.01
Bihar,Sitamarhi,2025,91.56,28.75,85.17,38.35,20.64,38.0,79.71
Telangana,Nizamabad,2025,52.52,25.96,49.06,74.42,72.57,84.98,71.28
Uttar Pradesh,Jalaun,2015,61.67,64.1,29.84,33.35,95.41,59.78,50.59
Assam,Nagaon,2017,38.48,43.97,15.6,47.05,45.44,39.69,13.97
Assam,Hailakandi,2018,73.8,76.14,34.18,62.57,73.06,87.89,79.54
Telangana,Mulugu,2024,35.47,41.94,23.31,34.52,79.96,93.8,37.22
Tamil Nadu,Coimbatore,2023,52.6,41.8,44.19,53.56,68.46,52.67,64.68
Uttar Pradesh,Amethi,2023,48.38,24.94,84.72,25.48,83.77,13.98,90.87
Chhattisgarh,Balod,2023,30.09,21.87,58.06,99.49,48.08,62.19,90.15
Madhya Pradesh,Tikamgarh,2017,76.94,76.73,19.27,63.35,69.23,62.6,16.75
Telangana,Suryapet,2017,40.23,55.55,15.34,48.17,79.52,64.12,63.31
Jharkhand,Ranchi,2015,86.56,79.63,90.53,53.91,22.35,13.53,29.77
Uttar Pradesh,Mahoba,2025,23.27,72.33,13.14,82.79,18.84,68.92,83.01
Madhya Pradesh,Jhabua,2015,22.62,80.58,65.32,26.45,27.96,14.09,12.51
Bihar,Madhepura,2016,13.24,69.88,10.22,31.92,81.05,91.68,58.49
Manipur,Tengnoupal,2017,67.67,14.9,46.3,38.73,49.48,19.57,85.33
Madhya Pradesh,Balaghat,2018,24.96,40.4,77.16,65.85,50.73,40.27,94.99
Gujarat,Morbi,2021,63.2,73.95,70.8,83.7,43.25,39.4,62.31
Odisha,Bhadrak,2025,53.64,70.21,61.33,51.27,44.58,49.21,11.09
Arunachal Pradesh,Lohit,2023,99.36,54.45,22.36,69.34,56.33,95.72,52.98
Manipur,Ukhrul,2022,57.38,19.45,40.8,94.38,51.76,44.47,25.79
Chhattisgarh,Balod,2018,56.46,71.54,14.66,57.32,84.68,97.34,86.11
Uttar Pradesh,Bhadohi,2016,85.89,84.32,50.18,23.9,24.46,17.39,52.98
Nagaland,Tseminyu,2025,45.09,48.92,68.76,46.76,21.39,65.03,45.7
Uttarakhand,Bageshwar,2023,77.83,85.44,73.61,68.76,98.73,39.57,76.29
Assam,Nagaon,2024,98.48,23.7,84.73,77.81,23.24,98.11,45.38
Uttar Pradesh,Deoria,2017,52.31,40.28,79.35,91.67,25.46,75.57,12.41
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,23.37,44.99,47.22,19.72,61.48,56.11,20.5
Gujarat,Surendranagar,2020,46.47,65.36,26.37,87.63,57.43,92.39,62.26
Odisha,Jagatsinghpur,2020,16.89,74.1,96.63,60.61,80.36,78.34,99.88
Telangana,Mahabubnagar,2017,22.13,78.83,80.14,37.7,46.36,97.68,37.95
Rajasthan,Dholpur,2023,35.59,59.08,79.95,75.22,98.43,66.81,64.65
Odisha,Balasore,2020,22.88,49.31,12.23,89.45,95.82,48.54,85.72
Chhattisgarh,Bemetara,2015,44.14,79.98,59.11,81.9,86.09,99.34,17.23
Maharashtra,Latur,2025,25.46,80.96,21.09,36.75,96.28,32.99,98.65
Haryana,Hisar,2020,11.53,82.48,18.85,87.14,70.46,87.42,19.79
Karnataka,Vijayapura,2024,72.76,78.99,46.31,86.98,87.86,30.27,30.75
Chhattisgarh,Mungeli,2019,12.75,70.36,92.01,94.4,68.64,48.2,59.05
Rajasthan,Baran,2019,84.77,40.23,98.63,61.49,75.53,77.57,91.98
Odisha,Jharsuguda,2025,17.87,91.34,75.78,51.24,86.61,28.74,46.83
Odisha,Bargarh,2023,86.98,95.52,56.8,59.36,46.21,45.44,49.64
Himachal Pradesh,Kangra,2016,62.97,32.75,38.4,79.67,48.62,41.55,29.85
Tamil Nadu,Namakkal,2016,51.31,11.73,36.0,51.89,16.25,44.72,74.11
Tamil Nadu,Dindigul,2015,79.62,87.45,13.39,16.26,50.68,68.54,86.92
Bihar,Jamui,2020,46.38,23.45,59.8,70.92,30.0,14.04,44.34
Madhya Pradesh,Singrauli,2022,39.6,34.07,21.17,85.77,98.34,25.77,21.85
Madhya Pradesh,Niwari,2015,85.21,10.09,47.56,75.01,28.29,31.51,18.72
Gujarat,Mehsana,2019,71.13,30.11,91.64,88.5,44.86,21.99,12.64
Kerala,Kannur,2021,84.94,93.63,31.23,54.85,83.27,99.02,18.69
Rajasthan,Jhalawar,2025,42.58,66.21,10.86,15.13,82.12,57.04,46.44
Andhra Pradesh,Eluru,2020,15.95,60.84,10.74,37.73,81.07,76.55,10.41
Bihar,Buxar,2021,18.6,43.7,68.05,59.2,62.63,62.83,44.3
Bihar,Buxar,2023,60.53,43.75,87.92,55.18,93.02,99.92,61.92
Uttar Pradesh,Saharanpur,2022,63.09,87.83,49.56,24.82,64.43,48.94,34.5
Rajasthan,Salumbar,2023,88.6,55.73,36.35,22.21,68.39,42.15,14.93
Telangana,Nagarkurnool,2024,65.14,62.34,45.3,52.18,41.36,53.69,55.17
Meghalaya,East Khasi Hills,2020,11.51,94.13,10.03,38.81,61.47,79.11,63.9
Rajasthan,Alwar,2022,56.45,88.06,58.75,75.65,11.06,86.56,61.27
Bihar,Begusarai,2015,92.17,48.5,50.73,37.27,27.45,10.59,32.14
Uttar Pradesh,Bijnor,2023,29.92,11.54,38.66,29.29,80.74,68.4,51.92
Haryana,Nuh,2015,66.49,81.33,45.29,21.42,95.95,96.13,14.67
Gujarat,Dahod,2021,96.42,86.9,72.22,80.67,11.53,64.08,33.84
West Bengal,Alipurduar,2021,98.95,40.56,50.82,96.93,78.13,50.72,25.92
Madhya Pradesh,Dhar,2017,93.21,93.36,71.0,63.14,57.43,30.98,89.41
Kerala,Kottayam,2024,97.74,35.59,88.7,56.69,79.29,84.7,21.9
Jharkhand,Giridih,2019,96.62,81.88,41.7,67.08,89.81,27.79,13.55
Jharkhand,East Singhbhum,2025,58.46,92.07,45.81,56.48,62.81,38.27,77.57
Karnataka,Koppal,2024,12.29,27.93,51.87,58.83,70.58,88.67,79.92
Tripura,North Tripura,2017,17.67,74.27,48.6,90.86,43.94,53.33,28.27
Assam,Kamrup,2022,50.46,58.38,71.48,53.85,20.84,98.66,67.52
West Bengal,Cooch Behar,2021,16.07,18.29,41.01,10.85,24.94,10.64,39.64
Chhattisgarh,Dantewada,2016,52.38,43.69,59.94,51.1,95.44,84.12,35.25
Uttar Pradesh,Lalitpur,2016,67.42,37.74,91.57,27.16,62.66,90.85,67.19
West Bengal,South 24 Parganas,2015,74.81,42.7,50.57,29.82,57.88,58.79,94.4
Madhya Pradesh,Shivpuri,2024,33.84,66.96,30.17,55.92,33.63,73.43,16.53
Arunachal Pradesh,Kra Daadi,2020,76.38,30.59,69.05,10.75,32.07,95.44,57.89
Tamil Nadu,Sivaganga,2025,99.86,46.15,57.46,83.59,24.57,58.4,34.48
