state,district,year,metro_length,urban_projects,smart_city_score,traffic_index,public_transport_score,road_development,urban_population
Haryana,Panchkula,2021,85.0,98.48,87.95,13.91,86.44,40.56,65.7
Chhattisgarh,Surguja,2019,12.59,86.17,67.29,69.92,29.22,59.91,80.6
Maharashtra,Nandurbar,2017,16.41,77.03,35.88,42.11,59.37,76.68,23.67
Telangana,Medchal-Malkajgiri,2017,24.85,75.82,69.04,64.34,31.8,54.72,34.19
Madhya Pradesh,Jabalpur,2016,54.67,10.07,79.16,16.53,42.84,61.17,44.49
Arunachal Pradesh,Papum Pare,2022,90.85,27.13,26.97,99.12,64.13,96.71,33.55
Madhya Pradesh,Ratlam,2025,16.09,92.56,66.54,21.1,21.31,65.77,73.93
Andhra Pradesh,Parvathipuram Manyam,2025,32.22,37.96,61.48,65.98,16.26,48.03,13.86
Uttarakhand,Pauri Garhwal,2015,39.18,94.11,42.44,80.73,28.48,44.99,76.12
Odisha,Balasore,2016,63.64,10.8,98.46,83.41,26.44,84.03,99.76
Madhya Pradesh,Tikamgarh,2019,26.12,34.64,79.37,14.14,14.0,50.83,25.65
Gujarat,Gir Somnath,2016,72.18,97.45,24.88,55.03,65.01,37.76,20.68
Uttar Pradesh,Bareilly,2016,49.92,61.4,57.92,71.21,57.79,78.45,26.37
Uttar Pradesh,Meerut,2017,60.92,70.59,25.29,61.21,97.15,65.25,53.72
Manipur,Chandel,2022,31.02,52.2,57.1,41.58,78.16,21.75,36.74
Odisha,Kendrapara,2024,28.01,98.63,33.41,18.88,15.22,25.93,87.47
Telangana,Bhadradri Kothagudem,2015,25.42,77.76,48.3,72.37,93.6,59.66,41.24
Karnataka,Chikkamagaluru,2025,40.8,11.6,33.91,28.16,51.42,88.3,95.84
Bihar,Darbhanga,2016,33.13,82.24,69.02,49.66,66.65,90.56,81.64
Tamil Nadu,Ranipet,2021,79.0,74.86,89.77,62.82,98.08,61.91,87.23
Rajasthan,Jhunjhunu,2023,86.48,83.99,53.67,24.03,46.21,55.9,11.31
Rajasthan,Jodhpur,2019,27.26,17.4,25.05,30.52,88.77,59.84,16.75
Telangana,Vikarabad,2017,43.82,81.89,56.92,55.8,91.22,70.59,39.7
Telangana,Mahabubnagar,2023,32.3,83.63,95.32,70.26,72.87,52.92,92.99
Odisha,Rayagada,2021,77.54,64.46,79.23,14.7,21.3,67.39,13.89
Meghalaya,South Garo Hills,2020,16.38,96.97,66.5,34.51,72.89,86.65,93.45
Madhya Pradesh,Panna,2016,15.23,17.34,45.0,30.97,32.35,44.38,13.95
Manipur,Tamenglong,2023,73.72,84.98,83.77,72.62,12.78,10.29,43.97
Rajasthan,Chittorgarh,2023,53.9,86.76,79.47,44.44,40.12,10.04,91.75
Uttar Pradesh,Sitapur,2019,99.71,38.33,90.43,13.6,76.91,61.16,61.0
Assam,Cachar,2015,82.13,74.01,93.92,97.18,65.14,66.67,59.43
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,14.28,81.11,41.17,93.24,34.8,71.16,47.31
Arunachal Pradesh,Pakke-Kessang,2021,42.35,84.42,72.43,23.39,52.12,15.03,52.9
Karnataka,Shivamogga,2015,38.56,82.02,55.56,31.49,30.9,30.22,66.4
Rajasthan,Neem Ka Thana,2018,70.12,93.5,35.88,91.67,45.41,57.73,59.44
Haryana,Yamunanagar,2018,72.26,98.41,51.68,83.71,83.15,88.09,67.24
Uttarakhand,Haridwar,2025,44.53,30.26,28.64,83.59,50.43,13.55,49.87
Uttar Pradesh,Shahjahanpur,2016,94.76,82.64,13.0,39.49,62.81,65.01,58.52
Andhra Pradesh,Prakasam,2018,18.53,29.76,48.2,71.06,56.69,33.86,38.98
Chhattisgarh,Kanker,2016,14.96,10.25,67.91,46.5,90.84,87.77,74.28
Arunachal Pradesh,Lower Dibang Valley,2025,47.69,19.18,27.83,87.03,24.06,57.55,27.59
Madhya Pradesh,Dindori,2018,24.54,81.88,28.84,26.98,44.47,64.55,52.35
Madhya Pradesh,Umaria,2021,44.65,47.79,87.45,41.35,83.8,37.42,63.87
Andhra Pradesh,Nandyal,2018,21.25,99.7,94.63,85.25,70.33,15.09,50.87
Haryana,Fatehabad,2018,75.79,26.71,74.84,42.7,56.46,60.73,50.11
Uttar Pradesh,Lucknow,2020,10.29,59.8,30.8,60.16,12.29,17.07,99.42
Uttarakhand,Almora,2017,30.94,84.67,96.61,73.94,30.2,34.62,49.34
Karnataka,Udupi,2018,48.59,32.13,95.49,46.88,41.53,15.93,63.99
Tamil Nadu,Vellore,2021,50.63,80.63,93.53,81.71,88.34,71.89,97.2
Maharashtra,Chandrapur,2025,75.4,33.73,44.41,34.04,32.54,41.78,44.69
Andhra Pradesh,Nandyal,2019,12.66,66.11,62.63,89.84,70.68,80.0,61.22
Rajasthan,Anupgarh,2022,29.12,56.5,93.52,74.0,46.57,71.67,52.85
Tamil Nadu,Salem,2020,37.19,85.38,47.79,27.26,66.63,95.04,86.5
Uttar Pradesh,Gautam Buddha Nagar,2023,65.97,43.94,80.79,93.4,85.25,93.25,45.58
Odisha,Boudh,2023,13.4,99.25,92.08,38.73,76.66,24.91,97.2
Andhra Pradesh,East Godavari,2018,70.78,64.82,71.04,99.12,42.7,26.48,57.41
Haryana,Mahendragarh,2022,26.51,39.35,40.77,65.53,37.38,23.67,57.96
Karnataka,Shivamogga,2016,73.69,13.97,24.7,35.33,41.69,68.42,47.74
Uttar Pradesh,Meerut,2017,93.2,78.88,98.21,37.83,13.94,26.6,28.62
Arunachal Pradesh,Lower Dibang Valley,2022,92.37,32.28,14.15,55.04,94.43,78.23,61.19
Punjab,Barnala,2019,19.91,94.75,82.72,86.08,47.76,74.1,64.89
Assam,Karbi Anglong,2022,52.67,71.75,96.81,75.78,79.64,97.72,95.25
Arunachal Pradesh,Lepa Rada,2021,31.38,32.77,77.29,28.37,66.86,17.47,82.92
Tamil Nadu,Thanjavur,2025,24.91,90.69,68.29,51.05,51.38,45.6,96.9
Uttarakhand,Pithoragarh,2020,60.38,47.21,82.93,21.53,67.05,59.31,23.42
Telangana,Jogulamba Gadwal,2016,15.78,58.0,82.2,23.06,86.21,21.11,44.09
Tamil Nadu,Tiruchirappalli,2015,78.47,85.72,96.26,80.27,69.09,99.76,18.78
Punjab,Tarn Taran,2020,73.68,35.88,12.3,76.7,57.52,18.25,51.03
Andhra Pradesh,Sri Sathya Sai,2016,47.52,29.97,11.58,21.67,41.26,56.26,20.5
Madhya Pradesh,Barwani,2020,44.23,39.54,46.36,64.48,68.25,16.42,88.46
Assam,Sivasagar,2021,92.34,31.06,68.92,52.22,86.11,77.52,93.63
Nagaland,Tseminyu,2021,65.15,85.24,67.14,58.34,79.73,64.29,91.18
West Bengal,Birbhum,2024,21.69,28.08,61.87,80.36,33.19,28.61,80.53
Karnataka,Dakshina Kannada,2018,96.65,16.69,15.36,21.75,19.46,40.39,71.18
Arunachal Pradesh,Lower Dibang Valley,2016,80.44,76.19,57.66,29.77,22.83,49.0,92.33
Punjab,Moga,2022,55.96,44.56,63.6,58.56,79.74,14.89,42.53
Uttar Pradesh,Rampur,2015,65.32,68.66,18.61,98.31,21.84,62.92,59.53
Gujarat,Banaskantha,2017,62.37,43.04,42.28,33.65,43.01,57.76,67.06
Maharashtra,Kolhapur,2018,37.97,88.47,99.98,46.16,41.04,14.94,62.52
Gujarat,Devbhoomi Dwarka,2017,25.0,68.6,51.23,94.06,32.67,55.03,26.67
Maharashtra,Jalna,2020,59.62,86.43,25.92,45.14,46.01,49.21,67.86
Gujarat,Bhavnagar,2015,43.78,52.97,56.59,25.85,17.18,35.16,30.47
Uttar Pradesh,Etawah,2022,89.48,23.74,73.89,19.11,47.42,86.16,36.56
Uttar Pradesh,Kasganj,2024,45.83,98.62,61.7,81.99,51.26,61.23,92.26
Odisha,Boudh,2023,69.04,79.49,82.07,51.91,66.53,76.65,87.62
Assam,West Karbi Anglong,2025,92.62,44.13,45.16,86.08,41.53,61.58,13.31
Bihar,Khagaria,2016,77.26,59.09,95.97,17.69,10.14,53.81,95.29
Bihar,Purnia,2016,50.02,73.32,31.43,40.8,13.98,82.74,81.95
Gujarat,Gir Somnath,2023,76.03,24.41,43.47,69.51,29.67,94.49,74.6
Uttar Pradesh,Balrampur,2022,37.48,41.17,16.02,87.12,48.36,80.38,67.72
Jharkhand,Bokaro,2015,89.56,89.8,26.81,88.61,72.7,98.12,21.39
Madhya Pradesh,Morena,2020,87.59,73.12,97.0,35.47,13.22,79.66,44.73
Mizoram,Hnahthial,2015,98.98,69.11,86.38,56.29,39.63,70.76,91.39
Chhattisgarh,Korba,2019,78.27,65.37,14.45,22.44,33.7,29.3,93.78
Chhattisgarh,Surajpur,2022,70.09,91.7,75.62,77.08,54.02,30.23,45.03
Assam,Karimganj,2018,97.1,59.73,31.83,62.94,60.73,98.5,55.19
Uttar Pradesh,Shamli,2019,15.87,99.19,42.77,65.61,52.49,19.76,17.44
Nagaland,Dimapur,2024,52.51,41.79,86.3,34.53,71.32,49.23,47.55
Tamil Nadu,Dindigul,2019,27.57,94.28,56.6,14.93,12.72,10.63,90.82
Maharashtra,Mumbai Suburban,2025,12.81,29.59,66.55,56.08,98.74,62.37,57.29
Jharkhand,Chatra,2018,62.05,45.18,27.45,39.33,95.34,65.96,89.62
Jharkhand,Dumka,2015,82.85,99.48,55.64,53.1,19.57,17.83,45.41
Nagaland,Kiphire,2016,40.33,49.14,31.36,49.76,62.2,40.13,46.79
Jharkhand,Ramgarh,2018,37.3,15.52,81.49,59.21,68.72,11.06,78.04
Madhya Pradesh,Rewa,2019,97.34,31.78,69.62,35.3,83.42,92.34,64.9
Gujarat,Sabarkantha,2025,90.58,32.71,55.33,56.42,54.67,11.5,14.16
Telangana,Medchal-Malkajgiri,2025,69.83,44.47,46.79,26.01,18.95,10.2,52.72
Punjab,Amritsar,2023,84.17,82.04,66.11,10.18,63.07,16.8,48.51
Madhya Pradesh,Bhopal,2017,68.15,97.56,68.83,96.59,72.84,20.0,36.32
Telangana,Khammam,2024,21.94,38.46,54.2,67.35,21.95,92.58,48.01
Arunachal Pradesh,Lower Dibang Valley,2019,30.0,45.31,16.87,24.89,95.62,30.11,62.1
Karnataka,Kolar,2018,74.11,21.58,67.22,54.69,14.59,11.63,44.62
Bihar,Kishanganj,2022,23.6,85.04,37.53,60.62,85.96,87.69,57.67
Uttar Pradesh,Jaunpur,2025,29.0,52.7,26.02,34.77,19.64,43.39,82.48
Arunachal Pradesh,Lower Siang,2022,26.29,73.21,32.25,44.24,10.42,22.35,65.78
Jharkhand,Ramgarh,2020,45.56,14.24,70.9,30.99,22.01,43.63,51.57
Mizoram,Saitual,2017,82.3,48.99,81.46,45.22,79.15,59.75,10.18
Madhya Pradesh,Katni,2017,91.15,14.66,51.04,80.32,87.79,39.53,62.92
Arunachal Pradesh,Papum Pare,2025,27.23,35.4,54.66,18.13,73.15,82.78,54.22
Odisha,Nuapada,2019,89.94,55.51,44.68,96.31,54.48,31.81,74.5
Kerala,Thrissur,2024,31.78,77.82,39.59,15.5,45.09,71.03,52.57
Gujarat,Patan,2022,90.94,42.48,85.29,73.44,76.52,85.83,85.77
Assam,West Karbi Anglong,2017,82.3,10.21,82.24,80.98,81.27,35.34,15.6
Arunachal Pradesh,Kra Daadi,2023,55.74,15.29,60.64,45.02,23.18,93.25,60.19
Chhattisgarh,Dhamtari,2018,62.14,29.01,31.01,48.34,48.77,13.44,22.52
Gujarat,Aravalli,2020,56.55,90.06,63.8,71.03,52.35,83.72,42.04
Rajasthan,Karauli,2023,98.49,72.62,77.6,99.29,54.32,75.49,90.84
Telangana,Wanaparthy,2018,67.22,89.24,65.76,66.63,64.58,82.54,51.82
Manipur,Kakching,2024,35.4,37.36,69.11,83.14,28.02,58.82,70.56
Punjab,Gurdaspur,2020,99.08,21.25,41.42,74.01,19.82,25.12,41.93
Kerala,Ernakulam,2023,28.84,53.72,88.25,96.27,43.6,40.01,42.18
Nagaland,Longleng,2025,63.17,15.2,70.45,72.82,22.84,40.31,39.71
Tamil Nadu,Dharmapuri,2019,86.53,23.34,36.0,12.23,74.67,49.65,12.87
Haryana,Panchkula,2025,89.23,18.28,97.14,55.16,49.88,45.87,70.14
Gujarat,Bhavnagar,2017,97.49,95.1,74.88,11.31,80.37,25.76,75.58
Tamil Nadu,Ramanathapuram,2020,53.84,74.63,43.0,79.1,43.31,54.99,33.81
Rajasthan,Banswara,2023,38.71,95.19,53.33,60.36,63.5,97.58,58.46
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,52.78,91.81,44.41,20.25,95.55,97.32,14.6
Tamil Nadu,Tenkasi,2023,65.08,32.53,92.96,25.86,62.63,70.43,27.07
Madhya Pradesh,Chhatarpur,2024,50.38,19.53,41.66,74.5,82.58,29.99,48.56
Chhattisgarh,Balod,2019,57.47,44.6,94.28,98.32,49.22,98.13,20.03
West Bengal,Murshidabad,2020,56.75,53.82,33.45,16.69,80.5,97.01,44.96
Odisha,Bhadrak,2020,51.78,79.32,31.23,53.93,90.73,66.93,87.22
Andhra Pradesh,Prakasam,2023,86.75,85.4,67.27,48.25,97.01,79.99,67.21
Uttarakhand,Uttarkashi,2024,87.02,42.33,29.62,93.37,37.17,45.85,98.2
Kerala,Palakkad,2017,11.67,45.74,25.96,81.51,19.0,15.4,27.97
Jharkhand,Koderma,2018,43.04,17.9,14.68,52.82,86.37,47.58,75.25
Uttar Pradesh,Kaushambi,2017,88.96,57.44,33.54,77.87,87.61,56.8,77.86
Madhya Pradesh,Chhindwara,2019,34.99,29.56,99.77,39.32,12.06,33.71,90.85
Himachal Pradesh,Hamirpur,2015,64.0,85.13,67.8,39.15,47.62,52.0,48.27
Karnataka,Uttara Kannada,2024,58.59,64.3,26.58,36.77,79.97,28.86,93.25
Arunachal Pradesh,Kamle,2019,65.92,68.42,35.91,10.87,94.06,58.49,49.09
Himachal Pradesh,Kangra,2023,13.8,10.42,90.55,81.23,29.65,57.96,40.15
Jharkhand,Simdega,2023,52.01,48.23,66.92,24.39,47.76,56.47,86.77
Madhya Pradesh,Mandsaur,2024,86.45,87.73,36.67,34.22,96.64,56.32,95.05
Karnataka,Shivamogga,2018,53.53,72.23,81.45,13.09,30.25,70.28,28.36
Kerala,Pathanamthitta,2020,76.34,31.43,70.1,91.76,92.44,68.59,35.32
Rajasthan,Salumbar,2018,15.14,95.08,22.78,97.66,71.55,33.83,64.33
Uttar Pradesh,Chitrakoot,2024,12.5,73.96,27.89,59.22,26.85,69.94,26.55
Uttar Pradesh,Kushinagar,2016,34.38,53.2,20.29,92.02,42.2,48.02,52.84
Karnataka,Koppal,2023,60.94,30.52,10.63,21.46,23.55,95.53,70.59
Himachal Pradesh,Bilaspur,2015,66.01,11.63,56.88,50.47,26.94,63.35,95.1
Punjab,Gurdaspur,2016,24.81,23.63,67.28,67.79,83.44,11.73,37.56
Maharashtra,Kolhapur,2017,56.54,64.71,88.55,43.9,65.43,88.03,49.16
Jharkhand,West Singhbhum,2018,24.35,51.05,95.53,41.78,83.68,67.72,31.21
Maharashtra,Mumbai City,2018,72.15,61.58,28.43,45.52,13.45,86.34,64.4
Madhya Pradesh,Anuppur,2018,42.02,39.56,25.86,26.08,81.53,32.47,42.41
Madhya Pradesh,Ujjain,2023,92.0,78.35,83.03,88.59,96.44,24.96,44.76
Chhattisgarh,Bemetara,2019,56.44,84.2,96.58,18.11,61.34,14.41,32.66
Rajasthan,Churu,2017,94.53,64.82,46.02,47.83,12.85,71.94,99.51
Rajasthan,Balotra,2020,89.86,88.96,46.73,63.47,49.59,18.97,31.67
Rajasthan,Karauli,2018,19.06,30.97,90.56,67.84,19.71,51.71,40.08
Chhattisgarh,Balrampur,2025,12.75,50.5,77.7,38.31,40.13,75.2,33.54
Madhya Pradesh,Rajgarh,2021,45.07,75.64,72.1,19.51,32.29,97.22,21.05
Karnataka,Bengaluru Urban,2022,83.19,50.19,24.1,32.96,91.85,86.36,36.58
Tamil Nadu,Theni,2022,70.58,92.17,31.99,25.72,12.14,70.21,98.51
Bihar,Begusarai,2019,44.47,26.91,69.33,17.62,99.41,88.57,96.62
Manipur,Ukhrul,2020,43.06,69.64,92.78,27.45,69.69,21.72,86.18
Gujarat,Aravalli,2017,91.11,85.6,60.38,73.21,51.26,75.4,66.4
Bihar,Patna,2017,10.48,22.62,54.2,25.12,66.25,19.99,39.76
Uttar Pradesh,Kushinagar,2019,37.97,17.96,98.91,65.54,28.28,33.09,11.41
Gujarat,Bhavnagar,2015,47.27,46.31,42.34,61.74,51.35,71.62,82.7
Nagaland,Phek,2025,64.25,78.65,93.28,59.28,42.22,47.29,21.18
Chhattisgarh,Narayanpur,2020,22.28,49.41,53.06,95.43,52.99,57.55,40.27
Chhattisgarh,Bilaspur,2023,81.13,77.25,69.63,57.85,94.56,78.01,20.23
Uttar Pradesh,Kanpur Dehat,2017,80.66,41.63,44.33,38.23,80.37,89.07,41.19
Madhya Pradesh,Barwani,2021,84.54,50.26,34.27,64.31,56.26,45.97,27.13
Maharashtra,Ratnagiri,2017,65.34,99.4,83.32,86.91,96.72,75.66,10.69
Bihar,Jamui,2019,77.33,81.08,12.64,46.93,37.66,75.58,17.9
Tamil Nadu,Ariyalur,2016,26.18,98.31,44.64,16.89,33.06,44.49,87.02
Uttarakhand,Nainital,2017,20.92,75.53,95.33,97.7,46.23,13.04,72.32
Haryana,Rohtak,2016,77.57,64.98,43.16,46.81,59.39,93.85,79.23
Madhya Pradesh,Khargone,2017,34.59,66.03,57.0,97.17,55.89,37.21,78.56
Bihar,Sitamarhi,2020,72.22,10.4,75.15,75.04,87.38,29.56,97.4
Arunachal Pradesh,Kra Daadi,2020,82.04,81.2,24.3,54.16,83.7,68.74,31.79
Uttar Pradesh,Sonbhadra,2023,27.11,55.83,47.42,32.69,34.01,25.01,64.66
Assam,Sivasagar,2017,70.95,56.1,57.43,47.21,26.4,87.69,11.84
Jharkhand,Latehar,2022,37.07,91.88,71.8,95.63,21.01,45.44,28.51
Kerala,Malappuram,2021,16.07,50.63,78.78,90.54,97.63,69.75,98.1
Andhra Pradesh,Guntur,2018,34.21,10.6,87.7,30.44,50.71,95.41,91.42
Mizoram,Aizawl,2015,22.34,90.82,84.75,58.05,90.25,28.79,90.9
Tripura,South Tripura,2017,58.56,81.27,23.51,84.37,28.79,45.13,66.84
Assam,Kamrup,2024,56.69,94.22,97.03,73.88,62.44,70.88,20.58
Assam,Kokrajhar,2025,64.6,38.87,38.13,74.97,33.88,39.46,97.97
West Bengal,Birbhum,2016,80.12,40.37,39.72,92.05,17.46,88.5,22.34
Maharashtra,Kolhapur,2019,52.12,79.14,29.52,54.03,68.89,32.9,35.11
Uttarakhand,Pauri Garhwal,2021,27.88,34.4,95.11,75.5,39.57,24.25,14.9
Uttar Pradesh,Bahraich,2021,94.66,93.23,39.9,36.0,68.77,74.46,48.13
Kerala,Idukki,2021,55.48,93.03,39.45,65.35,76.65,42.05,68.17
Rajasthan,Shahpura,2024,72.42,48.61,15.64,42.78,60.27,22.89,40.51
Telangana,Rajanna Sircilla,2019,77.43,95.27,29.37,25.15,65.75,74.82,21.85
Nagaland,Phek,2015,51.54,23.21,47.39,47.74,82.26,95.71,85.8
Telangana,Nizamabad,2016,79.75,63.3,19.26,68.19,45.11,94.4,21.65
Haryana,Bhiwani,2020,30.7,32.61,42.98,34.9,71.61,50.28,27.88
Bihar,Kishanganj,2015,67.78,41.8,85.52,20.6,30.82,46.16,77.96
Haryana,Sirsa,2025,55.59,73.0,84.35,42.21,39.24,16.76,61.12
Rajasthan,Chittorgarh,2015,37.14,32.05,80.84,39.3,21.9,92.2,65.38
Nagaland,Mokokchung,2018,99.01,95.02,47.43,28.89,98.96,59.21,43.46
Bihar,Sheohar,2023,63.95,61.1,70.05,28.92,20.32,69.39,18.02
Uttar Pradesh,Budaun,2023,95.1,36.84,59.11,33.23,74.49,78.1,79.98
Telangana,Mancherial,2016,79.89,32.55,35.36,58.76,64.61,91.65,93.19
Karnataka,Bagalkot,2017,93.44,95.6,85.31,55.72,41.38,19.75,84.83
Maharashtra,Wardha,2024,24.56,95.35,87.74,55.08,63.6,72.98,70.1
Rajasthan,Balotra,2019,21.74,48.06,63.07,20.61,84.08,83.37,96.65
Andhra Pradesh,Kurnool,2019,43.91,85.07,22.86,13.11,49.04,97.46,37.93
Rajasthan,Kota,2018,40.91,14.57,13.54,63.78,60.38,99.26,65.17
Karnataka,Kalaburagi,2024,54.41,20.05,71.74,40.36,60.63,80.65,90.96
Arunachal Pradesh,Lower Dibang Valley,2018,60.03,10.67,73.59,24.32,54.09,88.01,93.14
Gujarat,Vadodara,2023,69.82,29.76,96.09,40.58,40.45,99.31,46.83
Bihar,Lakhisarai,2016,26.42,75.03,64.01,36.66,88.82,57.82,91.04
Nagaland,Shamator,2020,99.05,78.31,74.04,31.32,84.12,80.56,85.06
Maharashtra,Wardha,2021,75.3,61.73,54.31,34.64,63.24,85.03,81.01
Telangana,Hanamkonda,2021,50.51,79.62,61.42,58.54,98.47,64.83,83.62
Tamil Nadu,Tiruppur,2022,55.53,84.29,19.02,42.76,27.15,93.26,70.59
Odisha,Malkangiri,2022,79.79,26.75,45.22,50.57,89.07,19.67,51.18
West Bengal,Kolkata,2019,80.3,21.73,93.96,56.27,65.53,10.3,84.04
Odisha,Jajpur,2016,93.98,30.11,89.01,41.84,37.51,18.65,40.45
Madhya Pradesh,Ratlam,2019,96.79,50.35,11.33,18.59,93.43,58.35,22.08
Arunachal Pradesh,Lower Dibang Valley,2016,16.26,54.44,64.98,65.05,24.68,94.67,89.66
Haryana,Faridabad,2015,60.09,17.11,39.55,19.34,28.35,83.92,92.43
Assam,Nagaon,2023,77.37,33.79,23.05,38.69,75.76,26.77,24.76
Maharashtra,Pune,2016,54.63,54.58,62.81,49.88,65.3,12.27,39.3
Arunachal Pradesh,East Siang,2024,48.14,90.35,46.61,56.0,15.53,64.45,79.43
Andhra Pradesh,Annamayya,2019,85.03,62.61,70.23,48.81,92.49,48.93,63.89
Uttar Pradesh,Shahjahanpur,2021,22.25,27.99,70.49,58.74,89.02,71.81,45.38
Assam,Nalbari,2019,33.98,18.67,70.44,11.39,66.61,24.66,17.74
Karnataka,Davanagere,2021,26.64,64.28,15.35,62.33,79.44,19.99,64.01
Tamil Nadu,Nilgiris,2017,66.47,30.95,80.04,31.9,94.41,72.75,73.74
Gujarat,Gandhinagar,2020,67.95,72.43,59.69,13.74,87.95,65.12,27.25
Madhya Pradesh,Narsinghpur,2019,98.02,18.81,19.62,55.5,51.28,35.4,68.26
Assam,Karbi Anglong,2019,44.12,33.12,16.5,86.65,11.99,40.95,75.14
Tripura,Khowai,2018,43.1,90.42,20.96,85.31,16.42,85.03,69.91
Uttar Pradesh,Prayagraj,2025,57.97,66.04,71.46,59.97,30.98,42.23,11.47
Telangana,Warangal,2015,15.31,47.23,11.14,60.92,92.53,13.58,80.04
Assam,Nagaon,2016,20.83,44.92,98.22,79.62,14.26,51.31,43.64
Punjab,Jalandhar,2020,59.52,24.13,96.37,69.01,25.86,21.06,99.05
Gujarat,Porbandar,2021,35.68,51.57,20.08,40.36,80.92,61.37,86.27
Uttar Pradesh,Azamgarh,2023,84.8,48.34,77.41,32.53,41.69,21.47,10.88
Chhattisgarh,Baloda Bazar,2022,51.49,56.62,89.33,86.84,81.9,73.33,20.15
Karnataka,Dharwad,2020,24.09,90.23,43.08,76.88,67.52,31.94,11.06
Karnataka,Haveri,2025,59.82,31.12,13.39,74.38,44.8,84.25,10.3
Gujarat,Patan,2015,91.56,44.29,93.66,76.1,10.85,52.45,68.97
Odisha,Kendujhar (Keonjhar),2020,92.36,47.0,68.82,35.93,12.21,47.29,27.93
Karnataka,Chitradurga,2025,28.99,60.24,97.86,17.16,69.58,97.38,66.95
Gujarat,Aravalli,2023,11.23,62.75,90.56,16.2,76.04,26.33,54.88
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2019,72.88,77.03,73.09,88.11,97.09,65.34,94.75
Uttar Pradesh,Hardoi,2022,26.2,17.58,91.68,66.77,46.59,34.24,42.03
Madhya Pradesh,Sheopur,2016,30.07,86.52,39.23,36.07,55.04,44.45,23.0
Uttar Pradesh,Rampur,2017,94.46,76.53,21.46,19.37,32.43,70.9,40.04
Madhya Pradesh,Mandla,2017,15.58,84.73,82.74,29.87,53.06,81.06,64.51
Madhya Pradesh,Khandwa,2024,29.21,63.27,29.55,78.8,29.21,11.43,52.55
Tripura,West Tripura,2023,66.05,15.99,38.51,65.46,48.01,42.95,50.26
Rajasthan,Jalore,2025,60.11,53.37,64.0,38.07,74.22,67.04,73.94
Uttar Pradesh,Gorakhpur,2025,22.79,32.88,86.32,48.86,36.15,67.54,58.93
Odisha,Sundargarh,2019,59.88,80.34,70.44,36.62,63.04,32.29,64.61
Odisha,Bhadrak,2023,64.65,44.89,19.48,12.34,99.0,55.51,14.61
Haryana,Mahendragarh,2021,49.67,27.16,24.09,89.03,33.4,63.27,29.43
Andhra Pradesh,Guntur,2015,41.87,64.46,38.53,71.39,96.61,81.73,99.47
Arunachal Pradesh,Upper Subansiri,2019,88.55,17.68,44.54,49.24,40.43,31.2,71.23
Jharkhand,Koderma,2025,26.4,51.4,60.52,93.89,81.71,82.86,26.76
Madhya Pradesh,Gwalior,2025,58.33,48.77,46.32,57.77,94.61,91.86,10.61
Bihar,Saharsa,2025,94.97,94.67,33.52,73.13,44.88,81.71,29.26
Haryana,Mahendragarh,2015,97.45,41.72,61.23,44.0,86.58,68.43,54.29
Haryana,Faridabad,2025,12.64,23.9,47.1,27.96,31.35,71.67,45.35
Maharashtra,Nagpur,2021,74.17,85.84,13.96,15.95,49.91,47.95,80.63
Punjab,Bathinda,2021,73.0,87.94,20.65,32.31,87.84,64.54,27.98
Odisha,Khordha,2017,30.23,27.15,92.31,37.78,31.15,78.94,25.33
Nagaland,Dimapur,2017,32.66,59.63,24.03,26.9,95.69,97.45,31.03
Rajasthan,Shahpura,2025,10.81,77.84,68.3,33.07,44.7,38.93,17.37
Andhra Pradesh,Annamayya,2024,13.72,42.21,95.39,97.67,21.47,82.98,52.39
West Bengal,Purba Medinipur,2015,97.83,14.03,65.9,56.64,82.83,46.15,77.46
Bihar,Arwal,2017,49.33,52.35,50.41,15.8,66.56,30.32,95.04
Arunachal Pradesh,East Kameng,2024,54.12,57.71,87.89,97.75,32.13,48.1,88.13
Uttar Pradesh,Prayagraj,2017,79.97,86.45,25.31,25.37,32.89,53.71,97.56
Maharashtra,Mumbai City,2022,85.44,82.23,39.75,57.15,89.92,99.56,54.57
Uttar Pradesh,Etah,2024,78.01,63.74,55.65,59.91,96.85,29.16,52.12
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2016,15.93,54.78,29.5,58.78,93.16,21.83,16.66
Chhattisgarh,Mungeli,2017,65.47,32.59,25.03,31.12,98.26,48.58,59.7
Jharkhand,Gumla,2016,27.5,54.21,59.76,53.37,70.31,78.78,97.1
Chhattisgarh,Sukma,2024,10.01,53.81,39.3,17.44,30.89,71.32,92.81
Uttar Pradesh,Etawah,2023,93.72,87.19,49.61,26.39,35.44,12.67,12.54
Manipur,Imphal East,2019,51.3,43.73,95.57,54.72,82.64,30.57,23.48
Rajasthan,Sri Ganganagar,2018,81.68,55.38,38.48,63.46,57.13,10.77,28.57
Telangana,Warangal,2020,80.7,84.05,38.27,97.4,10.61,39.49,44.28
Madhya Pradesh,Agar Malwa,2017,25.59,97.62,91.81,91.34,78.51,86.03,46.89
Assam,Kokrajhar,2019,15.91,37.87,86.19,86.48,30.39,37.25,37.5
Arunachal Pradesh,East Siang,2016,89.04,62.95,72.46,95.29,76.33,15.17,11.34
Madhya Pradesh,Bhind,2022,17.89,66.28,24.06,70.74,17.8,37.32,90.98
