state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Haryana,Gurugram,2016,17.27,97.77,43.83,30.13,27.38,89.05,38.62
Manipur,Imphal East,2016,14.0,48.36,74.35,89.91,59.83,67.75,18.09
Madhya Pradesh,Seoni,2020,59.17,47.7,21.83,36.36,40.83,91.34,27.88
Himachal Pradesh,Kangra,2017,84.12,94.06,25.7,74.57,46.8,85.41,96.75
Uttar Pradesh,Baghpat,2020,76.31,75.93,32.82,34.75,35.16,27.14,92.03
Arunachal Pradesh,West Kameng,2020,35.32,34.06,53.02,30.39,21.11,66.33,41.45
Rajasthan,Barmer,2023,44.59,23.74,70.76,72.01,40.87,23.13,68.48
Uttar Pradesh,Kanpur Dehat,2015,56.17,57.02,68.43,89.49,23.07,65.25,20.58
Andhra Pradesh,Tirupati,2021,18.11,81.5,57.17,69.91,38.95,52.89,14.05
Tamil Nadu,Virudhunagar,2022,95.6,23.54,89.37,76.86,39.98,79.14,12.17
Telangana,Mahabubabad,2021,42.13,98.22,99.34,53.96,14.34,21.52,65.65
Meghalaya,North Garo Hills,2024,52.21,39.39,31.03,64.15,14.82,76.28,34.75
Manipur,Kamjong,2020,67.53,25.85,69.37,72.68,90.5,50.85,59.07
Arunachal Pradesh,Leparada,2024,89.24,64.4,69.82,15.12,68.1,14.91,89.0
Uttar Pradesh,Mau,2025,24.12,90.69,83.4,10.12,80.14,48.15,95.9
Uttar Pradesh,Lucknow,2021,92.79,87.42,49.4,95.92,53.78,27.69,47.68
Telangana,Warangal,2018,33.12,15.32,86.35,27.0,58.71,52.98,32.69
Karnataka,Ballari,2020,28.86,13.06,56.19,22.97,54.93,56.73,72.3
Uttarakhand,Tehri Garhwal,2017,71.68,57.07,53.2,72.6,77.63,36.45,48.62
Mizoram,Aizawl,2022,43.98,67.97,79.09,13.72,68.78,77.67,72.05
Mizoram,Khawzawl,2017,44.35,95.01,38.27,75.92,45.6,26.9,77.44
Nagaland,Peren,2018,42.8,15.24,68.12,10.38,63.86,73.71,91.96
West Bengal,North 24 Parganas,2022,21.92,87.48,41.4,25.68,69.02,52.31,61.41
Odisha,Boudh,2023,79.74,37.12,33.94,96.11,32.14,44.72,73.7
Rajasthan,Rajsamand,2015,83.01,60.73,18.84,26.37,22.7,31.57,75.63
Gujarat,Bharuch,2020,15.91,33.38,99.82,32.97,87.63,48.72,89.58
Arunachal Pradesh,Upper Subansiri,2017,68.72,94.47,74.94,96.18,50.19,62.69,20.69
Tripura,South Tripura,2016,96.24,66.75,78.86,37.45,68.33,71.47,83.69
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2018,51.49,54.61,39.65,36.25,83.0,47.7,18.0
Tamil Nadu,Vellore,2016,70.94,19.53,93.63,85.86,66.83,26.88,77.32
Rajasthan,Bharatpur,2021,70.58,85.2,43.83,69.45,24.29,16.13,60.98
Bihar,Purnia,2023,92.72,84.45,60.86,95.56,90.94,56.68,39.03
Meghalaya,South West Garo Hills,2019,38.11,15.99,75.27,19.54,60.22,40.38,86.66
Gujarat,Dang,2025,53.79,21.98,84.3,30.59,61.47,54.18,60.93
Andhra Pradesh,Vizianagaram,2016,60.2,26.23,37.76,28.59,55.44,95.94,68.62
Uttar Pradesh,Etawah,2021,71.2,57.68,35.49,11.82,25.93,29.83,68.69
Mizoram,Kolasib,2020,22.23,28.2,84.47,47.18,20.43,73.1,85.98
Odisha,Bhadrak,2021,75.79,80.26,27.52,50.12,19.71,78.36,42.79
Tripura,West Tripura,2015,77.45,90.45,40.74,11.98,83.8,11.0,53.99
West Bengal,Paschim Medinipur,2016,45.88,47.89,74.38,11.52,36.12,93.29,56.13
Assam,South Salmara-Mankachar,2019,35.36,25.12,58.71,32.04,85.6,45.88,92.54
Uttar Pradesh,Sultanpur,2020,44.88,61.45,21.52,77.12,94.12,97.0,38.58
Uttar Pradesh,Bahraich,2016,16.09,85.85,73.56,87.5,40.37,41.79,86.64
Haryana,Fatehabad,2024,67.97,80.31,19.25,47.58,37.2,26.06,74.04
Haryana,Nuh,2020,74.67,17.63,28.9,19.49,79.22,45.03,49.36
Kerala,Thrissur,2023,11.36,23.44,57.87,54.9,97.99,23.46,57.06
Uttar Pradesh,Maharajganj,2025,82.2,72.03,47.0,45.96,50.7,48.77,57.83
Madhya Pradesh,Mandsaur,2021,54.79,51.15,84.13,97.52,87.31,53.76,45.22
Uttar Pradesh,Deoria,2016,43.53,18.42,23.8,64.75,16.89,37.49,75.53
Kerala,Idukki,2020,62.2,42.13,69.71,83.88,25.41,50.65,45.97
Uttar Pradesh,Kanpur Dehat,2024,90.98,87.28,85.8,57.52,12.05,95.38,26.78
Manipur,Bishnupur,2025,86.14,36.03,74.72,97.18,90.04,58.04,41.73
Punjab,Sri Muktsar Sahib,2025,77.91,18.01,76.35,63.34,19.05,34.3,37.87
Uttar Pradesh,Moradabad,2023,74.07,52.47,93.0,54.73,96.26,44.11,81.73
Maharashtra,Gondia,2023,19.79,13.51,62.83,98.87,13.11,16.45,23.2
Telangana,Nirmal,2022,34.48,88.6,56.57,51.94,68.93,50.91,57.9
Bihar,Nawada,2018,77.66,79.46,52.05,58.52,22.27,59.44,65.3
Maharashtra,Beed,2025,63.49,42.06,82.29,30.12,88.01,81.2,15.98
Odisha,Kendujhar (Keonjhar),2017,91.49,45.77,21.37,17.44,52.56,12.19,31.59
Maharashtra,Sangli,2016,74.99,38.1,99.09,21.45,17.85,82.98,85.17
Uttar Pradesh,Kannauj,2016,61.94,56.06,97.05,90.77,77.89,40.01,97.32
Maharashtra,Sindhudurg,2019,61.15,32.22,37.19,43.94,11.67,28.57,96.83
Uttar Pradesh,Lalitpur,2018,93.26,32.27,12.37,39.21,25.97,44.67,56.73
Andhra Pradesh,Krishna,2023,30.93,25.71,48.23,73.19,36.84,23.6,36.69
Odisha,Mayurbhanj,2019,47.25,61.21,83.78,72.46,84.97,30.15,25.02
Maharashtra,Latur,2017,14.74,84.25,28.72,22.87,58.15,70.8,42.76
Telangana,Narayanpet,2021,94.66,65.48,76.47,17.92,42.61,28.86,37.34
Bihar,Bhagalpur,2020,56.67,37.98,15.61,67.81,29.37,76.15,40.57
Maharashtra,Pune,2024,87.96,97.69,97.68,92.39,88.88,29.23,72.77
Telangana,Hyderabad,2019,57.26,50.94,49.36,67.54,96.25,29.16,56.62
Karnataka,Dakshina Kannada,2025,55.07,26.01,86.72,43.95,31.41,78.68,57.51
Andhra Pradesh,Palnadu,2019,73.82,82.34,94.67,98.94,53.02,46.2,17.78
Mizoram,Mamit,2020,20.09,11.85,18.41,54.01,33.49,58.07,71.84
Rajasthan,Sri Ganganagar,2016,39.57,90.18,20.98,88.53,61.38,48.03,55.63
Kerala,Alappuzha,2016,33.41,55.37,68.01,13.23,28.86,44.63,93.8
Madhya Pradesh,Neemuch,2018,84.63,72.96,28.27,86.92,85.61,29.78,58.88
Uttar Pradesh,Siddharthnagar,2025,71.31,85.44,49.77,11.81,47.21,41.91,47.57
Telangana,Jangaon,2023,35.98,47.74,89.58,64.71,38.49,68.93,10.33
Himachal Pradesh,Una,2016,27.22,52.81,58.13,25.32,24.52,79.03,79.46
Rajasthan,Sanchore,2019,98.28,64.66,40.3,58.16,73.92,24.08,82.75
Andhra Pradesh,Tirupati,2015,10.71,56.54,90.76,86.97,32.27,86.15,92.86
Telangana,Ranga Reddy,2016,40.32,12.56,34.65,39.3,47.01,59.65,80.32
Karnataka,Chikkaballapur,2017,81.51,83.09,84.14,23.89,21.59,58.54,87.88
Punjab,Amritsar,2020,43.92,16.1,11.82,79.22,48.73,51.21,80.79
Manipur,Tengnoupal,2021,31.32,62.02,10.96,61.95,24.47,28.26,13.16
Maharashtra,Osmanabad (Dharashiv),2019,43.66,77.35,43.24,26.39,78.62,63.97,69.76
Uttarakhand,Rudraprayag,2021,65.72,74.42,97.75,51.61,38.84,16.77,80.46
Karnataka,Kolar,2023,22.78,57.12,40.1,17.18,62.73,30.33,50.55
Punjab,Hoshiarpur,2025,91.94,36.57,10.85,33.41,15.73,47.36,52.73
Punjab,Ludhiana,2023,38.74,56.76,94.49,85.2,96.48,30.68,23.57
Maharashtra,Buldhana,2018,45.16,82.38,27.91,11.41,23.87,60.92,69.88
Jharkhand,Khunti,2022,27.07,71.74,69.3,36.67,13.94,43.24,78.82
Gujarat,Bhavnagar,2020,63.75,94.69,10.61,46.14,30.23,67.4,63.15
Jharkhand,Bokaro,2018,74.56,88.98,48.9,79.14,86.93,15.79,63.97
Gujarat,Chhota Udepur,2020,14.85,38.43,24.8,24.65,94.8,44.7,88.24
Haryana,Nuh,2017,11.42,63.01,63.74,47.61,44.07,30.37,24.67
Assam,Kamrup Metropolitan,2021,85.41,90.89,73.04,86.19,74.74,22.19,34.91
Bihar,Patna,2015,64.55,57.47,78.55,98.81,60.7,52.73,88.89
Madhya Pradesh,Dewas,2023,26.31,35.67,21.35,58.59,25.75,44.04,19.32
Rajasthan,Udaipur,2018,81.73,91.11,56.25,62.37,54.59,73.99,88.01
Jharkhand,Deoghar,2019,48.22,32.03,99.54,92.03,15.53,94.81,78.74
Madhya Pradesh,Barwani,2023,98.97,48.76,41.46,32.57,17.94,27.71,12.35
Tamil Nadu,Thanjavur,2022,83.85,28.31,77.17,74.68,50.4,44.64,51.58
Tamil Nadu,Coimbatore,2022,28.41,65.07,38.68,26.73,79.45,14.15,49.03
Tripura,Unakoti,2018,74.91,64.85,89.19,57.44,27.7,86.62,51.13
Madhya Pradesh,Datia,2020,47.75,22.79,53.19,37.66,62.18,63.98,13.72
Nagaland,Tseminyu,2024,27.85,31.19,11.64,71.7,79.9,27.81,82.89
Punjab,Pathankot,2018,72.84,40.09,54.01,81.99,44.59,85.9,27.46
Uttar Pradesh,Ayodhya,2022,38.21,39.58,46.04,68.01,41.4,48.23,91.26
Odisha,Rayagada,2017,10.7,46.8,65.79,42.42,96.37,95.27,99.69
Karnataka,Belagavi,2017,41.67,34.24,40.34,54.82,92.45,77.07,43.11
Chhattisgarh,Balod,2022,21.48,59.91,63.26,23.19,65.44,77.34,91.95
Telangana,Adilabad,2016,99.51,14.86,21.89,27.48,28.38,98.86,74.67
Maharashtra,Kolhapur,2018,62.04,69.88,60.01,62.21,99.19,34.78,91.79
Himachal Pradesh,Lahaul & Spiti,2020,35.74,90.15,26.38,31.02,70.56,90.05,35.56
Gujarat,Patan,2017,48.17,72.1,21.44,58.21,84.8,21.7,38.05
Rajasthan,Shahpura,2025,69.35,91.37,79.47,24.84,91.26,22.81,46.21
Rajasthan,Bundi,2023,28.44,68.3,16.71,68.35,37.78,63.65,84.28
Haryana,Bhiwani,2024,87.93,45.84,69.65,87.24,83.86,13.35,88.02
Uttarakhand,Pithoragarh,2015,11.09,85.1,97.06,49.13,51.37,31.32,33.45
Maharashtra,Chandrapur,2018,38.98,69.47,80.51,33.88,41.88,87.12,71.95
Punjab,Sangrur,2015,25.89,81.68,19.44,72.64,55.39,48.95,97.51
Tamil Nadu,Karur,2015,40.65,69.57,87.71,47.6,41.26,46.97,57.17
Punjab,Pathankot,2023,23.75,45.58,69.67,38.63,90.22,91.64,13.22
Uttar Pradesh,Bhadohi,2021,41.52,27.62,90.61,65.58,91.52,59.56,38.6
Assam,Sonitpur,2018,75.48,95.09,67.68,33.49,18.56,10.76,14.59
Rajasthan,Dausa,2017,88.38,97.68,63.47,54.15,27.88,32.86,57.34
Madhya Pradesh,Indore,2023,74.57,60.97,72.49,85.03,98.39,35.53,81.08
Haryana,Mahendragarh,2021,28.91,85.89,10.1,71.89,29.98,22.82,31.28
Bihar,Nawada,2023,93.0,61.22,22.87,49.67,57.96,32.59,42.94
Maharashtra,Pune,2022,42.4,51.52,48.43,58.6,16.12,52.08,89.34
Punjab,Sangrur,2018,42.52,24.55,31.43,23.24,47.94,22.83,17.94
Maharashtra,Ahmednagar,2024,47.64,26.25,85.16,85.04,13.17,41.92,15.62
Chhattisgarh,Mungeli,2020,17.32,87.66,98.9,77.91,21.02,47.75,55.67
Karnataka,Davanagere,2025,11.39,10.35,29.51,80.5,50.27,72.51,14.79
Karnataka,Bagalkot,2025,53.18,16.17,40.1,48.28,97.29,47.63,81.34
Gujarat,Devbhoomi Dwarka,2020,79.69,14.92,19.43,87.55,63.2,11.6,61.68
Andhra Pradesh,Kakinada,2019,37.81,88.13,63.67,99.08,42.39,60.76,41.54
Madhya Pradesh,Mandla,2015,10.76,35.88,80.49,34.87,56.28,51.46,43.39
Madhya Pradesh,Balaghat,2019,22.31,24.33,71.39,34.83,60.71,88.51,53.36
Madhya Pradesh,Umaria,2018,96.17,83.97,73.15,37.06,12.19,11.45,98.61
Arunachal Pradesh,Namsai,2016,95.02,16.41,35.73,93.61,37.39,10.81,25.77
Rajasthan,Rajsamand,2020,38.5,32.43,19.71,82.8,23.6,57.58,11.85
Uttar Pradesh,Sant Kabir Nagar,2020,39.03,74.79,67.59,29.7,71.18,58.36,63.33
Telangana,Jogulamba Gadwal,2017,13.76,28.97,78.2,28.04,53.39,14.21,18.1
Assam,Dhubri,2017,94.05,85.12,34.92,67.49,63.95,50.57,29.81
Tamil Nadu,Karur,2019,18.16,86.67,69.81,46.12,38.52,39.44,98.48
Himachal Pradesh,Bilaspur,2016,99.04,56.73,32.54,76.43,98.72,92.1,22.23
Tamil Nadu,Ariyalur,2023,96.65,64.65,22.09,46.45,28.65,32.57,98.73
Haryana,Sonipat,2017,23.8,19.43,61.7,15.23,37.74,96.18,16.14
Maharashtra,Thane,2021,40.48,72.16,83.51,19.83,24.75,60.98,34.9
West Bengal,Nadia,2021,74.55,42.28,37.69,46.58,23.66,75.88,14.5
Madhya Pradesh,Ujjain,2023,93.12,50.21,13.25,68.68,65.13,97.25,27.03
Tamil Nadu,Chennai,2020,47.23,71.23,36.51,33.97,71.64,59.73,30.88
Mizoram,Mamit,2015,68.42,40.26,63.18,22.87,83.35,88.78,85.06
Uttar Pradesh,Gorakhpur,2024,46.83,69.31,34.75,81.68,50.52,90.88,20.96
Meghalaya,West Garo Hills,2015,83.59,96.36,50.12,62.39,34.05,94.4,95.75
Haryana,Charkhi Dadri,2019,46.7,78.62,34.79,37.45,72.15,29.85,36.4
Odisha,Nabarangpur,2021,35.18,92.79,85.49,94.9,76.73,72.85,52.38
Uttarakhand,Chamoli,2015,72.31,48.53,81.47,89.06,75.39,67.4,56.76
Andhra Pradesh,Guntur,2016,21.76,67.71,29.65,72.36,60.47,35.73,27.57
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2022,32.74,54.71,39.42,30.97,13.75,93.55,51.52
Chhattisgarh,Sukma,2022,79.09,24.53,60.48,76.75,38.89,35.58,73.53
Jharkhand,Lohardaga,2015,12.59,50.3,32.43,64.43,23.77,97.85,88.75
Bihar,Buxar,2020,27.8,89.02,57.2,78.6,37.21,29.29,58.77
Arunachal Pradesh,Kurung Kumey,2020,89.75,54.9,82.22,38.62,76.54,34.91,43.74
Madhya Pradesh,Indore,2024,65.09,12.52,52.39,94.66,65.51,38.94,60.63
Bihar,Darbhanga,2023,41.69,32.4,12.7,31.49,52.37,54.63,14.78
Assam,Baksa,2020,45.81,28.63,97.57,18.75,28.87,20.74,36.82
Jharkhand,Seraikela-Kharsawan,2025,26.35,98.08,31.92,35.6,98.63,81.13,90.92
Chhattisgarh,Sakti,2021,19.72,70.21,91.2,21.27,43.96,34.38,68.9
Jharkhand,Palamu,2018,11.79,36.54,41.98,60.41,91.54,34.54,60.93
Madhya Pradesh,Ashoknagar,2020,20.21,43.5,87.12,14.86,59.39,26.18,37.17
Haryana,Kaithal,2016,84.49,38.55,83.36,48.36,66.59,81.62,62.58
Chhattisgarh,Surajpur,2020,38.45,89.59,32.45,63.93,47.92,12.6,63.8
Uttar Pradesh,Gorakhpur,2015,27.83,36.92,35.65,79.19,98.11,49.15,19.88
Madhya Pradesh,Hoshangabad (Narmadapuram),2024,97.43,70.01,24.24,34.77,90.48,30.37,80.22
Arunachal Pradesh,Leparada,2025,81.36,78.1,21.17,95.97,20.93,66.38,71.75
Chhattisgarh,Dantewada,2018,21.39,11.07,68.53,22.88,57.5,17.43,52.42
Assam,Dibrugarh,2015,19.52,43.65,19.31,70.93,53.66,84.0,60.97
Gujarat,Jamnagar,2016,72.87,75.25,16.14,82.62,99.51,17.24,82.66
Jharkhand,Lohardaga,2018,68.47,81.42,33.76,83.81,41.87,85.72,19.27
Bihar,Madhepura,2025,35.01,47.97,76.69,98.12,55.78,18.99,34.51
Tamil Nadu,Madurai,2022,31.94,32.22,87.96,78.51,70.93,21.56,87.2
Rajasthan,Anupgarh,2016,92.26,42.73,28.3,16.18,79.49,25.68,47.7
Mizoram,Mamit,2024,20.21,27.03,15.62,12.05,74.67,52.11,97.24
Karnataka,Hassan,2016,45.93,78.29,36.13,31.12,57.6,55.57,21.08
Uttar Pradesh,Banda,2021,97.17,16.41,36.74,32.61,79.59,18.0,90.08
Punjab,Fatehgarh Sahib,2024,86.17,47.19,71.16,12.95,77.19,40.14,54.16
Uttarakhand,Uttarkashi,2021,21.37,98.85,50.03,14.52,82.45,83.71,76.43
Telangana,Bhadradri Kothagudem,2025,81.78,65.78,92.43,50.97,95.02,48.36,81.89
Maharashtra,Solapur,2020,72.18,40.76,39.04,67.24,62.61,73.89,91.45
Madhya Pradesh,Sheopur,2018,77.6,25.06,57.23,87.08,44.33,92.54,31.5
Assam,Nagaon,2020,96.19,68.42,66.28,29.46,38.81,87.82,10.14
Himachal Pradesh,Kinnaur,2019,44.4,70.8,52.98,20.91,65.89,75.46,66.03
Himachal Pradesh,Chamba,2025,54.69,92.45,57.4,62.73,81.51,60.44,38.68
Telangana,Mulugu,2018,60.28,35.79,75.49,35.12,99.01,97.59,63.3
Karnataka,Shivamogga,2021,58.28,57.32,55.16,62.29,55.09,93.14,89.73
Jharkhand,East Singhbhum,2016,69.7,49.27,32.73,66.41,52.6,70.88,53.99
Himachal Pradesh,Kangra,2016,97.19,49.91,77.0,94.21,51.46,91.03,85.4
West Bengal,Dakshin Dinajpur,2023,31.51,72.23,77.67,14.66,52.21,31.49,73.72
Uttar Pradesh,Agra,2022,92.74,53.06,60.78,77.09,17.03,10.93,57.22
Rajasthan,Baran,2017,24.25,99.69,98.21,67.27,72.66,82.21,62.07
Tripura,South Tripura,2024,81.91,75.0,89.42,24.84,29.79,42.25,28.65
Tamil Nadu,Erode,2020,41.83,90.53,19.27,59.66,30.28,50.86,19.63
Telangana,Nirmal,2020,92.51,87.94,96.1,37.68,35.99,62.72,64.94
Rajasthan,Sikar,2016,86.09,47.23,84.02,82.83,33.88,72.78,37.22
Gujarat,Valsad,2021,66.33,78.26,44.59,92.68,72.66,24.53,85.32
Arunachal Pradesh,Anjaw,2024,92.65,12.25,89.51,43.3,81.97,10.43,95.67
Madhya Pradesh,Bhind,2020,67.74,66.47,51.16,31.25,84.39,94.49,32.64
Manipur,Pherzawl,2025,35.25,65.18,83.09,94.59,62.08,22.34,20.68
Uttar Pradesh,Ghaziabad,2023,81.52,97.63,73.04,13.72,72.23,43.52,60.95
Kerala,Malappuram,2023,75.82,95.04,20.19,34.81,62.15,24.81,51.9
Nagaland,Tseminyu,2017,97.72,83.61,49.85,56.01,53.54,83.54,81.23
Andhra Pradesh,Krishna,2018,84.74,56.65,20.84,13.84,81.31,31.24,38.2
Assam,West Karbi Anglong,2016,18.69,12.06,14.35,12.9,65.55,28.7,15.12
Uttar Pradesh,Aligarh,2016,18.9,46.92,17.58,67.16,10.42,19.16,59.59
Nagaland,Chümoukedima,2020,85.29,55.46,26.22,77.38,67.86,14.49,68.13
Bihar,Jamui,2021,15.69,59.74,62.99,45.56,97.76,90.93,86.43
Madhya Pradesh,Indore,2019,81.69,68.92,65.81,29.05,33.34,93.18,11.82
Punjab,Fazilka,2017,66.92,56.4,13.24,60.6,99.93,47.25,77.24
Haryana,Sirsa,2025,62.96,76.97,94.8,15.13,62.06,96.82,12.96
Kerala,Wayanad,2023,14.49,81.44,45.13,40.97,61.73,93.16,16.63
Uttar Pradesh,Gonda,2018,55.03,53.74,52.82,37.31,92.62,10.77,30.89
Andhra Pradesh,Sri Sathya Sai,2021,25.79,61.23,50.56,97.07,76.4,10.36,22.79
West Bengal,Darjeeling,2019,71.81,51.62,45.41,41.04,82.25,29.93,65.0
Rajasthan,Didwana-Kuchaman,2021,79.97,11.73,90.65,54.12,18.81,12.83,96.58
Arunachal Pradesh,Changlang,2021,37.43,78.26,26.47,16.37,91.47,15.24,17.52
Madhya Pradesh,Datia,2023,70.01,20.25,40.21,10.18,56.07,95.95,67.24
Rajasthan,Baran,2022,23.74,54.24,51.33,58.4,71.36,63.94,48.3
Assam,Kamrup Metropolitan,2015,63.32,87.46,88.98,95.53,81.54,63.02,34.34
Kerala,Kasaragod,2024,28.11,90.17,25.7,84.5,16.06,18.2,24.75
Telangana,Wanaparthy,2025,86.9,18.14,38.96,41.6,16.36,70.4,18.77
Madhya Pradesh,Umaria,2023,81.03,73.12,28.98,11.04,82.91,23.89,18.03
Haryana,Jhajjar,2021,94.63,41.65,21.37,72.31,96.79,87.8,65.5
Madhya Pradesh,Shivpuri,2021,46.06,67.12,83.46,22.66,70.25,90.26,18.19
Uttar Pradesh,Ballia,2017,64.99,45.92,54.63,77.0,68.85,33.02,75.2
Mizoram,Champhai,2021,79.53,95.63,60.13,37.28,10.92,24.53,24.57
Mizoram,Hnahthial,2024,90.28,71.33,11.86,32.3,57.48,45.34,56.71
Andhra Pradesh,West Godavari,2017,39.42,90.17,84.01,48.07,40.81,65.1,70.48
Tripura,Gomati,2024,98.73,15.82,49.79,85.4,14.91,36.08,97.92
Maharashtra,Mumbai Suburban,2018,30.12,90.39,86.46,27.26,41.59,34.85,87.24
Telangana,Mulugu,2015,73.08,29.04,95.95,77.56,30.25,35.67,44.24
Madhya Pradesh,Dewas,2023,13.41,99.43,99.25,19.14,67.89,58.22,84.57
Gujarat,Tapi,2019,91.23,87.55,47.23,95.41,55.35,45.87,87.73
Punjab,Barnala,2024,91.64,25.72,84.87,60.19,76.7,62.71,43.67
Rajasthan,Neem Ka Thana,2015,24.89,84.33,64.76,14.94,93.81,21.54,72.57
Maharashtra,Palghar,2016,87.14,82.21,18.14,56.1,95.2,10.04,12.17
Telangana,Mancherial,2022,91.72,21.81,26.29,90.16,89.72,19.44,89.38
Maharashtra,Mumbai City,2016,92.66,26.78,24.9,19.33,57.14,51.96,24.98
Madhya Pradesh,Balaghat,2015,27.57,67.11,13.44,57.74,12.32,30.84,63.39
Punjab,Hoshiarpur,2023,36.19,37.92,92.76,27.93,34.07,91.54,97.82
Gujarat,Amreli,2025,10.48,22.78,31.1,43.16,81.9,42.79,27.44
Madhya Pradesh,Vidisha,2017,53.81,33.41,92.92,53.9,78.86,19.51,73.2
Manipur,Imphal East,2023,19.52,10.31,87.26,89.97,10.25,23.76,49.53
Uttarakhand,Pithoragarh,2020,77.55,84.63,71.68,96.17,96.31,27.16,95.4
Odisha,Kandhamal,2024,63.8,35.91,62.9,38.06,33.18,98.32,38.59
Punjab,Sangrur,2018,66.34,40.86,50.54,94.67,56.97,49.26,74.35
Karnataka,Ballari,2025,34.26,94.6,26.09,87.43,66.1,15.45,92.94
Uttar Pradesh,Kaushambi,2018,86.77,83.72,33.11,41.37,77.75,25.24,29.89
Meghalaya,North Garo Hills,2017,66.34,13.62,33.31,85.61,54.14,17.57,73.97
Telangana,Vikarabad,2022,51.28,95.64,22.56,45.09,17.74,50.21,82.84
Kerala,Kasaragod,2016,90.54,35.48,64.18,70.58,24.65,63.66,31.99
Uttar Pradesh,Kannauj,2025,45.35,95.94,61.4,26.61,61.13,86.16,91.6
Manipur,Kakching,2015,93.65,92.45,30.77,78.59,32.12,89.93,78.71
Odisha,Kendujhar (Keonjhar),2021,62.31,73.4,29.37,96.78,77.02,12.32,64.13
Rajasthan,Bikaner,2018,55.23,11.22,23.99,71.1,80.02,26.94,35.21
Uttar Pradesh,Kanpur Nagar,2017,59.24,33.01,87.62,52.56,51.81,96.45,33.57
Nagaland,Phek,2023,16.2,79.48,92.55,70.0,77.9,22.62,24.01
Tamil Nadu,Chennai,2015,76.01,31.19,22.58,68.99,31.97,52.83,93.03
Uttar Pradesh,Etah,2023,69.55,41.72,29.41,33.33,83.67,60.01,46.03
Haryana,Sirsa,2017,99.19,88.95,17.53,16.07,42.96,75.34,67.63
Uttar Pradesh,Hapur,2024,73.22,34.55,96.48,97.02,94.79,62.75,59.67
Chhattisgarh,Korea,2021,42.07,36.6,44.6,55.51,94.56,18.1,59.79
Sikkim,Pakyong,2018,32.47,37.85,37.9,13.62,22.58,83.23,61.49
Tripura,North Tripura,2020,51.42,36.8,47.69,51.69,78.63,71.15,32.71
Uttar Pradesh,Agra,2018,52.97,61.55,53.21,43.05,32.32,12.72,71.62
Sikkim,Namchi,2020,97.84,57.99,64.12,44.79,74.66,20.37,56.37
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2021,17.43,88.39,40.79,14.06,51.15,14.83,34.82
Karnataka,Bagalkot,2016,23.97,16.75,27.37,34.19,94.27,23.28,95.0
West Bengal,Darjeeling,2018,87.71,49.02,80.17,57.55,18.24,22.3,53.34
Andhra Pradesh,YSR Kadapa,2021,96.43,82.7,85.76,32.04,92.18,69.05,72.99
Andhra Pradesh,Visakhapatnam,2015,37.42,75.69,46.68,17.5,32.15,82.2,15.68
Madhya Pradesh,Hoshangabad (Narmadapuram),2023,93.27,55.63,13.42,95.03,42.19,67.65,77.73
Telangana,Nizamabad,2017,61.63,51.17,57.1,17.29,76.05,56.15,29.58
Andhra Pradesh,Visakhapatnam,2018,47.07,85.81,26.09,80.63,95.37,61.47,75.25
Gujarat,Aravalli,2025,19.73,19.02,43.03,36.9,81.28,71.26,12.6
Assam,Baksa,2017,93.43,16.71,58.67,99.43,10.61,29.84,47.99
Arunachal Pradesh,West Kameng,2023,66.16,94.1,84.15,74.89,99.17,40.68,70.86
Uttar Pradesh,Ballia,2025,20.39,89.98,70.32,38.02,76.45,65.66,68.34
Meghalaya,East Khasi Hills,2018,80.28,75.75,83.24,70.63,29.67,23.38,19.4
Assam,Kamrup Metropolitan,2016,67.35,69.55,40.65,37.73,91.34,12.22,10.62
Madhya Pradesh,Vidisha,2023,26.46,99.91,28.85,98.03,45.8,14.79,60.37
Uttarakhand,Haridwar,2021,48.49,13.35,15.07,30.41,43.06,75.33,75.78
Rajasthan,Rajsamand,2021,18.12,63.52,26.25,27.51,39.36,13.32,73.65
Kerala,Thiruvananthapuram,2020,30.01,92.49,91.45,66.66,52.89,58.17,62.69
Maharashtra,Sindhudurg,2016,54.26,84.43,52.35,19.82,70.73,17.14,47.97
Bihar,Aurangabad,2018,95.61,63.28,24.18,50.57,32.91,39.02,22.63
Andhra Pradesh,Alluri Sitharama Raju,2024,92.7,38.33,32.87,70.48,34.85,86.93,14.29
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2016,71.73,35.89,85.72,58.4,43.78,33.8,45.59
Maharashtra,Ahmednagar,2020,60.62,59.39,65.89,44.92,49.95,21.99,71.71
Rajasthan,Salumbar,2021,80.65,51.76,63.97,66.42,40.14,81.08,59.45
Chhattisgarh,Rajnandgaon,2025,29.18,12.12,35.12,23.12,14.35,29.3,85.12
Odisha,Sonepur,2023,71.38,77.18,90.98,46.17,41.1,23.51,46.87
Madhya Pradesh,Maihar,2017,52.87,51.54,69.03,25.99,49.53,58.54,98.27
Sikkim,Pakyong,2017,38.11,25.1,33.21,19.95,57.24,55.8,19.54
Rajasthan,Dholpur,2016,34.6,32.13,10.89,73.52,46.78,93.76,55.84
Tamil Nadu,Dindigul,2020,61.68,57.58,65.48,39.88,79.28,77.33,47.91
