state,district,year,internet_users,broadband_users,mobile_subscribers,internet_penetration,5g_coverage,data_usage,digital_services
Gujarat,Anand,2016,73.02,46.86,56.15,52.12,65.63,42.27,29.3
Tamil Nadu,Pudukkottai,2018,14.5,89.2,92.0,45.71,18.31,93.73,79.58
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2023,13.11,83.79,45.68,62.75,13.38,45.65,69.91
Odisha,Khordha,2016,92.71,85.21,35.65,12.2,82.44,54.81,47.15
Jharkhand,Dhanbad,2018,10.94,78.28,22.59,65.38,21.79,26.27,74.44
Telangana,Kamareddy,2023,37.98,98.27,83.05,65.64,49.19,25.09,32.76
Uttar Pradesh,Lalitpur,2021,47.63,93.66,23.24,99.87,31.16,27.0,59.59
Arunachal Pradesh,Namsai,2016,31.56,93.09,40.47,21.82,65.25,28.55,35.35
Arunachal Pradesh,Changlang,2017,63.76,60.42,44.22,35.54,42.75,87.46,27.72
Haryana,Jind,2019,69.05,61.46,52.61,76.55,27.59,60.37,38.02
Gujarat,Sabarkantha,2019,71.59,10.79,42.94,60.27,86.86,95.19,20.95
Uttar Pradesh,Hathras,2024,94.08,51.83,11.08,30.29,32.85,68.91,41.18
Punjab,Hoshiarpur,2015,29.1,20.45,45.28,47.08,49.18,81.9,53.93
Nagaland,Kohima,2025,31.26,34.03,34.15,59.9,50.98,91.64,11.35
Maharashtra,Bhandara,2016,11.45,55.54,40.48,69.64,98.52,80.85,92.93
Madhya Pradesh,Ashoknagar,2022,34.95,86.49,85.89,97.58,67.89,74.3,90.4
Arunachal Pradesh,Pakke-Kessang,2021,35.68,44.31,81.59,75.54,80.57,70.58,21.64
Madhya Pradesh,Jabalpur,2016,60.26,79.31,85.5,72.86,66.33,87.61,53.26
West Bengal,Howrah,2022,41.26,38.63,16.71,33.93,91.11,53.53,89.15
Chhattisgarh,Korea,2024,29.47,81.83,38.72,37.81,55.18,37.64,82.74
Andhra Pradesh,YSR Kadapa,2018,88.78,87.19,20.47,41.24,73.59,41.65,82.5
Andhra Pradesh,Vizianagaram,2023,70.49,84.69,19.67,91.09,23.49,59.39,42.67
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2020,51.6,42.79,41.93,97.28,33.92,40.66,92.4
Nagaland,Phek,2023,35.16,66.56,53.41,39.37,65.77,90.93,24.94
Kerala,Malappuram,2022,44.82,85.63,13.4,48.08,67.17,41.27,57.03
Madhya Pradesh,Sidhi,2023,18.27,64.64,47.59,16.67,88.0,77.59,12.74
Andhra Pradesh,Bapatla,2025,32.35,72.57,27.48,60.94,42.33,24.59,88.68
Bihar,Darbhanga,2021,52.15,77.04,39.23,64.58,46.03,47.18,15.95
Chhattisgarh,Bemetara,2019,57.85,92.9,72.65,35.43,10.14,77.28,80.18
Jharkhand,Chatra,2021,92.02,47.35,82.5,42.38,96.32,48.87,20.73
Uttar Pradesh,Pratapgarh,2017,50.67,74.33,56.55,71.11,84.03,53.14,33.55
Rajasthan,Bharatpur,2017,42.58,94.86,91.01,11.93,48.27,66.38,25.32
Kerala,Thiruvananthapuram,2023,85.16,42.52,84.64,99.15,70.72,14.66,42.18
Nagaland,Shamator,2016,39.25,77.56,36.9,72.53,13.88,25.82,39.57
Uttar Pradesh,Etawah,2017,27.07,48.86,71.52,84.68,15.34,48.36,24.42
Assam,Dima Hasao,2016,67.7,37.29,66.62,41.72,19.12,24.29,47.33
Kerala,Wayanad,2023,89.9,30.15,84.87,55.52,50.27,58.5,62.33
Rajasthan,Kota,2019,61.27,63.86,70.43,37.63,16.47,63.87,26.31
Madhya Pradesh,Mandla,2020,81.2,91.56,32.5,78.72,40.46,46.44,76.39
Maharashtra,Gadchiroli,2019,15.1,96.04,45.54,37.21,91.48,78.6,85.65
Bihar,Lakhisarai,2021,30.23,42.21,64.7,27.24,85.01,43.66,96.14
Madhya Pradesh,Rajgarh,2021,35.63,46.29,86.29,92.44,71.77,87.46,88.76
Madhya Pradesh,Raisen,2023,10.1,96.09,88.09,13.01,62.79,25.51,49.73
Telangana,Mancherial,2021,55.34,59.46,96.83,97.39,57.05,96.56,76.42
Gujarat,Mahisagar,2019,31.4,77.67,97.36,59.43,85.23,11.46,35.0
Haryana,Hisar,2018,61.84,91.45,91.55,69.84,25.68,80.62,72.36
Tripura,Gomati,2017,17.72,17.62,75.97,55.74,11.58,88.08,88.25
West Bengal,Cooch Behar,2021,50.04,27.26,54.75,19.52,13.82,71.86,46.64
Rajasthan,Sri Ganganagar,2018,25.26,96.53,80.34,56.39,22.31,86.62,75.92
Rajasthan,Kotputli-Behror,2024,37.3,93.67,53.93,71.21,81.25,32.9,11.25
Andhra Pradesh,Guntur,2021,58.17,82.67,44.39,55.22,12.46,38.31,83.75
Manipur,Ukhrul,2021,43.46,96.61,41.79,12.3,49.21,79.27,12.45
Maharashtra,Akola,2016,43.4,81.15,91.15,29.78,14.45,15.75,13.34
Nagaland,Wokha,2023,87.37,35.94,82.83,19.73,63.76,45.57,81.85
Uttar Pradesh,Bahraich,2024,51.52,20.78,92.11,69.47,95.87,24.17,61.85
Uttar Pradesh,Ghazipur,2023,83.95,69.03,66.01,96.06,72.8,77.71,12.03
Gujarat,Amreli,2017,10.39,98.98,35.41,96.41,59.69,39.15,22.25
Tamil Nadu,Pudukkottai,2025,41.72,89.22,57.64,94.92,81.69,31.44,54.91
Uttar Pradesh,Sambhal,2025,64.11,68.94,66.02,69.7,18.45,91.57,21.37
Telangana,Jagtial,2015,75.51,66.84,72.18,61.58,53.11,72.98,61.05
Telangana,Suryapet,2019,43.15,29.18,39.85,84.96,95.25,85.2,95.41
Madhya Pradesh,Sagar,2024,28.49,76.41,89.78,85.38,81.96,90.84,19.15
Mizoram,Saiha,2019,24.62,73.34,81.09,70.61,33.54,41.06,40.62
Meghalaya,East Garo Hills,2016,99.16,36.97,67.59,72.34,25.63,99.25,25.04
Madhya Pradesh,Dhar,2024,26.72,23.75,68.54,77.14,16.65,14.7,81.93
Tamil Nadu,Tiruchirappalli,2021,39.27,40.67,72.96,94.84,88.43,60.95,33.22
Chhattisgarh,Janjgir-Champa,2020,91.79,40.83,73.52,44.46,78.48,51.9,58.9
Madhya Pradesh,Shivpuri,2018,44.94,28.86,13.12,74.89,25.77,14.84,34.37
Kerala,Kasaragod,2023,99.62,96.72,16.46,45.05,31.97,97.63,76.2
Andhra Pradesh,Srikakulam,2022,69.97,82.94,86.97,89.96,30.74,19.84,22.52
Maharashtra,Raigad,2023,42.8,29.11,49.28,60.02,53.14,39.68,47.49
West Bengal,Darjeeling,2023,39.09,82.04,60.65,63.22,93.91,77.04,38.66
Odisha,Deogarh,2016,47.46,65.25,51.32,56.03,95.14,61.43,73.18
Karnataka,Bengaluru Urban,2022,45.33,36.91,30.33,41.82,29.0,72.63,84.86
Kerala,Wayanad,2023,67.97,71.3,30.66,29.59,46.51,24.83,67.89
Arunachal Pradesh,Kamle,2020,60.95,44.85,81.18,43.8,42.0,67.9,88.9
Tamil Nadu,Ranipet,2020,18.06,65.01,73.79,52.96,75.73,64.54,72.3
Karnataka,Vijayanagara,2023,44.84,93.96,21.51,61.24,72.32,47.24,98.35
Gujarat,Ahmedabad,2015,41.86,93.31,83.57,53.47,64.48,19.95,57.52
Uttar Pradesh,Meerut,2016,96.81,32.2,94.77,29.25,48.0,28.91,30.26
Uttarakhand,Dehradun,2016,33.91,74.14,26.7,24.58,70.01,47.71,31.06
Gujarat,Dang,2024,75.24,73.03,93.4,92.55,98.24,45.68,46.77
Himachal Pradesh,Shimla,2023,10.48,93.25,13.88,26.99,94.94,22.77,61.8
West Bengal,Bankura,2019,40.48,35.55,45.98,55.26,32.42,96.45,20.07
Jharkhand,Jamtara,2024,41.03,87.74,17.8,76.01,10.83,90.2,20.78
Bihar,Nalanda,2016,15.21,81.21,99.39,35.11,20.19,48.16,52.16
Telangana,Yadadri Bhuvanagiri,2023,91.4,46.61,98.5,73.36,69.05,80.86,18.7
Tripura,Sepahijala,2017,37.79,91.09,70.16,44.32,82.92,40.83,99.56
Uttar Pradesh,Pratapgarh,2016,58.61,17.59,80.74,21.67,28.07,16.67,70.53
Karnataka,Davanagere,2021,85.26,22.83,53.75,28.5,68.97,28.02,54.31
Mizoram,Serchhip,2023,82.34,37.09,34.0,20.44,72.09,18.51,29.85
Karnataka,Bagalkot,2018,94.04,19.08,28.96,18.66,31.62,13.91,39.54
Jharkhand,Ranchi,2022,71.28,56.66,32.83,80.3,15.92,59.62,19.58
Gujarat,Bharuch,2016,38.83,82.84,40.73,46.46,71.8,40.77,63.39
Kerala,Wayanad,2025,76.97,10.22,28.08,61.43,46.36,77.63,41.13
Kerala,Alappuzha,2023,62.84,83.97,17.18,19.01,43.97,87.05,73.71
Karnataka,Udupi,2017,54.02,68.5,46.82,54.52,39.74,52.89,94.99
Telangana,Wanaparthy,2019,36.64,95.78,59.54,90.63,83.38,17.21,27.83
Bihar,Arwal,2019,20.97,37.16,37.41,21.8,38.98,70.7,20.55
Rajasthan,Beawar,2017,99.16,77.09,94.92,71.34,75.59,72.58,50.84
West Bengal,North 24 Parganas,2016,83.15,76.75,71.02,37.86,54.41,32.19,84.94
Haryana,Mahendragarh,2023,52.82,39.94,13.12,85.78,48.36,20.65,27.28
Odisha,Nabarangpur,2018,98.17,34.9,10.78,98.54,13.14,72.44,99.45
Madhya Pradesh,Mandsaur,2022,62.78,65.91,51.8,39.46,55.49,64.4,70.61
Jharkhand,Koderma,2024,99.85,62.34,35.31,48.48,84.83,24.49,68.79
Haryana,Rohtak,2017,66.3,20.61,54.58,48.94,15.35,44.92,75.71
Uttar Pradesh,Farrukhabad,2015,39.01,73.76,23.52,64.62,11.1,65.28,15.07
Chhattisgarh,Kabirdham,2021,93.51,12.29,67.4,26.14,28.09,67.71,64.05
Uttarakhand,Rudraprayag,2022,88.54,64.94,33.12,77.66,73.87,41.67,16.74
Chhattisgarh,Janjgir-Champa,2015,26.58,47.19,26.47,94.98,10.98,25.73,97.66
Karnataka,Davanagere,2025,28.0,40.16,82.39,11.24,41.08,79.34,97.48
Mizoram,Hnahthial,2022,16.41,78.8,49.22,72.61,25.39,59.6,18.64
Uttar Pradesh,Gorakhpur,2022,52.99,55.57,84.3,17.1,84.26,55.25,77.09
Haryana,Sonipat,2020,88.2,81.9,99.75,57.03,55.05,26.49,15.72
Telangana,Komaram Bheem Asifabad,2025,25.01,73.98,67.38,24.48,98.26,95.78,16.08
Andhra Pradesh,Eluru,2023,54.29,29.13,26.86,48.78,49.53,93.02,61.75
Arunachal Pradesh,West Siang,2025,46.89,79.19,54.38,35.51,38.77,35.09,83.32
Maharashtra,Dhule,2017,59.27,78.45,95.2,83.65,99.98,35.12,50.57
Madhya Pradesh,Datia,2023,61.89,15.43,39.99,55.01,28.72,85.42,11.46
Arunachal Pradesh,West Kameng,2024,61.93,27.53,64.31,41.38,12.95,86.29,25.2
Bihar,Gopalganj,2015,95.64,52.76,33.94,19.43,40.42,54.81,53.73
Karnataka,Gadag,2024,32.38,22.52,45.14,89.16,98.01,19.54,39.75
Punjab,Pathankot,2015,72.04,75.57,40.27,78.22,78.33,45.69,29.64
Karnataka,Chikkaballapur,2019,37.06,99.46,49.29,43.81,59.93,20.08,67.45
Maharashtra,Nagpur,2025,66.01,93.56,74.27,35.61,74.93,82.66,50.54
Tripura,West Tripura,2024,23.4,25.33,55.09,78.39,72.09,65.74,84.94
Gujarat,Surendranagar,2022,17.87,26.06,38.3,24.17,82.03,73.02,14.88
Manipur,Imphal East,2020,70.54,21.7,65.97,76.08,80.59,74.67,52.14
Rajasthan,Sawai Madhopur,2017,94.94,11.48,93.83,65.7,48.78,76.16,26.73
Madhya Pradesh,Agar Malwa,2022,96.65,92.67,46.81,41.99,88.6,48.73,18.61
Maharashtra,Satara,2020,17.09,36.82,56.77,34.35,58.96,82.9,23.55
Jharkhand,Simdega,2020,98.01,11.16,53.33,41.42,96.89,41.6,44.6
Assam,Dhubri,2016,50.56,94.75,57.83,94.21,72.47,86.46,93.48
Bihar,Saharsa,2022,41.77,65.4,51.44,47.22,51.8,15.13,48.35
Sikkim,Pakyong,2024,61.56,13.18,97.75,74.39,78.51,60.53,18.29
Rajasthan,Pali,2018,32.97,84.53,73.29,88.76,66.22,52.61,60.01
Andhra Pradesh,Bapatla,2022,93.83,48.59,58.32,51.29,58.53,90.82,40.83
Uttar Pradesh,Muzaffarnagar,2018,83.0,84.04,10.38,15.7,97.0,75.43,89.49
Gujarat,Aravalli,2024,97.76,39.98,14.26,73.62,27.69,10.84,14.4
Sikkim,Namchi,2020,59.61,55.62,12.28,75.28,21.01,23.03,77.25
Uttar Pradesh,Jalaun,2016,32.89,21.12,13.66,93.11,33.78,69.0,50.82
Madhya Pradesh,Sheopur,2023,45.45,41.29,26.62,92.08,34.7,37.04,62.7
Manipur,Chandel,2025,86.63,14.66,38.08,25.07,81.28,97.0,81.25
Andhra Pradesh,Kakinada,2020,32.01,33.47,93.38,25.58,27.08,28.19,76.65
Tamil Nadu,Tiruchirappalli,2018,57.24,56.17,29.33,81.02,12.56,27.41,85.55
Haryana,Kaithal,2025,58.15,77.98,69.39,16.71,74.59,19.19,66.82
Kerala,Thrissur,2021,31.51,70.88,23.97,45.24,14.72,77.55,65.49
Sikkim,Pakyong,2016,34.73,20.48,91.51,59.88,26.31,23.41,44.19
Uttar Pradesh,Baghpat,2019,22.27,76.39,27.49,98.75,49.55,95.67,53.71
Gujarat,Bharuch,2017,57.24,45.24,72.93,86.85,33.2,46.38,52.39
Tamil Nadu,Nilgiris,2019,86.83,48.67,90.01,81.96,53.9,65.48,83.53
Assam,Sivasagar,2018,71.17,40.53,16.25,51.42,14.39,30.66,81.32
Madhya Pradesh,Jabalpur,2022,21.76,96.83,66.56,68.53,15.53,90.95,94.92
Gujarat,Narmada,2021,13.84,65.57,35.17,36.91,79.84,93.9,72.14
Haryana,Mahendragarh,2018,33.44,85.04,89.92,56.11,47.72,84.16,41.37
Himachal Pradesh,Kinnaur,2019,39.45,53.39,44.81,79.55,77.81,66.93,50.27
Bihar,Sheohar,2021,29.57,53.52,42.64,51.79,50.5,96.68,71.13
Mizoram,Hnahthial,2021,50.19,70.57,83.72,59.21,21.18,20.77,77.41
Himachal Pradesh,Solan,2015,98.93,97.33,85.95,40.25,36.6,63.13,47.6
Bihar,Patna,2021,90.02,86.6,93.81,27.64,82.78,45.05,77.01
Haryana,Hisar,2023,96.38,27.85,89.54,13.35,60.92,72.84,99.18
Sikkim,Gyalshing,2019,80.53,72.38,17.1,57.62,95.1,95.88,35.26
Maharashtra,Solapur,2022,48.95,13.24,32.06,12.81,79.67,90.54,97.82
Odisha,Koraput,2022,61.86,37.94,73.29,12.56,46.28,38.49,59.27
West Bengal,South 24 Parganas,2019,62.68,82.1,64.79,39.35,98.95,17.94,77.86
Bihar,East Champaran,2021,40.96,58.8,66.44,80.68,37.81,80.72,40.56
Bihar,Supaul,2020,52.93,50.9,26.91,80.1,94.82,23.13,74.84
Tamil Nadu,Chennai,2018,75.06,97.79,18.89,18.2,51.38,55.85,30.66
Andhra Pradesh,Guntur,2024,55.82,37.27,72.69,57.23,48.86,33.28,89.84
Haryana,Panipat,2025,81.87,34.23,37.59,14.25,59.14,26.25,22.09
West Bengal,Purba Medinipur,2025,27.0,94.78,22.39,92.83,62.85,33.76,67.69
Mizoram,Hnahthial,2016,18.92,97.51,77.73,78.67,49.75,48.2,12.93
Andhra Pradesh,Parvathipuram Manyam,2025,22.28,66.45,74.51,22.08,50.69,90.12,20.79
Uttar Pradesh,Mathura,2019,38.42,34.76,23.85,40.41,19.75,44.36,88.55
Telangana,Medak,2015,29.11,23.74,32.81,77.97,33.03,46.45,59.5
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,24.48,96.87,83.68,55.39,49.24,93.52,45.57
Punjab,Faridkot,2022,46.4,95.66,37.7,68.61,68.65,95.27,26.3
Telangana,Nirmal,2018,86.39,46.42,84.7,97.93,98.24,51.99,33.03
Rajasthan,Bundi,2025,61.26,33.0,12.05,51.89,71.7,29.51,17.27
Odisha,Khordha,2017,94.2,61.35,10.05,39.03,56.18,17.56,41.13
Tamil Nadu,Namakkal,2016,26.71,60.29,19.83,33.37,10.34,82.76,51.03
Odisha,Kalahandi,2017,53.14,23.67,43.42,48.89,68.61,21.36,35.01
Uttar Pradesh,Bijnor,2017,50.46,40.61,42.07,77.35,91.37,33.99,75.11
Tamil Nadu,Mayiladuthurai,2022,65.54,55.69,34.94,32.0,41.59,72.84,80.66
Maharashtra,Nashik,2021,29.25,41.46,36.42,72.54,70.89,39.91,23.08
Andhra Pradesh,East Godavari,2024,68.31,13.73,29.48,74.18,82.4,65.45,29.17
Jharkhand,Palamu,2025,43.65,25.15,14.09,94.04,59.64,56.41,56.51
Odisha,Nayagarh,2016,47.82,31.64,44.0,97.57,79.42,78.22,50.48
Haryana,Nuh,2025,18.17,32.59,47.59,18.48,83.79,94.21,49.37
Assam,Lakhimpur,2024,41.33,86.34,21.81,24.64,56.32,66.53,57.74
Tamil Nadu,Dharmapuri,2017,33.98,25.2,75.89,39.66,96.2,41.48,69.72
Karnataka,Udupi,2021,96.52,59.22,57.04,85.71,53.19,10.64,39.67
Tripura,Unakoti,2025,90.87,19.62,93.35,71.31,55.93,87.02,86.23
Maharashtra,Sindhudurg,2023,40.08,41.65,80.05,68.97,37.29,83.0,52.51
Andhra Pradesh,Visakhapatnam,2023,75.31,51.99,98.46,11.99,15.61,83.85,91.27
Gujarat,Porbandar,2018,57.15,67.12,11.92,44.19,78.51,83.56,33.75
Bihar,Darbhanga,2015,91.21,20.47,21.26,95.31,27.6,24.62,82.44
Chhattisgarh,Jashpur,2020,68.41,73.77,76.81,15.88,64.68,15.66,68.73
Rajasthan,Khairthal-Tijara,2017,51.48,56.84,66.07,54.6,16.76,36.28,83.83
Arunachal Pradesh,Dibang Valley,2020,93.54,49.87,95.4,20.01,13.86,74.09,35.95
Bihar,Madhepura,2020,88.81,57.72,59.2,45.67,52.98,52.48,41.82
Manipur,Tamenglong,2019,88.42,61.13,35.63,73.69,86.0,18.72,85.85
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,76.29,78.82,97.19,75.24,92.37,80.15,66.98
Telangana,Narayanpet,2015,73.64,42.92,99.25,73.99,51.75,43.08,33.87
Meghalaya,East Khasi Hills,2015,34.93,61.47,16.58,55.66,45.71,72.71,84.39
Madhya Pradesh,Alirajpur,2017,71.09,36.71,83.6,41.39,83.91,47.37,12.24
Odisha,Dhenkanal,2024,13.39,39.71,76.32,34.38,29.74,27.73,57.8
Odisha,Dhenkanal,2018,71.68,31.61,75.36,98.04,84.12,33.05,10.69
Uttar Pradesh,Banda,2016,77.87,98.27,70.99,12.54,20.14,24.63,80.43
Punjab,Sri Muktsar Sahib,2022,90.75,94.57,75.95,79.44,45.23,72.35,20.08
Odisha,Boudh,2015,76.42,90.29,61.45,89.75,16.88,52.34,90.81
Nagaland,Zunheboto,2019,57.53,76.41,59.87,67.95,56.04,51.3,16.51
Rajasthan,Tonk,2017,96.94,84.73,34.28,10.93,63.65,91.35,35.0
Haryana,Rewari,2015,57.89,89.73,50.55,25.37,64.53,82.21,31.73
Assam,Nalbari,2023,68.26,47.15,77.46,46.23,46.16,84.49,33.28
Assam,Goalpara,2022,98.42,56.65,28.26,21.19,73.32,87.03,58.36
Bihar,Bhagalpur,2015,93.73,90.24,34.98,27.32,21.5,41.78,80.03
Chhattisgarh,Gariaband,2022,20.88,51.04,66.11,26.93,22.74,95.23,30.4
Uttar Pradesh,Gonda,2016,25.89,60.72,59.27,61.27,63.2,68.04,62.98
West Bengal,Paschim Medinipur,2017,38.55,95.52,62.43,75.02,97.08,87.89,80.92
Madhya Pradesh,Burhanpur,2025,80.88,57.92,65.33,74.48,48.99,18.18,94.54
Madhya Pradesh,Rajgarh,2017,23.87,78.12,32.83,58.09,82.14,37.5,68.89
Andhra Pradesh,Eluru,2025,61.56,89.68,94.6,80.71,34.04,31.82,14.56
Chhattisgarh,Korea,2019,29.99,56.22,26.38,15.34,24.66,33.28,97.61
Karnataka,Vijayanagara,2019,22.28,98.85,92.38,93.15,77.14,33.78,55.49
Maharashtra,Washim,2017,24.89,82.79,91.5,87.5,69.1,86.03,91.25
Maharashtra,Pune,2019,32.51,83.99,98.37,50.8,42.54,46.69,66.27
West Bengal,Purba Medinipur,2021,22.1,69.76,43.72,44.33,71.88,24.24,57.04
Rajasthan,Chittorgarh,2024,46.43,47.93,27.71,92.06,69.68,92.31,74.97
Gujarat,Kutch,2019,41.37,32.63,82.27,14.73,49.83,57.98,68.27
West Bengal,Cooch Behar,2020,88.86,29.44,85.53,45.13,38.48,63.9,72.97
Tamil Nadu,Coimbatore,2018,28.35,38.77,79.49,39.06,52.67,37.44,87.88
Andhra Pradesh,Srikakulam,2019,35.1,87.6,25.28,37.32,90.39,59.1,25.3
Jharkhand,Seraikela-Kharsawan,2023,59.28,95.71,93.24,62.29,79.46,36.21,91.95
Haryana,Kurukshetra,2022,59.26,55.39,58.93,44.47,53.61,33.36,22.92
Arunachal Pradesh,Dibang Valley,2024,99.93,57.73,55.52,82.08,56.39,21.91,71.42
Punjab,Ferozepur,2019,53.31,43.87,66.21,93.15,12.08,50.16,35.67
Odisha,Angul,2015,27.17,54.04,85.66,21.82,95.34,20.06,59.78
Uttarakhand,Haridwar,2017,19.57,57.07,82.11,85.75,12.18,19.31,11.18
Bihar,Purnia,2023,33.23,43.18,51.23,38.96,83.51,21.87,29.42
Rajasthan,Jhunjhunu,2018,56.2,76.05,74.03,22.51,40.11,34.23,30.96
Madhya Pradesh,Ratlam,2017,40.24,77.49,32.86,49.45,25.57,40.51,70.06
Uttar Pradesh,Lucknow,2018,77.21,14.93,34.52,32.59,10.39,80.68,61.47
Uttar Pradesh,Gonda,2016,42.47,11.01,94.77,55.22,31.39,90.77,17.07
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,92.26,42.94,53.4,63.31,12.85,73.23,40.44
Odisha,Kandhamal,2025,91.15,92.54,83.39,58.41,20.49,58.41,67.27
Karnataka,Bagalkot,2023,95.89,95.5,70.32,62.96,64.87,24.24,72.83
Rajasthan,Kekri,2018,44.39,85.03,24.92,73.95,28.88,23.96,51.48
Uttar Pradesh,Unnao,2019,44.23,89.45,58.15,82.11,60.09,41.57,10.61
Rajasthan,Kekri,2025,95.11,28.83,79.43,79.78,74.2,61.03,78.55
Rajasthan,Karauli,2023,64.96,52.49,91.28,91.45,52.93,41.78,50.8
Uttar Pradesh,Sambhal,2016,52.95,53.77,16.07,99.88,30.62,80.23,19.28
Bihar,Banka,2023,68.38,89.47,93.68,26.11,33.95,65.64,99.4
Kerala,Palakkad,2022,44.97,18.9,99.14,75.9,43.91,58.57,77.42
Odisha,Gajapati,2025,59.49,95.57,46.65,66.59,63.06,79.36,39.92
Haryana,Jind,2016,47.94,51.54,94.4,10.91,69.44,27.71,25.83
Rajasthan,Anupgarh,2015,32.04,46.87,80.43,85.21,35.37,22.78,29.5
Telangana,Warangal,2020,39.21,41.57,35.71,95.72,96.46,54.74,65.47
Punjab,Ludhiana,2018,86.39,17.96,68.19,22.53,73.05,87.03,86.44
Andhra Pradesh,Visakhapatnam,2021,58.3,16.94,88.11,89.67,65.19,35.09,50.43
Jharkhand,East Singhbhum,2020,77.23,71.13,42.83,64.36,65.52,74.86,56.78
Andhra Pradesh,Anantapur,2019,92.53,53.56,95.06,99.41,68.0,26.32,46.51
Odisha,Sundargarh,2016,24.56,16.25,77.13,68.88,89.4,75.72,80.7
Arunachal Pradesh,Anjaw,2021,20.3,61.68,39.52,42.58,93.0,70.87,32.93
Telangana,Suryapet,2019,59.8,21.2,58.06,67.4,84.26,82.51,31.69
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,63.95,41.28,34.37,16.99,26.69,31.91,73.3
Uttar Pradesh,Aligarh,2023,26.16,44.79,37.79,57.49,68.88,39.02,47.76
Haryana,Kurukshetra,2016,97.36,73.65,38.28,85.3,82.74,51.97,26.69
Gujarat,Jamnagar,2019,48.32,81.14,83.09,31.69,29.26,93.69,16.44
Rajasthan,Pratapgarh,2023,52.51,83.14,12.86,12.7,80.0,43.22,23.38
Gujarat,Sabarkantha,2018,49.54,85.15,55.7,29.99,20.82,37.94,48.73
Uttar Pradesh,Lucknow,2022,14.19,94.12,33.78,66.02,40.86,20.28,73.63
Manipur,Noney,2023,33.8,92.29,44.41,32.6,21.08,75.42,86.29
Tamil Nadu,Tiruvannamalai,2025,19.42,71.4,34.42,80.1,45.22,96.07,57.57
Uttarakhand,Udham Singh Nagar,2021,17.97,47.82,88.36,93.33,71.24,95.75,89.3
Sikkim,Namchi,2016,10.49,20.69,37.37,34.75,38.04,50.32,49.14
Uttar Pradesh,Unnao,2021,46.03,53.25,24.43,56.95,82.8,72.99,48.95
Maharashtra,Osmanabad (Dharashiv),2024,16.67,41.11,16.51,30.06,88.48,87.76,32.9
Himachal Pradesh,Bilaspur,2015,50.96,94.79,79.5,24.79,70.42,85.95,51.48
Assam,Sonitpur,2021,56.79,89.65,52.64,74.43,83.27,63.68,82.29
Nagaland,Chümoukedima,2025,19.99,20.47,78.54,65.68,34.8,68.73,94.91
Karnataka,Bengaluru Rural,2024,85.97,26.12,43.83,69.46,35.33,40.17,14.89
Gujarat,Dang,2023,26.53,93.69,68.55,95.67,68.46,62.99,97.16
Gujarat,Anand,2016,97.76,49.13,50.1,89.18,73.66,12.23,99.55
Telangana,Nagarkurnool,2018,54.99,19.0,49.11,16.48,14.21,84.54,59.58
Uttar Pradesh,Mau,2015,62.57,96.38,98.88,98.85,32.45,79.86,48.97
Madhya Pradesh,Hoshangabad (Narmadapuram),2016,57.94,51.09,76.23,35.76,37.24,80.17,52.93
Uttar Pradesh,Shahjahanpur,2017,39.88,72.1,51.08,76.99,38.8,78.13,36.26
Uttar Pradesh,Mahoba,2022,46.62,93.77,35.7,44.32,55.27,77.62,55.39
Rajasthan,Jalore,2016,32.61,56.92,11.23,68.38,39.31,39.88,97.71
Nagaland,Kohima,2025,68.24,18.34,75.94,92.37,11.36,10.09,14.51
Punjab,Sangrur,2019,85.81,42.77,77.07,62.74,77.64,69.03,35.51
Bihar,Purnia,2024,17.23,43.14,77.73,71.72,55.1,38.54,94.36
Assam,Baksa,2015,36.71,43.86,73.53,73.56,27.5,23.5,41.27
Uttar Pradesh,Sonbhadra,2023,27.89,88.18,24.55,66.6,53.65,45.09,26.6
Kerala,Thiruvananthapuram,2017,48.27,72.81,79.87,54.56,43.48,65.69,84.28
Andhra Pradesh,East Godavari,2024,80.25,17.95,62.95,27.34,25.04,10.02,78.47
Jharkhand,Deoghar,2016,21.61,75.73,90.01,23.28,47.34,58.95,25.32
Kerala,Kasaragod,2022,16.16,22.86,71.72,85.87,10.56,59.06,43.53
Telangana,Nagarkurnool,2021,58.0,27.81,72.73,23.1,14.98,86.73,78.57
Uttar Pradesh,Sambhal,2021,16.02,32.41,41.88,19.88,82.55,57.91,32.61
Arunachal Pradesh,East Kameng,2020,96.72,35.81,52.58,19.28,67.59,56.07,88.81
Madhya Pradesh,Narsinghpur,2020,29.41,70.39,34.37,43.57,73.78,67.04,82.1
Gujarat,Mehsana,2021,25.21,48.74,44.73,23.22,87.48,11.11,51.15
Karnataka,Uttara Kannada,2023,36.52,66.6,33.14,59.29,63.57,55.67,13.9
Odisha,Balangir,2022,41.2,35.73,85.83,24.01,52.62,32.75,18.05
Assam,West Karbi Anglong,2017,36.62,87.82,85.38,53.93,27.92,74.66,61.03
Gujarat,Gandhinagar,2015,20.4,36.61,68.13,12.46,30.81,93.16,86.22
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2024,40.01,97.15,71.15,20.54,25.27,10.09,43.13
