state,district,year,poverty_rate,below_poverty_line,unemployment_rate,income_per_capita,social_welfare_spending,food_insecurity,homelessness
Rajasthan,Jodhpur,2022,76.44,31.25,72.66,89.38,63.28,20.4,42.75
Telangana,Khammam,2025,76.06,34.2,14.83,94.7,35.23,11.36,66.39
Punjab,Fatehgarh Sahib,2019,36.15,33.11,75.19,75.15,29.02,64.83,98.9
Maharashtra,Solapur,2021,21.58,55.55,33.71,59.21,47.53,21.45,88.44
Uttar Pradesh,Mainpuri,2024,31.54,60.03,33.19,56.04,37.76,91.15,57.44
Uttar Pradesh,Siddharthnagar,2023,14.09,50.36,15.83,54.51,18.31,35.24,53.92
Karnataka,Kodagu,2016,98.79,45.38,21.46,94.64,84.18,69.94,80.29
Karnataka,Belagavi,2019,51.86,11.11,71.25,62.75,16.07,52.89,48.49
Uttar Pradesh,Ballia,2020,36.25,90.27,41.79,92.93,14.09,76.55,41.58
Uttar Pradesh,Hardoi,2025,89.11,29.4,89.57,13.36,25.19,69.78,50.86
Uttar Pradesh,Saharanpur,2015,81.0,25.18,72.7,33.92,93.95,98.07,25.63
Jharkhand,Deoghar,2016,23.71,98.15,69.72,53.32,77.11,81.25,32.31
Nagaland,Tseminyu,2019,94.76,83.92,63.0,21.11,95.91,82.15,31.1
Chhattisgarh,Baloda Bazar,2022,23.75,27.67,64.29,27.36,15.68,91.85,10.93
Andhra Pradesh,Bapatla,2020,74.5,51.12,63.37,32.39,76.08,32.32,59.02
Tamil Nadu,Tirunelveli,2017,90.28,30.4,52.49,27.94,17.18,81.91,89.75
Madhya Pradesh,Seoni,2018,53.25,70.81,47.11,53.98,56.35,39.51,92.2
Odisha,Rayagada,2025,48.39,56.32,93.57,90.8,99.01,31.4,64.82
West Bengal,Uttar Dinajpur,2018,93.43,14.8,89.26,54.42,65.54,76.14,65.95
Telangana,Komaram Bheem Asifabad,2020,49.51,97.62,13.43,54.6,45.15,63.28,12.8
Madhya Pradesh,Agar Malwa,2018,55.58,50.56,15.52,56.66,80.27,48.72,12.31
Rajasthan,Karauli,2019,66.73,36.22,72.36,49.73,62.36,51.89,76.53
West Bengal,Malda,2020,91.96,25.43,91.74,31.55,45.33,75.06,56.52
Madhya Pradesh,Jhabua,2022,60.85,94.89,34.22,73.62,35.23,61.33,74.14
Haryana,Jind,2017,52.68,49.28,81.44,91.62,17.55,88.52,97.44
Madhya Pradesh,Ratlam,2025,38.01,59.38,52.87,57.07,86.11,25.49,80.7
Bihar,Banka,2023,90.7,63.41,67.43,16.5,92.68,83.64,81.9
Nagaland,Tuensang,2023,82.68,62.68,66.49,14.5,80.42,83.22,73.08
Bihar,Lakhisarai,2019,13.16,47.18,81.2,31.29,73.08,43.83,50.87
Madhya Pradesh,Rajgarh,2023,40.18,56.24,28.47,60.95,56.77,63.18,94.35
Gujarat,Gir Somnath,2023,32.08,82.42,78.96,22.82,36.73,97.79,27.67
Rajasthan,Churu,2022,13.78,20.51,65.37,74.49,51.06,48.34,35.93
Arunachal Pradesh,Papum Pare,2021,62.91,23.25,68.86,31.9,13.64,74.1,83.1
Punjab,Ludhiana,2025,35.69,20.49,54.75,68.44,15.04,39.05,47.02
Meghalaya,Ri Bhoi,2021,26.89,18.44,20.89,36.7,56.97,84.75,93.98
Arunachal Pradesh,Lohit,2025,65.19,56.21,10.4,87.3,24.93,32.21,55.79
Arunachal Pradesh,West Kameng,2019,16.3,76.84,46.32,24.37,80.29,58.6,83.87
Haryana,Bhiwani,2019,47.18,52.78,15.33,70.46,21.14,28.01,68.97
Haryana,Sirsa,2019,93.03,22.54,55.95,72.82,12.75,61.02,55.81
Bihar,Samastipur,2023,50.63,23.01,16.37,38.12,96.87,88.71,93.87
Gujarat,Amreli,2025,85.22,57.73,57.94,84.2,24.84,71.34,13.79
Uttar Pradesh,Kanpur Dehat,2016,95.29,35.35,95.56,54.68,13.52,52.75,62.6
Meghalaya,East Jaintia Hills,2022,40.1,20.26,24.92,38.43,63.79,45.83,80.13
Punjab,Mansa,2024,72.22,51.21,96.54,23.44,16.65,38.35,24.96
Maharashtra,Yavatmal,2023,32.39,42.8,57.23,30.79,36.04,45.56,49.37
Rajasthan,Nagaur,2024,53.31,79.26,44.78,65.27,92.1,21.26,34.51
Odisha,Dhenkanal,2018,72.87,62.15,70.83,52.91,56.71,38.09,81.54
Karnataka,Mysuru,2019,34.42,71.14,31.94,68.33,51.01,66.13,14.82
Uttar Pradesh,Pilibhit,2022,27.8,52.2,60.45,31.23,72.74,31.38,38.89
Haryana,Nuh,2021,69.3,59.94,18.83,36.33,11.55,26.16,85.77
Madhya Pradesh,Bhopal,2020,36.66,25.19,74.7,17.99,82.93,68.81,35.98
Gujarat,Chhota Udepur,2020,72.94,36.68,80.47,53.45,60.05,38.45,87.65
Karnataka,Chikkaballapur,2021,13.16,64.88,56.26,89.71,52.57,38.03,52.88
West Bengal,Alipurduar,2015,50.31,40.89,51.0,94.81,31.1,43.45,74.67
Uttar Pradesh,Shamli,2017,29.37,84.92,76.38,20.2,29.78,74.42,51.68
Chhattisgarh,Bemetara,2021,40.76,90.44,62.67,67.49,86.48,68.52,29.62
Nagaland,Peren,2025,26.16,74.91,20.78,72.67,33.44,73.46,77.2
Maharashtra,Hingoli,2015,53.62,37.64,26.43,29.29,83.8,45.35,43.37
Uttar Pradesh,Kaushambi,2017,15.46,77.88,76.45,61.91,55.04,74.7,39.94
Tamil Nadu,Viluppuram,2021,39.08,82.0,39.41,44.89,80.11,30.4,14.76
Himachal Pradesh,Bilaspur,2019,46.77,44.95,44.51,76.97,23.01,73.96,28.87
Maharashtra,Gadchiroli,2024,48.8,68.46,71.08,53.14,33.83,77.9,82.94
Sikkim,Gyalshing,2022,25.98,43.82,83.13,68.75,73.04,76.93,88.38
Tamil Nadu,Tirunelveli,2022,18.17,18.08,82.57,14.26,98.7,14.98,42.97
Andhra Pradesh,NTR,2018,66.28,55.0,10.37,46.21,40.41,29.88,47.45
Telangana,Mahabubnagar,2020,16.56,58.11,61.47,28.11,15.81,62.48,70.74
Chhattisgarh,Dhamtari,2019,56.25,19.23,22.66,82.42,44.51,80.37,66.39
Madhya Pradesh,Rajgarh,2019,77.11,11.72,14.78,42.7,54.47,31.1,80.95
Meghalaya,South West Khasi Hills,2015,82.69,32.24,14.77,70.32,98.34,71.31,49.3
Karnataka,Chitradurga,2021,52.53,24.38,76.27,14.22,38.28,58.74,27.5
Tamil Nadu,Madurai,2024,56.45,87.86,83.65,72.83,65.15,48.47,35.1
Uttarakhand,Bageshwar,2019,16.83,26.71,21.02,23.73,74.14,59.45,76.28
Tamil Nadu,Chennai,2017,22.0,33.96,44.06,44.25,89.18,97.23,14.04
Madhya Pradesh,Jhabua,2022,57.5,91.07,38.76,29.77,51.21,89.03,87.37
Gujarat,Mehsana,2024,96.3,59.3,15.65,39.29,35.06,41.2,15.66
Punjab,Patiala,2023,75.43,70.0,49.74,14.53,32.29,17.33,47.34
Rajasthan,Deeg,2017,80.43,35.17,54.36,15.42,94.69,65.29,87.77
Madhya Pradesh,Dewas,2024,71.32,55.2,70.69,21.94,62.86,33.97,95.42
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2016,32.77,79.07,55.71,36.16,51.37,81.86,59.95
Telangana,Warangal,2021,68.03,27.48,70.06,33.23,62.79,67.53,94.76
Chhattisgarh,Gariaband,2023,69.16,21.85,45.19,43.15,74.79,69.51,94.93
Rajasthan,Bharatpur,2024,13.58,88.58,31.63,91.59,26.41,65.85,89.27
Rajasthan,Churu,2020,22.4,58.4,71.66,66.15,80.39,39.56,96.49
Rajasthan,Sikar,2017,76.82,32.49,35.82,21.91,91.87,64.22,74.05
Nagaland,Phek,2015,49.37,18.79,36.95,59.29,92.35,58.59,58.86
Gujarat,Mahisagar,2024,64.66,48.8,63.76,86.83,27.08,13.14,52.53
Odisha,Jagatsinghpur,2019,39.31,76.47,39.77,21.24,55.17,84.38,96.84
Gujarat,Dahod,2025,61.68,32.41,58.96,20.12,18.51,64.88,72.11
Himachal Pradesh,Lahaul & Spiti,2021,66.73,89.61,74.93,71.46,77.12,13.76,99.62
Uttar Pradesh,Kanpur Dehat,2016,66.2,18.37,31.99,10.59,81.0,20.51,81.13
Assam,Chirang,2017,32.78,70.24,84.92,59.84,21.2,94.06,10.82
Maharashtra,Sangli,2024,21.18,97.18,51.3,40.32,33.8,84.67,57.27
Tamil Nadu,Namakkal,2021,66.1,66.57,59.84,88.35,10.37,15.8,76.05
Arunachal Pradesh,Dibang Valley,2022,12.76,20.14,15.26,22.59,52.8,87.47,29.27
Uttar Pradesh,Agra,2016,82.5,16.6,75.79,58.89,51.11,91.71,72.35
Rajasthan,Deeg,2020,32.03,16.3,89.5,29.8,37.14,62.96,21.77
Telangana,Sangareddy,2023,52.59,47.62,13.77,45.34,23.72,51.88,77.58
Tamil Nadu,Thiruvarur,2017,34.67,46.06,21.65,52.21,15.92,34.68,72.2
Andhra Pradesh,Bapatla,2019,75.97,68.78,90.24,42.86,33.78,77.45,18.23
Uttar Pradesh,Etah,2015,53.97,10.88,62.76,21.74,17.31,58.63,28.76
Telangana,Siddipet,2019,22.27,21.11,24.06,91.61,89.4,38.99,69.05
Karnataka,Chamarajanagar,2020,15.81,32.1,38.99,85.14,37.19,93.15,82.24
Uttar Pradesh,Ambedkar Nagar,2019,26.56,72.17,22.54,28.55,43.0,72.05,72.78
Sikkim,Mangan,2018,17.34,37.62,78.48,91.98,87.36,78.05,24.07
Manipur,Tengnoupal,2015,40.82,45.98,18.25,37.92,56.58,25.45,14.44
Maharashtra,Ratnagiri,2021,63.88,68.17,81.29,90.21,84.85,34.79,26.49
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2020,74.0,41.93,61.78,83.58,97.4,30.81,60.98
Maharashtra,Sindhudurg,2016,64.74,31.06,71.05,17.54,52.92,36.01,58.72
Uttar Pradesh,Rampur,2015,61.88,95.8,12.89,13.21,53.85,60.51,98.89
Rajasthan,Tonk,2019,33.91,63.52,42.09,50.08,51.89,41.17,75.01
Uttar Pradesh,Budaun,2021,65.86,28.48,41.45,49.51,99.41,10.7,23.0
Manipur,Bishnupur,2025,75.83,76.65,25.61,20.13,81.12,18.43,67.66
Bihar,Lakhisarai,2016,14.22,46.94,22.71,48.85,77.5,71.63,31.07
Arunachal Pradesh,Tawang,2023,90.07,65.68,91.22,94.06,75.97,19.82,75.53
Arunachal Pradesh,Siang,2021,65.22,86.91,45.97,17.43,44.93,12.13,68.01
Uttar Pradesh,Chandauli,2024,82.46,71.97,48.57,70.58,98.46,18.03,89.5
Manipur,Thoubal,2017,92.91,67.46,41.82,27.46,16.28,64.92,40.29
Arunachal Pradesh,Lower Siang,2024,13.97,27.05,58.81,62.61,83.77,28.64,17.56
Nagaland,Peren,2019,65.63,36.08,83.28,45.74,29.16,78.22,60.96
Mizoram,Kolasib,2023,93.02,44.15,84.05,60.86,33.72,80.55,21.75
Mizoram,Saiha,2023,26.98,68.27,51.56,52.4,20.97,40.5,41.04
Andhra Pradesh,NTR,2021,48.99,54.21,13.36,42.35,91.35,81.87,46.03
Gujarat,Valsad,2018,16.3,20.16,46.07,97.45,36.1,22.63,14.73
Karnataka,Hassan,2019,48.94,60.79,96.01,60.71,76.83,90.8,58.02
Madhya Pradesh,Umaria,2021,71.73,20.03,16.7,61.12,78.05,87.65,35.88
Uttar Pradesh,Hamirpur,2019,94.59,36.15,34.01,28.26,45.85,18.35,19.39
Uttarakhand,Champawat,2015,34.28,41.86,23.44,52.98,41.15,82.66,49.99
Himachal Pradesh,Una,2025,67.9,58.01,58.55,49.06,31.27,22.36,93.85
Assam,Sivasagar,2022,39.71,99.87,39.61,45.27,45.25,28.31,33.86
Telangana,Warangal,2021,87.89,72.97,24.28,73.51,42.96,73.45,92.1
Uttar Pradesh,Unnao,2017,42.8,82.52,29.23,83.36,45.13,45.86,38.83
Uttar Pradesh,Maharajganj,2018,20.91,13.76,27.68,20.49,35.26,68.24,75.38
Uttar Pradesh,Jhansi,2015,26.24,40.76,95.34,17.78,62.9,43.35,43.75
Rajasthan,Neem Ka Thana,2017,44.43,11.68,36.92,17.77,24.88,20.07,32.51
Himachal Pradesh,Lahaul & Spiti,2017,43.59,95.5,22.07,96.27,51.98,65.2,75.71
Uttar Pradesh,Saharanpur,2018,79.72,69.73,83.74,69.15,17.69,59.29,91.57
Nagaland,Tseminyu,2016,64.56,45.97,97.77,27.4,12.92,13.71,98.87
Uttar Pradesh,Kanpur Dehat,2024,37.4,17.12,65.1,65.18,64.05,48.84,39.42
Uttar Pradesh,Pratapgarh,2022,57.16,21.66,82.51,74.68,49.7,14.59,83.82
Haryana,Bhiwani,2021,38.73,52.09,92.99,18.86,59.26,72.82,11.2
West Bengal,Howrah,2021,66.14,24.82,21.99,29.28,16.95,41.12,49.84
Andhra Pradesh,Krishna,2024,75.59,30.98,68.58,53.53,61.33,22.46,14.72
Uttar Pradesh,Pratapgarh,2025,37.54,63.64,91.62,37.16,31.04,88.11,73.26
Rajasthan,Jaipur,2018,28.26,79.18,26.37,26.17,68.33,63.38,42.98
Andhra Pradesh,Vizianagaram,2015,86.56,26.62,58.13,96.41,29.13,69.16,26.57
Punjab,Ferozepur,2020,48.29,26.44,34.84,58.44,84.76,87.92,42.0
Haryana,Rohtak,2018,83.45,45.26,35.86,21.37,99.76,32.71,34.89
Telangana,Medchal-Malkajgiri,2019,84.12,31.78,78.92,63.62,37.37,62.48,43.47
Telangana,Narayanpet,2017,57.9,63.85,92.51,81.1,92.22,77.19,93.07
Rajasthan,Rajsamand,2016,41.6,72.11,25.27,56.84,85.79,68.57,10.23
Assam,Chirang,2015,88.82,18.25,39.09,77.24,61.71,28.07,51.09
Rajasthan,Khairthal-Tijara,2022,90.49,64.76,44.87,60.29,33.75,69.12,54.84
Tamil Nadu,Coimbatore,2020,63.75,34.63,63.2,79.83,92.37,43.33,16.66
Odisha,Ganjam,2024,99.23,54.1,12.75,58.98,73.93,16.84,47.31
Mizoram,Serchhip,2020,23.3,12.63,61.67,88.03,92.98,54.67,17.95
Odisha,Balangir,2019,44.15,97.47,81.89,36.2,27.2,58.62,19.15
Tamil Nadu,Salem,2018,79.86,68.8,77.24,94.36,63.99,59.61,55.77
Bihar,Munger,2022,82.07,71.51,55.26,80.43,66.1,52.33,11.86
Tripura,Khowai,2017,24.05,92.46,11.96,67.22,51.23,43.98,81.6
Bihar,Vaishali,2025,96.63,52.84,93.0,49.43,91.48,82.09,62.7
Uttar Pradesh,Jhansi,2018,81.49,41.54,46.04,57.66,99.56,79.32,25.8
Uttar Pradesh,Ayodhya,2017,84.25,39.52,80.03,37.97,97.8,60.23,36.58
Arunachal Pradesh,Changlang,2016,87.24,44.21,90.15,43.14,13.72,50.31,39.67
Punjab,Kapurthala,2017,89.23,27.3,66.52,63.83,34.95,62.16,40.69
Jharkhand,Simdega,2017,62.91,26.21,78.4,31.3,86.18,91.66,97.43
Arunachal Pradesh,Lower Dibang Valley,2021,97.9,37.05,56.1,45.73,42.58,60.85,92.75
Uttar Pradesh,Hapur,2023,90.62,29.49,73.29,39.29,13.09,28.82,55.9
Chhattisgarh,Durg,2015,44.17,22.04,51.71,36.37,31.18,69.12,28.14
Manipur,Thoubal,2017,45.99,38.56,87.14,27.93,80.52,26.27,54.8
Jharkhand,Sahebganj,2024,32.61,55.44,85.46,54.89,13.21,35.2,19.08
Sikkim,Namchi,2024,33.51,43.74,45.26,82.27,67.26,64.31,32.81
Sikkim,Mangan,2025,10.08,81.88,90.64,22.68,92.33,11.63,19.58
Maharashtra,Gadchiroli,2019,42.12,86.64,18.83,95.72,37.97,54.99,13.42
Punjab,Bathinda,2023,14.82,36.8,88.66,95.54,24.36,34.96,33.95
Uttar Pradesh,Siddharthnagar,2024,53.14,10.65,24.36,27.04,42.83,65.1,89.83
Bihar,Sitamarhi,2024,58.78,47.29,65.68,44.46,85.44,40.74,65.17
Chhattisgarh,Bijapur,2016,37.18,97.0,58.59,71.37,89.78,42.36,36.71
Uttarakhand,Tehri Garhwal,2019,93.02,16.24,11.69,37.2,47.5,96.97,25.34
Madhya Pradesh,Guna,2025,92.08,60.61,31.42,10.82,31.39,46.48,46.36
Arunachal Pradesh,West Kameng,2019,98.77,90.41,11.75,43.77,90.96,29.31,84.54
West Bengal,Howrah,2019,29.3,49.05,98.06,86.92,78.59,76.6,22.51
Odisha,Koraput,2021,79.75,78.58,50.02,84.61,96.61,84.71,53.36
Haryana,Jind,2023,67.36,94.88,50.28,83.04,73.46,73.01,51.68
Nagaland,Zunheboto,2021,39.27,18.93,36.83,92.48,38.11,34.56,89.04
Gujarat,Jamnagar,2017,65.81,17.02,61.14,25.9,74.44,16.69,78.82
Tamil Nadu,Thiruvarur,2025,57.11,19.58,62.7,57.98,65.64,87.08,61.54
Uttar Pradesh,Kushinagar,2018,98.8,57.49,85.12,95.25,21.97,72.55,21.22
Uttar Pradesh,Kannauj,2024,94.3,21.31,71.56,67.91,98.93,38.47,37.11
Himachal Pradesh,Una,2025,68.54,18.77,91.26,95.41,61.67,42.55,18.98
Himachal Pradesh,Mandi,2015,86.09,53.17,90.43,44.86,68.3,29.89,86.09
Himachal Pradesh,Hamirpur,2020,31.77,79.72,54.03,80.09,40.31,52.01,16.76
Karnataka,Vijayanagara,2019,87.83,18.49,91.58,31.2,33.49,19.12,32.16
Chhattisgarh,Mungeli,2025,37.31,76.1,57.1,36.22,12.78,37.29,23.85
Karnataka,Vijayanagara,2023,93.76,91.7,45.36,35.12,40.07,92.99,94.56
Kerala,Alappuzha,2025,15.05,36.08,54.75,34.86,81.22,51.4,68.96
Haryana,Bhiwani,2021,20.45,13.09,98.99,82.16,32.16,23.19,96.65
Rajasthan,Jaipur,2016,29.66,72.25,11.64,98.97,58.25,30.07,64.63
Punjab,Sri Muktsar Sahib,2024,60.7,80.08,46.54,74.84,95.47,34.67,75.96
Maharashtra,Nandurbar,2022,32.16,64.41,46.87,72.18,85.14,22.14,88.13
Bihar,West Champaran,2024,83.27,59.17,81.22,36.33,42.35,64.12,54.85
Tamil Nadu,Ramanathapuram,2017,59.81,70.24,82.13,51.11,11.08,52.68,95.47
Mizoram,Khawzawl,2016,32.17,85.02,88.3,92.93,95.36,52.26,94.6
Uttar Pradesh,Jalaun,2015,97.85,93.59,53.91,78.3,47.48,30.03,85.13
Madhya Pradesh,Jabalpur,2022,45.63,27.12,30.17,95.13,74.31,58.43,46.58
Rajasthan,Bharatpur,2018,98.41,38.94,43.7,17.97,70.67,30.03,89.84
Tamil Nadu,Perambalur,2021,39.96,86.1,85.77,17.16,37.04,21.98,61.87
Chhattisgarh,Sarangarh-Bilaigarh,2019,54.81,26.54,98.06,99.37,46.99,99.73,15.34
Tamil Nadu,Thiruvallur,2025,62.38,95.03,63.94,41.31,39.24,25.57,65.28
Telangana,Rajanna Sircilla,2018,64.56,97.72,54.23,45.11,23.61,11.97,79.27
Bihar,Sitamarhi,2018,32.5,75.6,38.58,62.6,18.85,91.42,93.48
Uttarakhand,Pauri Garhwal,2019,88.94,97.46,79.55,58.8,97.92,59.99,78.78
Punjab,Malerkotla,2023,65.93,16.16,99.95,93.79,67.89,61.39,47.87
Meghalaya,West Garo Hills,2023,60.34,76.8,63.55,59.34,82.58,61.9,95.89
Bihar,Buxar,2016,67.25,49.67,86.67,33.57,92.77,81.4,98.47
Odisha,Mayurbhanj,2017,45.99,53.33,90.53,61.3,11.73,31.43,23.91
Karnataka,Bidar,2018,98.44,29.44,45.18,79.19,96.84,37.33,39.77
Mizoram,Serchhip,2023,21.57,85.22,97.84,29.33,79.28,44.54,19.06
Madhya Pradesh,Sheopur,2016,88.8,85.13,70.33,89.86,66.29,68.43,92.39
Chhattisgarh,Sakti,2016,66.05,92.24,87.81,91.83,76.82,16.73,42.99
Punjab,Rupnagar,2022,46.33,22.25,29.54,89.53,96.65,49.08,44.42
Uttar Pradesh,Bijnor,2025,64.09,54.5,54.69,67.38,71.04,87.12,17.24
Rajasthan,Jalore,2016,10.93,71.38,75.05,30.59,73.12,44.87,23.33
Odisha,Angul,2017,47.49,52.68,85.98,16.94,32.18,48.11,74.33
Odisha,Jajpur,2015,90.88,61.35,93.15,63.2,63.82,42.1,71.42
Madhya Pradesh,Sagar,2018,92.17,52.19,25.31,67.02,99.93,40.44,17.77
Telangana,Jogulamba Gadwal,2018,39.93,42.39,93.68,93.63,71.72,28.79,49.12
Uttarakhand,Champawat,2025,25.06,96.62,50.84,17.91,55.54,10.07,50.87
Chhattisgarh,Dhamtari,2020,40.07,91.32,84.69,38.51,35.97,63.21,18.21
Karnataka,Yadgir,2020,81.83,21.59,85.28,38.49,29.93,45.69,78.92
Punjab,Malerkotla,2016,53.61,70.87,27.03,55.2,17.02,57.26,85.24
Meghalaya,West Jaintia Hills,2024,90.93,67.11,39.39,96.95,20.98,39.35,85.64
Uttarakhand,Champawat,2019,20.61,23.64,25.22,99.58,44.95,35.15,48.24
Gujarat,Ahmedabad,2025,51.99,57.22,84.28,72.42,21.13,48.71,49.51
Uttar Pradesh,Rampur,2025,89.88,87.04,44.51,34.65,62.71,27.28,98.63
Assam,Hailakandi,2016,12.48,19.92,64.95,74.56,27.83,69.81,34.82
Uttar Pradesh,Baghpat,2017,80.25,13.3,56.44,47.66,34.45,78.06,92.18
Tripura,Unakoti,2021,77.08,46.69,31.55,41.61,71.45,69.36,74.85
Karnataka,Mandya,2020,84.98,99.93,87.68,92.46,25.11,28.13,72.11
Rajasthan,Bikaner,2019,21.62,23.89,39.23,86.96,30.08,22.1,16.83
Uttar Pradesh,Ambedkar Nagar,2022,43.34,67.17,82.13,81.93,47.33,19.73,32.35
Haryana,Yamunanagar,2015,20.68,19.39,74.82,52.59,42.79,38.4,56.23
Chhattisgarh,Korba,2024,63.19,43.35,20.05,13.73,57.52,29.86,24.18
Mizoram,Kolasib,2022,58.91,13.53,41.97,58.65,34.67,61.02,74.63
Tamil Nadu,Pudukkottai,2022,37.89,73.49,30.2,46.72,59.14,50.92,90.9
Uttar Pradesh,Ghaziabad,2021,10.37,86.09,17.68,22.37,35.26,81.99,31.12
Uttar Pradesh,Etah,2024,25.26,65.56,65.8,27.51,34.9,10.45,56.91
Karnataka,Kodagu,2015,97.46,83.39,36.51,79.24,98.28,37.14,25.51
Haryana,Rewari,2015,43.83,97.53,70.67,60.93,68.16,55.66,11.06
Uttar Pradesh,Mahoba,2019,67.02,44.63,66.66,86.06,38.51,52.05,61.9
Haryana,Jind,2023,66.69,98.93,21.64,96.6,30.01,78.59,47.89
Punjab,Tarn Taran,2016,52.35,87.27,57.74,80.17,43.19,36.8,61.04
Kerala,Kannur,2020,47.1,17.84,16.53,55.14,12.57,29.65,43.48
Uttar Pradesh,Unnao,2023,18.31,26.11,78.51,69.87,64.27,85.87,51.66
Jharkhand,Sahebganj,2024,24.83,49.68,78.55,45.49,21.46,65.18,92.61
Rajasthan,Deeg,2023,90.97,38.13,11.68,20.42,76.41,38.52,38.29
Madhya Pradesh,Tikamgarh,2019,45.52,26.8,37.58,92.1,92.07,80.65,61.53
Bihar,Banka,2018,79.5,33.99,57.19,28.52,94.51,60.99,30.86
Chhattisgarh,Durg,2018,19.29,44.71,47.54,56.67,64.03,79.07,59.88
Himachal Pradesh,Lahaul & Spiti,2016,43.91,26.92,98.71,97.79,49.0,37.19,70.54
Assam,Baksa,2024,96.59,59.17,40.14,91.36,43.04,75.72,84.05
Tamil Nadu,Ranipet,2015,80.59,94.91,67.64,62.7,52.49,95.82,28.03
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2015,80.48,40.11,11.8,81.74,32.91,44.08,18.65
Andhra Pradesh,Nandyal,2024,39.92,52.78,24.94,91.27,10.42,68.64,10.55
Karnataka,Ballari,2023,99.04,13.12,97.23,78.8,84.03,30.85,75.26
West Bengal,Jalpaiguri,2022,61.07,55.2,56.75,67.01,16.61,98.02,90.28
Bihar,West Champaran,2024,76.92,46.02,19.1,20.43,51.12,17.21,77.98
Odisha,Kendujhar (Keonjhar),2017,95.09,70.47,12.24,13.72,17.33,60.41,83.88
Chhattisgarh,Dantewada,2022,86.16,15.25,84.02,36.4,48.98,86.06,45.15
Tamil Nadu,Chennai,2025,11.17,46.07,73.09,53.12,47.11,55.19,55.9
Kerala,Kottayam,2023,58.72,11.23,41.27,27.3,86.08,39.22,60.04
Telangana,Nirmal,2020,27.52,58.41,13.21,66.89,19.21,26.62,66.88
Kerala,Palakkad,2023,63.35,94.8,21.94,25.27,67.03,18.07,98.99
Tamil Nadu,Thiruvarur,2016,79.43,79.26,93.23,96.87,98.99,80.78,55.19
Telangana,Komaram Bheem Asifabad,2024,51.47,62.86,87.77,64.39,94.87,24.93,45.14
Tripura,Unakoti,2024,79.43,39.62,61.91,33.05,18.02,39.35,57.09
Haryana,Karnal,2018,91.38,99.66,33.61,61.1,37.15,23.48,76.87
Meghalaya,West Khasi Hills,2016,91.79,34.42,87.81,25.53,67.65,77.04,51.86
Tripura,North Tripura,2020,73.76,62.92,96.57,40.83,70.45,48.88,52.73
Haryana,Faridabad,2021,41.69,79.02,14.24,74.18,52.93,99.47,32.55
Tamil Nadu,Sivaganga,2022,30.64,37.93,24.93,75.18,67.67,75.48,73.43
Haryana,Fatehabad,2025,10.87,64.71,58.06,70.44,59.56,15.58,14.8
Uttar Pradesh,Sambhal,2022,78.87,32.26,91.86,52.06,36.55,69.75,19.29
Uttarakhand,Almora,2018,76.09,14.37,41.93,62.4,80.25,85.82,13.33
Rajasthan,Sirohi,2022,88.1,39.7,75.37,14.63,16.54,37.04,30.66
Maharashtra,Latur,2023,79.86,26.72,72.96,85.68,23.22,76.88,30.79
Uttar Pradesh,Kaushambi,2021,55.41,30.6,41.35,56.9,73.59,21.28,88.28
Mizoram,Hnahthial,2016,22.15,13.18,91.57,70.14,20.19,18.09,35.9
Rajasthan,Kota,2018,84.47,46.32,42.04,82.76,47.41,35.29,28.88
Uttar Pradesh,Shamli,2016,88.37,45.99,96.4,32.46,15.58,12.52,35.85
Telangana,Nirmal,2020,45.19,50.92,45.63,25.07,32.34,23.25,45.67
Rajasthan,Jodhpur,2016,37.65,40.1,60.73,79.49,75.87,41.44,79.74
Uttar Pradesh,Pilibhit,2020,45.7,16.18,19.99,46.28,83.96,23.04,94.99
Odisha,Khordha,2015,41.7,67.7,15.9,45.08,21.82,88.24,82.45
Punjab,Malerkotla,2017,88.48,88.37,43.33,84.91,53.98,89.83,40.28
Rajasthan,Balotra,2024,14.03,18.7,64.34,17.38,76.41,28.27,45.66
West Bengal,Darjeeling,2015,64.74,55.58,15.77,95.72,41.52,15.58,10.91
Tamil Nadu,Cuddalore,2024,84.56,90.73,85.2,11.93,50.1,83.57,89.84
Gujarat,Junagadh,2024,13.28,34.66,24.86,85.76,84.92,49.84,88.85
Tamil Nadu,Thoothukudi,2017,88.46,34.15,71.81,42.19,76.21,56.33,25.75
West Bengal,Purba Medinipur,2020,14.22,97.06,94.43,24.07,64.71,59.99,71.31
Punjab,Faridkot,2020,95.61,61.85,22.19,93.51,32.3,92.29,69.14
Mizoram,Hnahthial,2016,44.88,42.33,89.75,30.53,62.93,92.09,29.63
Haryana,Faridabad,2024,43.44,89.35,45.04,87.61,95.02,16.71,80.17
Himachal Pradesh,Bilaspur,2015,27.08,49.98,49.48,29.68,74.7,68.57,52.18
Chhattisgarh,Narayanpur,2021,69.81,60.88,67.26,92.34,84.68,70.68,67.47
Bihar,Patna,2025,61.85,94.47,82.16,94.48,51.21,21.91,19.33
Uttarakhand,Haridwar,2017,24.29,81.55,16.58,32.23,16.78,67.09,27.05
Punjab,Fatehgarh Sahib,2022,48.69,62.78,36.21,70.11,34.47,96.02,29.7
