state,district,year,factories,industrial_output,manufacturing_index,employment_rate,electricity_usage,export_value,industrial_growth
Andhra Pradesh,Kurnool,2024,26.04,41.99,49.13,86.51,39.52,67.26,45.32
Madhya Pradesh,Katni,2023,79.99,71.53,42.74,72.29,12.5,30.51,36.88
Himachal Pradesh,Kullu,2021,73.93,36.65,96.59,40.18,25.9,63.26,82.31
Madhya Pradesh,Shajapur,2021,59.33,35.56,75.22,11.36,24.21,73.51,31.6
Punjab,Ferozepur,2025,83.22,42.85,47.05,12.14,66.86,72.93,92.4
Telangana,Hyderabad,2025,30.82,89.55,75.79,96.35,94.72,24.18,49.55
Odisha,Nayagarh,2017,36.54,67.59,89.01,52.92,75.38,74.48,98.99
Madhya Pradesh,Khargone,2015,54.11,88.88,66.6,45.27,58.41,83.48,21.6
Maharashtra,Jalgaon,2019,75.5,30.99,50.69,30.69,84.42,58.3,60.95
West Bengal,Kalimpong,2023,56.62,30.1,52.32,10.16,22.27,42.78,10.98
Uttarakhand,Pauri Garhwal,2018,74.95,80.71,96.21,86.9,56.48,15.43,68.18
Maharashtra,Pune,2022,35.58,84.56,60.06,67.05,25.28,91.98,77.72
Bihar,Buxar,2015,44.46,89.23,24.27,10.18,81.79,67.19,80.9
Rajasthan,Sawai Madhopur,2022,52.34,47.53,89.88,81.06,80.2,76.22,80.36
Uttar Pradesh,Varanasi,2025,48.35,69.11,68.5,96.68,61.05,70.44,41.8
Chhattisgarh,Bijapur,2016,80.56,37.85,11.09,14.53,25.76,64.5,96.26
Uttarakhand,Pauri Garhwal,2020,60.87,45.77,21.44,50.4,53.12,93.83,64.68
Maharashtra,Mumbai City,2015,24.18,53.86,83.52,71.05,76.73,69.8,65.62
Uttar Pradesh,Lakhimpur Kheri,2022,54.64,67.48,98.34,84.44,76.34,89.04,77.61
Arunachal Pradesh,Dibang Valley,2019,44.58,97.93,33.18,48.43,90.9,87.37,44.1
West Bengal,Hooghly,2017,94.02,82.49,37.91,86.68,43.69,85.83,47.99
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,56.97,41.25,19.3,15.92,22.43,25.61,13.7
Assam,Jorhat,2022,58.38,87.53,47.95,97.9,68.39,57.24,72.61
Arunachal Pradesh,Papum Pare,2016,63.26,99.24,58.65,40.95,79.37,11.16,12.87
Bihar,Madhepura,2018,76.15,28.17,39.42,52.93,15.34,48.37,43.97
Uttar Pradesh,Ambedkar Nagar,2015,26.99,58.62,14.38,77.84,59.72,13.07,49.16
Rajasthan,Dungarpur,2021,93.59,85.97,75.61,62.8,78.87,12.76,12.86
Uttar Pradesh,Farrukhabad,2016,96.83,58.61,37.47,87.66,72.15,40.58,12.28
Tamil Nadu,Mayiladuthurai,2019,23.67,38.09,68.41,36.2,85.69,42.55,35.67
Jharkhand,Bokaro,2023,99.44,79.49,63.24,44.96,31.92,53.24,48.6
Telangana,Mahabubabad,2017,42.47,53.01,68.37,38.57,25.64,44.61,31.29
Rajasthan,Dungarpur,2025,28.47,29.42,33.7,69.29,18.11,79.74,40.82
Uttar Pradesh,Kasganj,2023,56.42,50.44,42.82,78.01,30.73,53.88,39.13
Sikkim,Gyalshing,2015,92.43,42.57,12.65,60.16,45.87,97.96,70.81
Nagaland,Dimapur,2021,10.42,51.96,70.37,33.57,15.45,28.25,38.59
Chhattisgarh,Rajnandgaon,2017,22.17,82.03,53.21,66.48,41.87,35.79,32.63
Madhya Pradesh,Panna,2017,48.29,46.63,70.43,62.87,27.58,90.4,90.57
Jharkhand,Giridih,2015,67.0,24.3,77.96,94.82,60.41,15.86,35.0
Uttarakhand,Tehri Garhwal,2018,21.53,41.99,49.25,76.07,87.3,22.34,15.68
Nagaland,Peren,2015,77.66,16.8,91.03,39.48,67.28,48.11,15.43
Karnataka,Udupi,2015,76.66,20.24,72.77,19.57,33.91,13.94,31.54
Rajasthan,Deeg,2024,84.84,97.72,73.41,32.02,62.54,11.0,37.08
Uttar Pradesh,Sitapur,2019,26.38,61.16,69.29,19.32,96.54,87.25,72.93
Madhya Pradesh,Tikamgarh,2025,52.64,69.06,68.67,75.12,53.06,11.74,21.32
Jharkhand,Khunti,2023,43.31,53.54,75.26,67.34,64.36,40.97,35.22
Tamil Nadu,Tiruvannamalai,2021,74.54,95.31,23.28,32.0,62.37,56.8,78.54
Chhattisgarh,Korea,2024,84.27,97.26,20.96,60.91,28.42,98.61,20.21
Maharashtra,Mumbai City,2023,47.39,81.02,17.46,48.63,91.53,71.44,77.81
Gujarat,Dahod,2015,22.74,63.74,72.28,47.44,44.78,48.94,99.86
Uttar Pradesh,Lalitpur,2017,11.39,15.03,25.26,90.0,74.99,68.76,72.94
Mizoram,Khawzawl,2021,90.89,85.1,60.34,48.67,62.86,56.87,95.6
Arunachal Pradesh,Lohit,2021,35.77,36.96,67.93,21.56,36.2,66.01,84.85
Arunachal Pradesh,Lower Dibang Valley,2023,98.7,41.11,85.57,19.4,34.88,20.48,97.45
Nagaland,Mokokchung,2015,38.75,70.36,34.39,45.79,84.83,98.52,83.39
Assam,Morigaon,2015,34.44,56.59,84.58,94.96,55.74,63.9,88.05
Odisha,Nabarangpur,2018,62.81,82.72,20.29,69.56,16.26,66.24,62.01
Assam,Dhemaji,2017,37.79,86.54,38.55,75.7,43.53,89.46,94.71
Tamil Nadu,Karur,2023,95.39,42.03,90.4,78.57,32.74,58.6,95.23
Haryana,Nuh,2023,98.1,61.79,33.27,78.54,43.22,11.13,90.65
Madhya Pradesh,Ashoknagar,2017,72.8,95.17,59.18,99.19,85.79,77.6,10.58
Manipur,Imphal West,2016,86.93,65.92,46.57,84.82,91.97,51.91,16.92
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,98.03,86.01,19.45,63.68,57.34,46.8,99.68
Madhya Pradesh,Shivpuri,2019,32.47,10.49,29.3,23.87,33.99,39.67,10.28
Madhya Pradesh,Jabalpur,2020,46.98,23.57,27.81,37.28,45.26,87.61,28.87
Tamil Nadu,Karur,2022,62.49,17.26,33.31,12.39,75.1,21.46,55.63
Gujarat,Panchmahal,2016,41.52,85.08,47.34,65.48,11.7,71.28,18.28
Chhattisgarh,Mahasamund,2025,53.63,95.42,82.56,38.26,83.72,66.42,59.33
Uttarakhand,Chamoli,2016,15.5,91.08,30.57,76.6,44.37,71.04,12.75
Tamil Nadu,Ranipet,2019,67.31,85.16,54.06,41.61,48.83,17.49,74.09
Chhattisgarh,Durg,2016,62.84,23.29,29.12,56.23,24.73,49.37,11.22
Madhya Pradesh,Neemuch,2025,34.88,43.43,81.52,85.56,73.97,18.86,98.0
Mizoram,Champhai,2016,67.42,76.12,53.37,13.02,73.22,87.5,20.9
Manipur,Imphal East,2024,58.81,30.73,65.69,57.51,15.97,57.27,17.01
Chhattisgarh,Gariaband,2017,57.65,97.73,45.47,60.55,27.74,25.94,14.81
Bihar,Nalanda,2024,38.2,59.51,49.81,88.67,68.68,37.04,19.71
Tamil Nadu,Nilgiris,2022,17.33,98.96,11.87,30.16,13.11,55.12,16.56
Arunachal Pradesh,Pakke-Kessang,2023,74.76,15.0,84.84,32.48,88.63,86.78,17.38
Karnataka,Mandya,2023,80.47,19.42,48.99,85.96,35.12,64.06,86.23
Nagaland,Dimapur,2016,90.15,30.99,61.83,61.72,22.58,99.78,60.26
Tamil Nadu,Tirupathur,2025,45.39,56.26,23.87,25.57,65.67,48.97,32.25
Chhattisgarh,Rajnandgaon,2022,18.62,23.66,46.49,57.1,72.19,60.87,77.44
Odisha,Nabarangpur,2022,95.38,28.48,68.18,57.89,40.64,12.79,26.12
Gujarat,Dang,2017,82.82,58.09,84.71,67.68,94.74,29.71,14.16
Chhattisgarh,Mungeli,2020,22.8,10.97,49.03,56.57,73.64,37.46,21.82
Nagaland,Mokokchung,2023,56.94,87.67,40.91,62.69,45.27,49.05,67.53
Andhra Pradesh,Parvathipuram Manyam,2017,18.88,81.21,78.15,31.34,92.23,34.1,58.02
Tamil Nadu,Sivaganga,2017,56.63,16.88,25.43,40.1,45.09,23.2,57.8
Manipur,Churachandpur,2019,51.31,68.15,76.57,43.06,17.25,13.01,57.66
Madhya Pradesh,Maihar,2017,51.79,80.7,99.65,25.47,96.63,97.36,47.74
Uttar Pradesh,Firozabad,2015,72.74,65.19,60.35,86.67,82.47,51.38,67.93
Uttar Pradesh,Pratapgarh,2018,86.91,80.63,40.86,48.06,50.15,58.1,40.95
Rajasthan,Banswara,2024,70.28,92.75,91.25,13.4,77.79,69.26,83.25
Assam,Nalbari,2021,84.44,52.29,89.61,74.98,82.38,32.32,97.2
Punjab,Sangrur,2022,45.29,32.69,68.2,81.2,40.0,68.66,74.27
Assam,Dhubri,2018,77.82,88.52,52.8,59.28,89.89,62.65,50.36
Jharkhand,Giridih,2018,12.45,55.19,60.32,21.11,55.16,18.79,10.72
Rajasthan,Balotra,2020,71.59,25.48,14.13,98.95,81.42,86.03,22.87
Tamil Nadu,Chengalpattu,2019,99.21,20.97,64.18,43.12,48.03,81.07,33.06
Punjab,Mansa,2018,25.23,88.06,50.46,11.94,23.5,51.26,77.49
Jharkhand,Ranchi,2016,99.57,70.51,48.77,63.31,55.34,21.71,84.6
Madhya Pradesh,Shivpuri,2015,84.12,32.11,35.89,20.04,52.65,31.74,44.47
Bihar,Madhepura,2020,27.44,96.7,66.2,86.58,71.75,62.87,82.55
Uttar Pradesh,Aligarh,2022,61.51,19.14,91.83,34.6,82.95,13.84,85.43
Odisha,Kalahandi,2021,34.92,36.35,97.35,28.07,44.85,44.27,20.51
West Bengal,South 24 Parganas,2021,64.29,81.3,74.31,82.95,17.14,36.09,31.46
Maharashtra,Ahmednagar,2016,22.51,99.85,71.67,15.98,94.08,54.49,68.49
Assam,Cachar,2023,66.33,71.0,34.05,98.62,22.86,58.02,85.13
Meghalaya,Ri Bhoi,2021,51.48,94.14,84.79,27.43,45.95,78.37,73.94
Arunachal Pradesh,Lower Subansiri,2025,28.7,95.79,12.24,49.55,92.55,55.31,69.26
Jharkhand,Dhanbad,2018,97.87,59.84,41.55,62.85,56.66,68.8,67.52
Rajasthan,Chittorgarh,2025,69.78,44.95,61.47,85.59,73.14,90.06,23.4
Goa,South Goa,2021,53.49,92.43,22.27,17.5,54.32,90.67,43.05
Assam,Goalpara,2025,63.88,13.81,97.89,55.01,46.55,62.2,26.35
Chhattisgarh,Baloda Bazar,2015,48.35,72.46,74.67,81.16,91.97,87.27,52.28
Gujarat,Sabarkantha,2018,34.76,41.86,91.63,93.51,56.28,36.89,45.46
Karnataka,Uttara Kannada,2024,73.81,47.21,32.02,94.57,39.75,41.91,41.24
Telangana,Nizamabad,2025,14.85,79.16,57.66,92.83,71.73,31.7,23.62
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,41.44,77.19,96.35,37.66,36.86,38.13,20.26
Goa,North Goa,2020,21.28,72.3,12.27,47.01,58.06,56.33,90.18
Karnataka,Bidar,2022,76.96,72.95,67.53,64.42,23.78,62.84,60.31
Karnataka,Tumakuru,2023,21.97,12.57,66.3,71.4,34.33,74.04,34.84
Haryana,Sirsa,2024,46.29,96.65,15.04,60.07,28.55,52.27,10.76
Bihar,Rohtas,2022,27.7,62.69,65.48,25.67,57.66,72.79,92.24
Bihar,Purnia,2022,85.32,81.66,45.47,83.37,96.06,34.15,38.56
Kerala,Idukki,2019,83.72,33.66,79.53,90.35,41.94,10.03,72.34
Chhattisgarh,Jashpur,2018,20.56,22.29,86.08,29.19,41.9,61.28,81.9
Karnataka,Chikkaballapur,2017,63.42,41.61,34.53,10.69,38.87,50.88,40.06
Karnataka,Ramanagara,2015,70.19,95.74,97.91,87.88,75.0,50.56,10.85
Gujarat,Mahisagar,2016,73.81,54.69,93.45,72.44,16.97,52.97,66.81
Rajasthan,Barmer,2025,75.33,74.8,53.36,20.65,85.26,66.32,99.82
Madhya Pradesh,Ratlam,2023,73.55,80.99,49.73,62.26,49.52,80.19,19.62
Rajasthan,Jhalawar,2023,95.45,57.46,72.61,68.89,12.51,76.8,48.76
Maharashtra,Bhandara,2022,18.74,97.05,65.68,79.22,97.93,34.92,35.34
Assam,Morigaon,2016,88.55,48.78,35.69,63.81,47.03,63.24,55.14
Madhya Pradesh,Balaghat,2021,36.63,24.08,16.25,46.1,75.22,55.26,99.25
Maharashtra,Satara,2019,13.08,96.06,46.4,94.06,64.39,30.29,81.65
West Bengal,Howrah,2023,81.37,60.24,62.5,71.42,80.9,58.85,68.08
Punjab,Patiala,2015,28.32,82.75,53.17,44.92,11.29,57.43,54.55
Karnataka,Dharwad,2016,20.52,64.69,16.85,33.97,43.51,87.11,62.26
Telangana,Khammam,2025,91.95,52.96,73.08,18.71,74.5,46.18,36.67
Jharkhand,Dumka,2024,95.4,73.39,25.47,53.28,23.5,91.6,72.23
Rajasthan,Karauli,2025,95.42,32.03,50.2,20.16,94.68,65.54,59.85
Madhya Pradesh,Narsinghpur,2018,34.58,35.16,88.55,13.13,45.46,90.25,67.17
Assam,Kokrajhar,2016,11.3,13.86,70.74,85.65,18.64,96.55,32.97
Gujarat,Bhavnagar,2022,60.8,39.77,53.35,46.17,64.41,70.78,16.0
Uttar Pradesh,Mirzapur,2017,61.86,89.89,90.84,46.59,26.42,49.16,34.03
Haryana,Hisar,2019,83.62,78.65,11.93,48.96,72.35,46.36,38.22
Bihar,Saran,2024,71.73,54.59,42.33,25.9,69.78,19.2,96.61
Telangana,Nizamabad,2018,62.16,70.27,63.62,37.54,57.03,68.05,52.01
Madhya Pradesh,Burhanpur,2025,30.11,38.1,85.04,28.87,72.33,91.32,31.38
Assam,Cachar,2015,31.16,92.03,66.76,70.93,88.08,97.44,73.27
Tamil Nadu,Virudhunagar,2015,11.62,27.37,85.06,67.75,86.52,78.93,12.3
Andhra Pradesh,Sri Sathya Sai,2024,46.64,99.22,73.7,39.51,35.28,56.64,58.61
Tamil Nadu,Chennai,2021,77.16,80.11,90.72,45.09,83.6,99.76,34.75
Rajasthan,Nagaur,2022,36.83,61.1,99.68,51.64,39.37,91.37,11.23
Gujarat,Bharuch,2019,42.39,39.21,53.85,97.57,73.17,78.64,41.76
Uttar Pradesh,Shravasti,2025,23.84,79.18,10.24,24.77,12.29,35.58,35.15
Chhattisgarh,Gaurela-Pendra-Marwahi,2016,20.03,16.69,87.63,39.14,69.21,24.43,11.7
Andhra Pradesh,Parvathipuram Manyam,2022,99.1,74.16,38.3,81.62,74.47,15.46,53.82
Maharashtra,Dhule,2019,54.37,62.64,39.06,93.78,22.38,15.59,67.15
Jharkhand,Chatra,2023,69.55,42.67,43.8,13.82,91.79,95.25,38.47
Uttar Pradesh,Sonbhadra,2015,27.55,58.96,92.05,63.92,27.9,43.45,16.94
Odisha,Kendujhar (Keonjhar),2018,13.06,89.51,34.84,78.35,99.09,93.95,10.83
Maharashtra,Ahmednagar,2018,51.67,87.41,20.55,16.83,42.72,91.63,61.54
Nagaland,Chümoukedima,2016,74.6,35.86,13.11,50.39,46.57,52.76,23.66
Uttarakhand,Chamoli,2017,11.02,33.82,87.0,19.39,89.89,42.42,47.03
Karnataka,Tumakuru,2024,64.78,13.75,31.14,76.91,90.1,98.12,59.48
Tamil Nadu,Ariyalur,2018,86.48,11.34,95.74,96.5,53.16,89.62,88.22
Odisha,Kalahandi,2021,41.82,98.34,87.8,60.47,50.48,21.1,93.2
Bihar,Jehanabad,2016,78.23,60.72,19.54,57.17,52.93,21.67,71.37
Mizoram,Mamit,2023,25.33,94.66,28.4,90.02,86.3,32.45,87.02
Rajasthan,Rajsamand,2016,53.83,98.61,79.09,94.01,56.42,25.8,78.92
Odisha,Malkangiri,2021,77.1,34.37,93.94,56.08,92.78,21.93,82.76
Odisha,Kendrapara,2016,16.13,35.05,92.15,54.37,33.93,86.43,30.5
Uttar Pradesh,Ballia,2020,87.54,85.78,24.34,72.68,55.03,57.57,41.48
Rajasthan,Udaipur,2023,93.45,53.52,58.09,90.69,68.82,82.41,80.81
Andhra Pradesh,Anantapur,2019,59.69,45.39,81.37,10.26,39.42,86.17,45.89
Punjab,Amritsar,2022,62.4,30.73,83.47,81.44,72.2,22.78,55.68
Uttar Pradesh,Lalitpur,2022,12.61,98.11,12.27,39.43,10.55,75.63,88.0
Meghalaya,West Khasi Hills,2019,16.6,79.95,24.95,46.27,88.82,46.01,61.5
Madhya Pradesh,Panna,2019,81.05,29.71,60.76,55.83,15.99,21.61,84.78
Haryana,Yamunanagar,2015,88.52,93.69,43.47,28.39,48.17,60.94,63.21
Uttar Pradesh,Lakhimpur Kheri,2020,62.34,63.51,38.48,90.01,41.7,88.7,69.91
Jharkhand,Chatra,2025,28.1,36.57,12.57,82.93,86.27,28.82,63.66
Bihar,Sheohar,2023,21.1,11.58,60.04,82.81,59.59,44.78,53.62
Tripura,Dhalai,2018,19.59,52.6,33.76,21.32,11.17,73.53,18.4
Rajasthan,Jalore,2018,50.85,35.25,79.43,89.86,86.09,75.96,93.17
Madhya Pradesh,Katni,2017,17.9,99.51,64.77,77.1,16.12,72.84,13.8
Jharkhand,Khunti,2015,82.07,21.96,95.44,65.11,15.31,71.01,25.86
Tamil Nadu,Kallakurichi,2017,25.79,50.59,92.47,34.64,12.29,74.78,62.84
Uttar Pradesh,Etawah,2025,94.21,28.36,27.45,54.18,71.04,33.71,84.94
Bihar,Sheikhpura,2022,48.59,36.3,19.3,51.73,22.89,66.72,36.31
Punjab,Amritsar,2020,25.67,15.28,86.47,10.57,26.32,77.31,34.4
Punjab,Pathankot,2016,30.28,62.94,97.29,68.77,79.99,90.66,75.73
Arunachal Pradesh,West Siang,2021,48.34,32.72,34.75,39.0,15.5,22.31,70.57
Arunachal Pradesh,West Siang,2016,65.57,37.82,84.82,58.04,56.46,42.68,51.73
Uttar Pradesh,Shravasti,2016,72.05,42.75,55.12,32.43,46.51,43.63,22.11
Gujarat,Dahod,2018,68.33,32.3,74.43,61.29,89.54,67.79,51.73
Maharashtra,Nashik,2018,28.77,29.65,36.97,90.9,51.96,54.7,78.53
Tamil Nadu,Namakkal,2018,62.69,61.9,32.33,89.99,86.99,48.28,29.21
Tripura,South Tripura,2015,93.51,14.92,78.24,81.9,22.41,90.99,30.07
Nagaland,Tuensang,2018,11.87,41.62,91.52,79.45,74.85,48.44,76.05
Nagaland,Wokha,2017,73.71,95.54,20.32,30.27,57.87,55.88,30.67
Madhya Pradesh,Khargone,2019,74.9,36.08,99.26,88.19,45.97,25.17,41.22
Punjab,Kapurthala,2019,67.63,99.71,91.19,65.07,18.21,16.26,39.67
Rajasthan,Tonk,2019,50.23,28.68,75.56,37.7,70.5,10.66,34.01
Uttar Pradesh,Barabanki,2019,34.2,77.88,75.93,82.36,23.04,99.77,50.02
Arunachal Pradesh,Papum Pare,2024,97.73,32.02,26.7,56.4,95.74,81.25,78.39
Uttar Pradesh,Gonda,2016,45.76,39.92,76.07,21.18,52.19,88.49,32.74
Bihar,Bhagalpur,2023,12.6,51.2,17.62,72.52,30.48,73.4,13.59
Maharashtra,Parbhani,2018,57.19,66.68,89.28,15.82,90.4,96.86,91.49
Tamil Nadu,Tiruchirappalli,2022,41.61,49.98,56.57,75.69,83.64,56.31,11.67
Bihar,West Champaran,2017,99.4,26.87,30.95,78.81,40.86,86.86,55.57
Gujarat,Tapi,2018,71.02,80.25,67.25,16.12,43.29,16.48,14.62
Haryana,Jhajjar,2017,52.01,89.64,26.31,60.62,88.95,18.5,73.54
Uttar Pradesh,Hathras,2021,21.08,74.61,86.21,38.88,77.34,60.53,66.86
Telangana,Mahabubabad,2019,28.96,46.66,65.1,65.36,23.8,10.59,52.84
Himachal Pradesh,Shimla,2015,64.92,13.94,28.5,36.08,21.06,12.03,62.89
Andhra Pradesh,Parvathipuram Manyam,2016,27.93,11.93,28.78,31.57,67.23,60.01,56.41
Rajasthan,Pratapgarh,2023,62.82,81.78,29.61,26.43,12.21,25.53,88.69
Chhattisgarh,Korea,2023,62.72,32.83,66.98,85.01,94.76,26.74,74.41
Odisha,Balasore,2020,56.65,31.14,74.99,79.96,92.8,55.82,68.75
Uttar Pradesh,Auraiya,2025,17.79,69.65,22.78,63.95,53.63,26.3,91.57
Karnataka,Kalaburagi,2017,62.35,21.45,63.32,48.01,90.94,52.28,62.04
Uttar Pradesh,Bahraich,2024,79.7,50.48,56.9,25.96,45.15,10.35,70.65
Madhya Pradesh,Burhanpur,2016,74.99,47.31,20.33,93.39,39.22,14.47,81.76
Madhya Pradesh,Guna,2015,61.79,65.38,94.62,45.71,14.04,97.65,45.86
Meghalaya,West Khasi Hills,2016,80.04,69.64,33.68,85.25,56.96,93.61,39.59
Madhya Pradesh,Barwani,2021,99.6,67.66,73.39,31.21,13.94,29.64,20.72
Maharashtra,Jalgaon,2021,56.45,50.55,96.35,23.48,67.71,12.85,78.03
Odisha,Gajapati,2023,81.09,75.11,74.25,52.69,68.18,27.07,46.62
Meghalaya,North Garo Hills,2019,36.17,37.66,11.87,54.11,10.45,79.54,13.33
Telangana,Wanaparthy,2020,74.98,29.69,32.92,93.44,32.1,58.3,51.06
Maharashtra,Solapur,2018,82.06,16.9,13.48,14.86,50.69,60.54,19.84
Uttar Pradesh,Jalaun,2016,18.51,44.61,17.96,85.97,84.06,78.96,51.07
Tamil Nadu,Nagapattinam,2024,55.88,50.15,66.51,29.36,57.17,39.97,15.57
Arunachal Pradesh,Dibang Valley,2021,20.43,10.07,84.18,54.38,66.55,11.7,94.29
Assam,Darrang,2015,75.16,46.02,74.87,33.58,82.6,87.73,61.0
Uttar Pradesh,Gorakhpur,2025,38.36,80.55,90.81,22.53,22.43,89.48,37.33
Rajasthan,Pali,2019,94.04,13.34,82.24,31.6,35.61,66.8,43.3
Karnataka,Vijayanagara,2024,77.85,94.56,87.13,89.91,78.19,26.01,63.19
Tamil Nadu,Kanchipuram,2024,30.2,77.72,26.16,60.65,83.81,10.6,31.38
Kerala,Kannur,2020,35.87,30.17,64.06,40.7,54.71,85.41,11.97
Karnataka,Haveri,2024,95.76,71.59,66.62,29.48,60.21,18.08,58.61
Chhattisgarh,Dantewada,2022,51.35,19.48,72.0,51.98,98.12,46.3,70.41
West Bengal,Kolkata,2020,66.83,30.42,71.52,29.15,61.2,61.62,36.45
Uttar Pradesh,Hathras,2019,26.54,32.81,85.46,64.19,64.97,71.85,81.39
Telangana,Ranga Reddy,2021,46.66,23.88,29.73,32.02,40.78,58.02,73.32
Jharkhand,Pakur,2019,92.17,68.01,75.42,67.54,40.18,36.43,13.32
Jharkhand,Ramgarh,2025,58.47,42.46,80.78,27.31,76.58,84.75,46.26
Mizoram,Lawngtlai,2019,96.85,33.75,13.35,15.06,41.16,85.38,53.15
West Bengal,Darjeeling,2023,79.92,91.59,78.61,17.08,76.62,12.66,64.55
Tamil Nadu,Thoothukudi,2020,52.75,82.45,63.77,43.36,16.84,94.83,59.66
Bihar,East Champaran,2024,60.59,99.26,55.52,94.67,28.22,54.28,27.42
Bihar,Sitamarhi,2024,12.95,70.22,21.83,31.38,56.1,23.24,29.27
Sikkim,Pakyong,2021,36.21,38.22,44.75,46.34,92.97,79.54,98.11
Tamil Nadu,Nagapattinam,2022,99.81,62.18,26.34,79.28,43.9,21.2,56.77
Gujarat,Gandhinagar,2025,46.92,37.37,97.24,85.73,39.95,83.63,19.7
Karnataka,Mandya,2016,33.0,96.4,21.59,85.38,15.71,54.76,64.59
West Bengal,Kalimpong,2025,58.62,60.33,85.85,89.32,65.19,47.73,61.86
Telangana,Yadadri Bhuvanagiri,2019,68.07,35.38,67.4,45.21,73.38,87.68,29.48
Uttar Pradesh,Kushinagar,2019,53.16,41.92,10.38,33.58,26.52,58.93,91.94
Uttarakhand,Uttarkashi,2018,64.23,39.62,56.22,60.19,91.6,17.24,66.28
Rajasthan,Ajmer,2016,58.1,88.34,25.77,83.56,69.54,46.46,46.6
Maharashtra,Satara,2017,94.42,81.82,62.25,22.17,82.65,67.69,63.44
Andhra Pradesh,NTR,2020,99.71,30.59,70.55,89.71,50.97,72.7,17.95
Arunachal Pradesh,Dibang Valley,2018,11.48,36.45,53.33,95.59,78.43,12.39,17.04
Haryana,Faridabad,2020,99.2,80.11,71.16,88.15,17.74,93.67,31.8
West Bengal,North 24 Parganas,2023,23.53,87.27,66.97,74.25,65.46,99.95,41.5
Tamil Nadu,Namakkal,2018,12.95,63.37,17.19,68.72,88.05,68.47,96.7
Maharashtra,Beed,2023,85.41,78.49,67.87,97.04,40.6,56.83,18.69
Nagaland,Mokokchung,2020,12.07,96.17,54.65,86.16,28.87,27.58,31.8
West Bengal,Alipurduar,2024,38.37,44.33,86.69,55.62,15.89,33.38,92.13
Assam,Jorhat,2017,65.9,55.11,98.53,27.26,27.78,95.54,37.29
Uttar Pradesh,Shravasti,2025,13.16,73.54,98.52,13.55,89.68,33.51,92.54
Odisha,Mayurbhanj,2023,31.23,22.33,16.89,61.96,79.56,63.54,99.46
West Bengal,South 24 Parganas,2024,87.69,73.62,66.05,70.76,28.09,57.75,88.49
Uttarakhand,Udham Singh Nagar,2021,76.36,16.57,78.99,46.74,35.52,72.31,13.82
Karnataka,Yadgir,2021,47.02,64.38,98.49,69.16,36.78,45.46,63.35
Maharashtra,Kolhapur,2017,44.82,79.44,60.76,94.4,27.68,56.63,82.36
Uttar Pradesh,Deoria,2024,87.92,70.68,44.63,60.55,41.36,18.72,95.89
Rajasthan,Rajsamand,2017,67.6,58.01,72.09,85.67,80.87,65.22,65.11
Himachal Pradesh,Kinnaur,2021,32.04,82.61,51.6,73.51,68.28,94.81,80.26
Haryana,Faridabad,2018,93.69,63.55,37.62,40.06,59.49,97.11,39.8
West Bengal,Howrah,2020,10.81,56.33,11.24,80.1,45.41,44.28,40.73
Telangana,Komaram Bheem Asifabad,2018,62.88,73.69,69.18,73.95,96.82,50.21,15.09
Uttar Pradesh,Fatehpur,2016,43.96,17.59,73.95,72.97,26.76,54.26,91.1
Chhattisgarh,Surajpur,2024,18.19,53.39,66.85,75.93,84.76,91.54,33.4
Punjab,Amritsar,2024,70.63,77.25,81.5,63.37,83.05,94.54,49.9
Odisha,Jharsuguda,2019,41.68,65.94,51.06,19.66,20.6,24.38,76.57
Karnataka,Belagavi,2018,19.92,28.23,70.89,46.17,84.95,57.76,46.69
Telangana,Mahabubnagar,2018,75.98,28.17,91.89,16.19,65.54,15.08,56.06
Manipur,Ukhrul,2020,31.61,26.12,62.23,59.77,46.37,72.65,62.42
Karnataka,Bidar,2015,70.84,98.59,42.88,23.88,96.32,28.8,13.86
Karnataka,Tumakuru,2016,70.29,36.17,29.33,17.01,22.49,22.88,24.37
Bihar,Vaishali,2016,71.27,92.56,86.53,91.16,66.98,20.26,49.3
Chhattisgarh,Janjgir-Champa,2015,60.19,67.56,97.49,99.26,84.14,37.33,71.75
Andhra Pradesh,West Godavari,2018,89.34,87.18,63.12,35.31,81.13,83.38,98.93
Haryana,Fatehabad,2019,83.74,36.24,31.07,16.03,62.23,86.87,12.34
Gujarat,Morbi,2017,16.97,46.6,38.18,76.64,11.37,55.26,32.21
Haryana,Nuh,2016,85.07,57.39,54.8,23.54,24.44,82.14,15.2
Karnataka,Belagavi,2016,43.08,78.97,52.76,75.83,49.78,30.11,10.25
Assam,Cachar,2025,43.86,84.4,10.09,18.16,89.69,34.49,17.64
Nagaland,Tseminyu,2022,23.17,28.79,21.65,29.06,77.62,55.73,49.04
West Bengal,Dakshin Dinajpur,2024,52.69,90.62,83.82,34.22,70.57,23.92,73.18
Madhya Pradesh,Khandwa,2025,45.56,86.05,76.17,69.16,10.52,68.06,10.49
Rajasthan,Chittorgarh,2017,83.18,18.76,52.83,86.57,10.48,38.57,13.87
Jharkhand,Koderma,2020,24.84,77.73,65.4,70.1,17.39,49.02,85.63
Uttar Pradesh,Unnao,2025,87.89,18.23,28.48,86.65,55.73,58.59,39.9
